,place_id,name,main_category,phone,address,lat,lng,House_number,Street,Ward,District,City,progress
0,ChIJcWJ70U6rNTERxFCKqdDKXrw,"Joily Coffee, Tea & Bakery",Quán cà phê,0703 666 668,"Joily Coffee, Tea & Bakery, A10 Ng. Đức Hạnh 3, Khu đô thị Nam Trung Yên, Cầu Giấy, Hà Nội 11312",,,,,,,,True
1,ChIJKbnmWQApdTERwsotmjhioIE,Du Miên Garden Cafe,Quán cà phê,028 3894 5555,"Du Miên Garden Cafe, 7 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh",10.83218,106.67366,,Đường Phan Văn Trị,Phường 10,Quận Gò Vấp,Hồ Chí Minh,True
13,ChIJbUggYwcpdTERceZS9v1RSFY,Country Houses Coffee,Quán cà phê,0903 704 399,"Country Houses Coffee, 18 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh",10.77402,106.70419,42,Đường Nguyễn Huệ,Phường Bến Nghé,Quận 1,Hồ Chí Minh,True
23,ChIJ32cXs5erNTERsqdVf0cP-mg,Xofa Café & Bistro,Quán cà phê,024 3717 1555,"Xofa Café & Bistro, 14 P. Tống Duy Tân, Hàng Bông, Hoàn Kiếm, Hà Nội",10.02463,105.76727,49,Đường 3 Tháng 2,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
25,ChIJiXZG2IqrNTERdSRq4nRh9U4,"Lofita - Chuỗi quán Trà & Cà Phê (Cafe) Ngon, View Đẹp Nhất Hà Nội",Quán cà phê,1800 6503,"Lofita - Chuỗi quán Trà & Cà Phê (Cafe) Ngon, View Đẹp Nhất Hà Nội, 225 P. Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",10.02986,105.78677,31,Đường Ngô Đức Kế,Phường Tân An,Quận Ninh Kiều,Cần Thơ,True
28,ChIJ-ccIKnwvdTERcwhsdEeX6cs,Cafe Cô Ba - Đồng Khởi,Quán cà phê,,"Cafe Cô Ba - Đồng Khởi, 4-6 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000",10.03094,105.77833,81,Đường Nguyễn Việt Hồng,Phường An Phú,Quận Ninh Kiều,Cần Thơ,True
40,ChIJj1y29UYvdTERjGrWH9smE-U,Katinat Saigon Kafe,Quán cà phê,028 3825 6679,"Katinat Saigon Kafe, 91 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000",10.03289,105.78684,,,Phường Tân An,Quận Ninh Kiều,Cần Thơ,True
47,ChIJ5Q3WZaWrNTERYpWt95xQn2Q,THAIYEN CAFE - CAFEYEN - Quán Thánh,Quán cà phê,0989 750 180,"THAIYEN CAFE - CAFEYEN - Quán Thánh, 184 P. Quán Thánh, Quán Thánh, Ba Đình, Hà Nội",10.00913,105.80165,65,Đường Mai Chí Thọ,Phường Phú Thứ,Quận Cái Răng,Cần Thơ,True
49,ChIJpap4NZGrNTERU1baVzYXQZo,Cộng Cà Phê,Quán cà phê,0911 811 132,"Cộng Cà Phê, 68 P. Quán Sứ, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội",21.06598,105.74502,12,Ngõ 12 Phú Minh,Phường Minh Khai,Quận Bắc Từ Liêm,Hà Nội,True
51,ChIJE5-utYgXQjERgi6BGTJ5WEI,Wind Garden Coffee,Quán cà phê,0914 288 818,"Wind Garden Coffee, 72 Lê Mạnh Trinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000",,,,,,,,True
56,ChIJoSenAIQpdTEREL7_vv33scU,Phen’s Coffee,Quán cà phê,0396 439 014,"Phen’s Coffee, 142 Nguyễn Văn Công, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh",31.54905,-82.84922,,,,,Coffee,True
66,ChIJKyYzwU8ndTERA1zCwYeytGQ,Bonjour cafe the art,Quán cà phê,0387 384 548,"Bonjour cafe the art, 42 Đ. Thảo Điền, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000",,,,,,,,True
74,ChIJtdMTz6JjoDERuwhioFmU8GE,The Coffee House - Hòa Bình (Cần Thơ),Quán cà phê,028 7303 9079,"The Coffee House - Hòa Bình (Cần Thơ), 8 Đại lộ Hoà Bình, P, Ninh Kiều, Cần Thơ",10.05035,105.76714,203,Đường Nguyễn Đệ,Phường An Hòa,Quận Ninh Kiều,Cần Thơ,True
75,ChIJw7k36kYvdTERJ9L8Dd7o-0U,Cà phê Sài Gòn Ơi,Quán cà phê,0938 531 517,"Cà phê Sài Gòn Ơi, 42 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",10.03936,105.7843,64E,Hẻm 18 Đường Xô Viết Nghệ Tĩnh,Phường Tân An,Quận Ninh Kiều,Cần Thơ,True
82,ChIJUWgrCqZioDERlNGHIYEhr60,Nhà Gỗ Cafe - Wood House Coffee Cần Thơ,Quán cà phê,0899 503 919,"Nhà Gỗ Cafe - Wood House Coffee Cần Thơ, 40 Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ 900000",10.03855,105.78396,48,Đường Xô Viết Nghệ Tĩnh,Phường An Cư,Quận Ninh Kiều,Cần Thơ,True
85,ChIJW8bVvUwvdTERMK3h6j6UBuk,Beanthere Cafe,Quán cà phê,0987 168 584,"Beanthere Cafe, 42 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000",10.01695,105.75293,370B/3,Tổ 3 Khu Vực 6,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
95,ChIJx_s4ZTiIoDERJhnCubUmeEM,Cà Phê Thời Gian,Quán cà phê,0901 062 020,"Cà Phê Thời Gian, 35 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ",10.02499,105.77381,2,Đường Trần Văn Hoài,Phường Xuân Khánh,Quận Ninh Kiều,Cần Thơ,True
98,ChIJy2NIVoarNTER1maj2Dt1S-Q,Căng-tin Caphe,Quán cà phê,0372 099 359,"Căng-tin Caphe, Đối diện số, 31 Ngh. 180/29 P. Kim Hoa, Phương Liên, Đống Đa, Hà Nội",10.01908,105.7625,148,Đường 3 Tháng 2,Phường Hưng Lợi,Quận Ninh Kiều,Cần Thơ,True
101,ChIJ18tvsaFioDERsEF9qhIjZj8,HIGHLANDS COFFEE - Sense City,Quán cà phê,0292 3827 129,"HIGHLANDS COFFEE - Sense City, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ",10.02837,105.75846,2,Đường Số 6,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
102,ChIJ4yCUNwwmdTER8t4ojhQavrA,Quán cafe đẹp - AA Coffee,Quán cà phê,0902 900 816,"Quán cafe đẹp - AA Coffee, 102 Cao Đức Lân, Khu đô thị An Phú An Khánh, Quận 2, Thành phố Hồ Chí Minh",10.02826,105.75343,6,Đường Nguyễn Văn Linh,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
113,ChIJT9IBetEpdTERv1WHWPOkMLo,Oromia Coffee & Lounge,Quán cà phê,0908 861 136,"Oromia Coffee & Lounge, 85 Phan Kế Bính, Đa Kao, Quận 1, Thành phố Hồ Chí Minh",10.03594,105.76323,27A,Hẻm 388J Đường Nguyễn Văn Cừ,Phường An Khánh,Quận Ninh Kiều,Cần Thơ,True
122,ChIJL6pXqX6rNTERcJ19UWhe1Bc,Bốt Cà Phê,Quán cà phê,0981 358 758,"Bốt Cà Phê, 18b Ng. 18 P. Võ Văn Dũng, Chợ Dừa, Đống Đa, Hà Nội",10.03258,105.78422,89A,Đường Võ Văn Tần,Phường Tân An,Quận Ninh Kiều,Cần Thơ,True
