,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJJeaXxf6JoDER4-1cQ49XMHk,CellphoneS Cần Thơ,Cửa hàng máy tính,028 7100 9272,"CellphoneS Cần Thơ, 272 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",272 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0200224,105.76805619999999"
1,ChIJyShuuTCIoDERJ0vRVxlMw3U,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 217 Hẻm 132 Đ. 3 Tháng 2, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều",217 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0215374,105.7653174"
14,ChIJi_MH9ouHoDERQBqmnXKHHbE,CellphoneS 131A-133 Cách Mạng Tháng 8 | Cần Thơ,Cửa hàng điện thoại di động,028 7101 0133,"CellphoneS 131A-133 Cách Mạng Tháng 8 | Cần Thơ, 131A-133, Đ. Cách Mạng Tháng 8, An Hoà, Ninh Kiều, Cần Thơ 94100","An Hoà, Ninh Kiều","131A-133, Đ. Cách Mạng Tháng 8",Cần Thơ,94100.0,"Ninh Kiều, Cần Thơ",VN,"10.0511433,105.7739397"
18,ChIJb3RfZzqIoDER4PV_KrSl5Hc,Di Động Rẻ by Di Động Thông Minh,Cửa hàng điện thoại di động,0911 108 855,"Di Động Rẻ by Di Động Thông Minh, 184A Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",184A Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0231358,105.76648089999999"
30,ChIJ30ZkSzCIoDERIqc0-CaeQd8,Siêu Thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu Thị Thế Giới Di Động, 84-86A Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ 920000","An Lạc, Ninh Kiều",84-86A Đ. 30 Tháng 4,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN,"10.0297656,105.7797842"
43,ChIJvSnTPSZjoDEROjZ3gp-p80I,duongphi.com - Cần Thơ,Cửa hàng điện thoại di động,1900 3121,"duongphi.com - Cần Thơ, 76 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 94000","An Hội, Ninh Kiều",76 Nguyễn Trãi,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0410278,105.7847386"
44,ChIJJzJ2ZjOJoDERxEFFd7yMLWQ,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 305V Nguyễn Văn Linh, Khu Vực 3, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều","305V Nguyễn Văn Linh, Khu Vực 3",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.030437899999999,105.752361"
52,ChIJoWjOraFioDERMFNgcvEgUdo,Siêu thị Điện máy XANH,Cửa hàng bán đồ điện tử,1900 232461,"Siêu thị Điện máy XANH, Số 08 Hòa Bình, P, Ninh Kiều, 94000","P, Ninh Kiều",Số 08 Hòa Bình,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.034792,105.78534839999999"
53,ChIJSYbJvwOIoDER4BWs2D8l9bw,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 35B Đ. Cách Mạng Tháng 8, Thới Bình, Ninh Kiều, Cần Thơ 920000","Thới Bình, Ninh Kiều",35B Đ. Cách Mạng Tháng 8,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN,"10.0476104,105.777507"
62,ChIJW2LAzyN9oDER7QP99L_dxjE,Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Thế Giới Di Động, Tổ 21 Khóm 5, P, Bình Minh, Vĩnh Long 85000","P, Bình Minh",Tổ 21 Khóm 5,Vĩnh Long,85000.0,"Bình Minh, Vĩnh Long",VN,"10.0708776,105.82233219999999"
