,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJGe_B4u2rNTERqTdctAXJzPo,Trạm xăng Petrolimex số 04,Trạm xăng,,"Trạm xăng Petrolimex số 04, 8 Trần Hưng Đạo, Phan Chu Trinh, Hoàn Kiếm, Hà Nội","Phan Chu Trinh, Hoàn Kiếm",8 Trần Hưng Đạo,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN,"21.019094199999998,105.85823959999999"
2,ChIJ9ce6rgOIoDERheJepuOk9qU,Cửa hàng Xăng dầu Petrolimex Số 05,Trạm xăng,0292 3821 565,"Cửa hàng Xăng dầu Petrolimex Số 05, 24 Nguyễn Trãi, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",24 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0449089,105.7806584"
10,ChIJo50hkDWIoDERVmWd4-CgASc,Cửa hàng Xăng dầu Petrolimex Số 10,Trạm xăng,0292 3838 763,"Cửa hàng Xăng dầu Petrolimex Số 10, 79 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",79 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0154942,105.7599283"
25,ChIJC0EGobOJoDER6lL86iojfPY,Xăng dầu Petrolimex,Trạm xăng,0292 3846 033,"2Q62+2HW Xăng dầu Petrolimex, Khu vực Lợi Nguyên, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều","2Q62+2HW, Khu vực Lợi Nguyên",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.010121999999999,105.751446"
26,ChIJXYMllOOHoDERRpNxUecPgAQ,Cửa hàng Xăng Dầu số 3 Petrolimex,Trạm xăng,0292 3820 063,"Cửa hàng Xăng Dầu số 3 Petrolimex, 248 Đ. Cách Mạng Tháng 8, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ","Bùi Hữu Nghĩa, Bình Thủy",248 Đ. Cách Mạng Tháng 8,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.0596213,105.7663286"
29,ChIJQyg9uxmrNTER0kKuyp_peVQ,Cửa hàng gas Petrolimex Hà Nội số 24,Công ty ga,0962 273 224,"Cửa hàng gas Petrolimex Hà Nội số 24, 488 Đ. Thụy Khuê, Bưởi, Tây Hồ, Hà Nội","Bưởi, Tây Hồ",488 Đ. Thụy Khuê,Hà Nội,,"Tây Hồ, Hà Nội",VN,"21.048233,105.80956259999999"
31,ChIJseqtn1WJoDERlIWHfWyZ0Kg,Cửa Hàng Gas & Bếp Gas K+ Cần Thơ,Công ty ga,0765 777 123,"Cửa Hàng Gas & Bếp Gas K+ Cần Thơ, 160/20 Tầm Vu, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",160/20 Tầm Vu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0107506,105.7679728"
35,ChIJzZB3zamJoDERXFldLP98v5s,Cửa Hàng Xăng Dầu Nam Cần Thơ,Trạm xăng,0292 6252 566,"Cửa Hàng Xăng Dầu Nam Cần Thơ, 99 đường Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",99 đường Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.004659,105.7230469"
36,ChIJAzi9TjCrNTEReiSdin-hBZU,Cửa hàng gas Petrolimex Hoàng Quốc Việt,Cửa hàng ga,024 2283 8999,"Cửa hàng gas Petrolimex Hoàng Quốc Việt, 389 Hoàng Quốc Việt, Nghĩa Tân, Cầu Giấy, Hà Nội 100000","Nghĩa Tân, Cầu Giấy",389 Hoàng Quốc Việt,Hà Nội,100000.0,"Cầu Giấy, Hà Nội",VN,"21.0458969,105.79154849999999"
42,ChIJ-dEmtQ-JoDERbxl8dQtXLak,GAS HAMACO CẦN THƠ,Cửa hàng,1800 577734,"GAS HAMACO CẦN THƠ, 55 Tầm Vu, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",55 Tầm Vu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0075183,105.76310699999999"
48,ChIJHStw-bmJoDERKLaW8aKPc_Q,Cửa hàng Gas và Bếp Gas Hakia Cái Răng,Công ty ga,0292 3846 846,"Cửa hàng Gas và Bếp Gas Hakia Cái Răng, 522A Trần Hưng Đạo, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",522A Trần Hưng Đạo,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0010927,105.752674"
60,ChIJX4No-AaIoDERlZOk0XLTqeo,Cửa hàng Gas-Bếp gas Minh Châu,Cửa hàng,0983 098 197,"Cửa hàng Gas-Bếp gas Minh Châu, 233/34/11 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",233/34/11 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.046636999999999,105.769312"
63,ChIJcRGwxEsvdTERFtbi-rHDxg4,Công Ty Cp Vận Tải Sản Phẩm Khí Quốc Tế - Gas Shipping,Dịch vụ vận chuyển hàng hóa,028 2220 5388,"Công Ty Cp Vận Tải Sản Phẩm Khí Quốc Tế - Gas Shipping, 10 Đ. Mai Chí Thọ, Thủ Thiêm, Quận 2, Thành phố Hồ Chí Minh","Thủ Thiêm, Quận 2",10 Đ. Mai Chí Thọ,Thành phố Hồ Chí Minh,,"Quận 2, Thành phố Hồ Chí Minh",VN,"10.772088499999999,106.72204629999999"
80,ChIJZytcj7yJoDERe47HCEgQOzo,Cửa hàng Xăng dầu Petrolimex Số 19,Trạm xăng,0292 3846 153,"Cửa hàng Xăng dầu Petrolimex Số 19, 167/4a Phạm Hùng, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng","167/4a Phạm Hùng, Lê Bình",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.995541,105.74924299999999"
83,ChIJPV9cEOuRNDERP4NmoIG_jAk,Cửa hàng Gas Cầu Giấy - Gas ABC,Công ty ga,024 3366 3444,"Cửa hàng Gas Cầu Giấy - Gas ABC, 100 P. Trung Kính, Yên Hoà, Cầu Giấy, Hà Nội","Yên Hoà, Cầu Giấy",100 P. Trung Kính,Hà Nội,,"Cầu Giấy, Hà Nội",VN,"21.0160657,105.79468969999999"
84,ChIJT0aMyPCtNDERt29Dr1m8PSI,Cửa Hàng Gas Hoàn Kiếm - Gas ABC,Công ty ga,0962 651 116,"Cửa Hàng Gas Hoàn Kiếm - Gas ABC, 124 Đ. Bạch Đằng, Chương Dương Độ, Hoàn Kiếm, Hà Nội","Chương Dương Độ, Hoàn Kiếm",124 Đ. Bạch Đằng,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN,"21.0290298,105.86040249999999"
