,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJQ5jLT-WJoDERiRKYnNUrNck,Trường Xuân Cung - Massage cổ truyền - Gội đầu dưỡng sinh,Spa sức khỏe,0939 787 901,"Trường Xuân Cung - Massage cổ truyền - Gội đầu dưỡng sinh, 85-87 Đ. Trương Định, Tân An, Ninh Kiều, Cần Thơ 94110","Tân An, Ninh Kiều",85-87 Đ. Trương Định,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN,"10.0346434,105.7809948"
6,ChIJRUDnE6FioDERzhyxqsrTVN8,Life Spa - Massage Gia Đình,Câu lạc bộ spa và sức khỏe,0292 3760 221,"Life Spa - Massage Gia Đình, 94 Đ. Xô Viết Nghệ Tĩnh, An Cư, Ninh Kiều, Cần Thơ 94000","An Cư, Ninh Kiều",94 Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.039193599999999,105.7832712"
21,ChIJw_f8fvqJoDERE8ZA490kcd8,Phù Dung Các - Gội đầu dưỡng sinh- massage foot &body,,0795 886 968,"Phù Dung Các - Gội đầu dưỡng sinh- massage foot &body 75 vào Can Tho City VN, Hẻm 54 Đ. Trần Viết Châu, Ninh Kiều, Cần Thơ 94000","Thới Bình, Ninh Kiều","75 vào Can Tho City VN, Hẻm 54 Đ. Trần Viết Châu",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.047946999999999,105.7747995"
26,ChIJBcjNz55ioDERd1iDjt-q0jA,Massage Điêu Thuyền Cần Thơ,Bác sĩ trị liệu xoa bóp,0706 353 879,"Massage Điêu Thuyền Cần Thơ, 162/18C Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",162/18C Đ. Trần Ngọc Quế,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0235398,105.7694161"
41,ChIJ8zUMe3iJoDERxB2eqfkbn-c,"MAY XƯA SPA CẦN THƠ - Massage body, Gội đầu dưỡng sinh, Tắm tẩy tế bào chết, xông hơi, Foot",Spa,0393 599 120,"MAY XƯA SPA CẦN THƠ - Massage body, Gội đầu dưỡng sinh, Tắm tẩy tế bào chết, xông hơi, Foot, 1e Trần Quang Khải, An Hội, Ninh Kiều, Cần Thơ 90000","An Hội, Ninh Kiều",1e Trần Quang Khải,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0444976,105.78192999999999"
46,ChIJYStI68KJoDERhyBWWOHX-n4,"MAY RELAX & SPA CN1 - Gội đầu dưỡng sinh, Massage body Cần Thơ",,0356 237 455,"MAY RELAX & SPA CN1 - Gội đầu dưỡng sinh, Massage body Cần Thơ, 13B Đ. Trần Bình Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",13B Đ. Trần Bình Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0346336,105.7782041"
61,ChIJPftv3MyJoDERVsrxeyImFDY,"MAY Relax & Spa CN2 - Gội đầu Dưỡng Sinh Thảo Dược, Massage body Cần Thơ",Spa sức khỏe,0292 2249 398,"MAY Relax & Spa CN2 - Gội đầu Dưỡng Sinh Thảo Dược, Massage body Cần Thơ, 390 Đ. Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",390 Đ. Trần Nam Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0344956,105.7589569"
75,ChIJyX6D9PdjoDERfTRKpKYoHqY,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Relax Spa Lali",Spa sức khỏe,0779 123 789,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Relax Spa Lali, 58 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ 94107","Cái Khế, Ninh Kiều",58 Trần Văn Khéo,Cần Thơ,94107.0,"Ninh Kiều, Cần Thơ",VN,"10.0449301,105.7849798"
90,ChIJZ1tK6ehjoDER_yj938qWo6o,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Hannah Spa 2",Spa,0379 080 909,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Hannah Spa 2, 25 Võ Thị Sáu, Tân An, Ninh Kiều, Cần Thơ 94110","Tân An, Ninh Kiều",25 Võ Thị Sáu,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN,"10.0365073,105.78493499999999"
105,ChIJXcp1bV1joDERrn9KZKx3A2c,Massage ĐÔNG DƯƠNG Cần Thơ,Nhân viên trị liệu mát-xa kiểu Thái,0939 221 447,"Massage ĐÔNG DƯƠNG Cần Thơ, 77A Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",77A Đ. Phạm Ngọc Thạch,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.043441399999999,105.7865233"
120,ChIJDaYg6wmJoDERZ1h9EslTshE,HB Spa - Cần Thơ (Dưỡng Sinh & Thủ Đạo Thang),Spa,0292 2210 266,"HB Spa - Cần Thơ (Dưỡng Sinh & Thủ Đạo Thang), 176B Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",176B Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.036232,105.775677"
121,ChIJXb0RS-1joDERBN67qBox2j8,Massage khiếm thị THANH TOÀN,Bác sĩ trị liệu xoa bóp,0907 163 139,"Massage khiếm thị THANH TOÀN, 33 Đ. Lý Thường Kiệt, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",33 Đ. Lý Thường Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.034224499999999,105.78792349999999"
136,ChIJXf-CLgaJoDERYp7a4lYTRXM,Massage Dubai Cần Thơ,Nhân viên trị liệu mát-xa kiểu Thái,0844 444 002,"Massage Dubai Cần Thơ, 12 Trần Phú, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",12 Trần Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.045522499999999,105.780627"
