,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJMeN7sBGIoDERHPaDf6MMnQI,LOTTE Mart Cần Thơ,Đại siêu thị,0901 057 057,"LOTTE Mart Cần Thơ, 84 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",84 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0424145,105.7667482"
1,ChIJZ9UswU5joDERHbas7zY89VE,Thế Giới Điện Giải Cần Thơ - Trung tâm máy lọc nước ion kiềm kangen,Cửa hàng,1800 7028,"Thế Giới Điện Giải Cần Thơ - Trung tâm máy lọc nước ion kiềm kangen, 216 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",216 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0469773,105.76057449999999"
2,ChIJSwsC0POIoDER_lWt6z1th-s,Chợ Phó Thọ,Chợ nông sản,,"Chợ Phó Thọ, Chợ, Chợ Phó Thọ, Long Tuyền, Bình Thủy, Cần Thơ","Long Tuyền, Bình Thủy","Chợ, Chợ Phó Thọ",Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.0305354,105.72702009999999"
4,ChIJv-B8ZzSIoDERX_mFig4X0ms,"Xuân Nông - hạt giống, phân bón, thi công nhà lưới, nhà màng",Nhà cung cấp hạt giống,0901 087 973,"Xuân Nông - hạt giống, phân bón, thi công nhà lưới, nhà màng, 352c đường 30/4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",352c đường 30/4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0222281,105.7711013"
15,ChIJ2XpKGxSJoDERvRkzqeb4rHs,Siêu thị Bách hoá XANH 48 Nguyễn Đệ,Siêu thị,1900 1908,"Siêu thị Bách hoá XANH 48 Nguyễn Đệ, 48A Nguyễn Đệ, Khu Vực IV, P, Bình Thủy, Cần Thơ","P, Bình Thủy","48A Nguyễn Đệ, Khu Vực IV",Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.049447599999999,105.7647545"
16,ChIJL7EmCU2JoDERzqPk3zV0Eso,Siêu thị Bách hoá XANH 141A Nguyễn Văn Cừ nối dài,Siêu thị,1900 1908,"Siêu thị Bách hoá XANH 141A Nguyễn Văn Cừ nối dài, 141A Nguyễn Văn Cừ Nối Dài, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",141A Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0382222,105.7594795"
17,ChIJfZMwM2pjoDERorvVy-bfXr0,Ken Táo,Cửa hàng điện thoại di động,0858 585 585,"Ken Táo, 9 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",9 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.051409699999999,105.7734218"
18,ChIJfddAgjmJoDER_9KcLHtYMuI,Sửa chữa máy nước nóng năng lượng mặt trời tại Cần Thơ,Cửa hàng,0949 482 462,"Sửa chữa máy nước nóng năng lượng mặt trời tại Cần Thơ, 167 Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",167 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.019577199999999,105.75761779999999"
19,ChIJGeXUXpKJoDERtVEHFG5AmXQ,Đất Sạch Hữu Cơ APF 1,Cửa hàng,0939 039 013,"Đất Sạch Hữu Cơ APF 1, 24 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",24 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0274285,105.74846129999999"
21,ChIJdaIZBwmJoDERzROsKZsMimg,Đất Sạch Hữu Cơ APF 2,Cửa hàng,0939 039 013,"Đất Sạch Hữu Cơ APF 2, 138C Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",138C Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.040830999999999,105.76233599999999"
