,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJx-D3g0GIoDERqi0Y5YQUazo,Dụng Cụ Y Tế Cần Thơ - Huỳnh Gia 2,Bác sĩ y học thể thao,0937 037 770,"Dụng Cụ Y Tế Cần Thơ - Huỳnh Gia 2, 369B Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ 94117","Phường An Khánh, Ninh Kiều",369B Đ. Nguyễn Văn Cừ,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN,"10.031725699999999,105.7529012"
1,ChIJeUX7RLgudTERtwsY0B7Fr0Y,Cửa hàng Bảo hộ lao động dụng cụ y tế Lộc,Cửa hàng dụng cụ,0987 933 939,"Cửa hàng Bảo hộ lao động dụng cụ y tế Lộc, 35 Thành Mỹ, Phường 8, Tân Bình, Thành phố Hồ Chí Minh","Phường 8, Tân Bình",35 Thành Mỹ,Thành phố Hồ Chí Minh,,"Tân Bình, Thành phố Hồ Chí Minh",VN,"10.7808683,106.65379139999999"
2,ChIJidI6uMQudTERTVVTjaQA6HA,Công ty TNHH Thiết bị Y tế Vĩnh Phúc,Nhà cung cấp thiết bị y tế,0918 007 475,"Công ty TNHH Thiết bị Y tế Vĩnh Phúc, 188/14 Đ. Thành Thái, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000","Phường 12, Quận 10",188/14 Đ. Thành Thái,Thành phố Hồ Chí Minh,700000.0,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7760498,106.66414069999999"
17,ChIJ9SYL-T2JoDERJxGZpl_HvT0,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 54A Hùng Vương, Phường, Ninh Kiều, Cần Thơ 900000","Phường, Ninh Kiều",54A Hùng Vương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0439892,105.7784678"
18,ChIJGVPb7lOJoDERfUrkGm10jJE,Công Ty TNHH Trang Thiết Bị Y Tế Miền Tây,Văn phòng công ty,0292 3733 275,"Công Ty TNHH Trang Thiết Bị Y Tế Miền Tây, 238A, đường Trần Hưng Đạo, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng","238A, đường Trần Hưng Đạo",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.99336,105.7511023"
24,ChIJJ9pRMhmIoDERYr4jIg9IL7o,DNTN Thiết Bị Y Tế Tú Nghi,Nhà cung cấp thiết bị y tế,0919 463 333,"DNTN Thiết Bị Y Tế Tú Nghi, 166A Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",166A Đ. Trần Hưng Đạo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0366088,105.7758259"
39,ChIJvT0Cf0SJoDERVpIGqYR4w00,"Cửa hàng Blouse, Scrub, thiết bị y tế Pamed Cần Thơ",Cửa hàng,0948 497 132,"Cửa hàng Blouse, Scrub, thiết bị y tế Pamed Cần Thơ, 32B Đ. Số 5A, Phường An Khánh, Ninh Kiều, Cần Thơ 94000","Phường An Khánh, Ninh Kiều",32B Đ. Số 5A,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0386283,105.7562962"
42,ChIJd3ErJWyIoDERUmJ75gLZL0Y,Công Ty TNHH Thiết Bị Y Tế CX Sonomeditec Cần Thơ,Hiệu thuốc,0987 911 076,"Công Ty TNHH Thiết Bị Y Tế CX Sonomeditec Cần Thơ, 181 Đ. Đồng Văn Cống, An Thới, Bình Thủy, Cần Thơ","An Thới, Bình Thủy",181 Đ. Đồng Văn Cống,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.053970399999999,105.758151"
43,ChIJvZTQuoKJoDERVqCSo3aprso,Công Ty Cổ Phần Trang Thiết Bị Y Tế YTC - LTC - Chi Nhánh Miền Tây,Nhà cung cấp thiết bị y tế,0914 708 099,"Công Ty Cổ Phần Trang Thiết Bị Y Tế YTC - LTC - Chi Nhánh Miền Tây, A10 Đ. Số 06, Khu Dân Cứ Công An, Cái Răng, Cần Thơ 70000","Khu Dân Cứ Công An, Cái Răng",A10 Đ. Số 06,Cần Thơ,70000.0,"Cái Răng, Cần Thơ",VN,"10.0058591,105.78958449999999"
44,ChIJq6qqqucudTERbXqyW_o_ofg,Công Ty Tnhh Trang Thiết Bị Y Tế Hoa Đà,Cửa hàng,0902 333 345,"Công Ty Tnhh Trang Thiết Bị Y Tế Hoa Đà, 162 Lò Siêu, Phường 12, Quận 11, Thành phố Hồ Chí Minh","Phường 12, Quận 11",162 Lò Siêu,Thành phố Hồ Chí Minh,,"Quận 11, Thành phố Hồ Chí Minh",VN,"10.7603394,106.6512171"
81,ChIJge3ryWuIoDERLJczWNMg2NU,THIẾT BỊ Y TẾ TÂN KIỀU,Nhà cung cấp thiết bị xét nghiệm tiểu đường,0939 789 147,"THIẾT BỊ Y TẾ TÂN KIỀU, 64 Trần Bạch Đằng, P, Ninh Kiều, Cần Thơ 270000","P, Ninh Kiều",64 Trần Bạch Đằng,Cần Thơ,270000.0,"Ninh Kiều, Cần Thơ",VN,"10.037172,105.7541105"
