,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJF-6D7qFioDERsfNSFHaupFs,Tạp Hóa Cô 6 Cô 7,Cửa hàng tạp phẩm,,"Tạp Hóa Cô 6 Cô 7, 27 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",27 Phan Đình Phùng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.033407799999999,105.7870112"
5,ChIJlQ-g0gKJoDERQub5KEYgOrY,Tạp Hoá Cô Út Cần Thơ,Cửa hàng tạp hóa,0989 816 562,"Tạp Hoá Cô Út Cần Thơ, 158/72 Hẻm 2, Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều","158/72 Hẻm 2, Đ. Nguyễn Việt Hồng",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0327187,105.77734799999999"
7,ChIJC8DxMUaIoDERgrwBS_NPg30,Tạp Hóa Thiên Tân,Cửa hàng tạp hóa,0907 577 287,"Tạp Hóa Thiên Tân, 88 Đường B22, Khu dân cư 91B, Ninh Kiều, Cần Thơ","Khu dân cư 91B, Ninh Kiều",88 Đường B22,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0245267,105.7545631"
9,ChIJeSEgM9c7vKsR-w1yR2fjXOo,Tiệm Tạp Hóa Vinh Tuyền,Cửa hàng tạp hóa,0902 703 300,"Tiệm Tạp Hóa Vinh Tuyền, 42/31 Đ. Trần Việt Châu, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",42/31 Đ. Trần Việt Châu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.047685,105.7761362"
10,ChIJWyPuY72JoDERl0K-4_ePPGI,Tạp hóa tuổi thơ Covy,Tiệm bánh kẹo,0792 432 169,"Tạp hóa tuổi thơ Covy, 147/43A Đ. Nguyễn Văn Cừ, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",147/43A Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.047729799999999,105.772708"
11,ChIJPY9lpUtjoDERD995gZ-Hbcc,Tạp Hóa Chú Lùn,Cửa hàng đồ gia dụng,0949 500 090,,,,,,,,"10.035323,105.7555905"
22,ChIJyQrnFIKJoDERf8sSrHYgwfw,Tiệm tạp hoá 9March,Cửa hàng tổng hợp,0932 903 393,"Tiệm tạp hoá 9March, 174 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",174 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0236421,105.7671281"
23,ChIJjbapS7WJoDERjDDgS-Q6qrY,Cửa Hàng Tạp Hóa Xuân Hảo,Cửa hàng bách hóa,0917 919 595,"Cửa Hàng Tạp Hóa Xuân Hảo, 631 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",631 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.011889,105.75732699999999"
27,ChIJITv4KEyIoDERdhuho5UR_QA,Tạp Hóa Tuấn Duy,Cửa hàng tạp phẩm,0917 193 865,"Tạp Hóa Tuấn Duy, Đ. Trần Vĩnh Kiết, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Đ. Trần Vĩnh Kiết,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0177113,105.75036329999999"
30,ChIJXeDn9zeIoDERtMzyjnZhZAA,Tạp hoá Gia dụng 60s,Cửa hàng đồ gia dụng,,"2QF5+4Q7 Tạp hoá Gia dụng 60s, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",2QF5+4Q7,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0227846,105.7594072"
