,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJ-xrgvqmJoDERfapPUiqepYA,Tiệm Vàng Minh Vũ,Nhà kim hoàn,0965 046 046,"Tiệm Vàng Minh Vũ, 179-181 đường 30/04, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",179-181 đường 30/04,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0270297,105.7771844"
4,ChIJA99R_kqJoDERbnoooNQyKt0,Tiệm Vàng Kim Tín Cần Thơ,Cửa hàng trang sức,0933 927 987,"Tiệm Vàng Kim Tín Cần Thơ, 171 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",171 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0271309,105.77733889999999"
6,ChIJQWEbXQaIoDERhweqYrxzlQM,Tiệm Vàng Kim Tín 2,Cửa hàng trang sức,0292 3896 730,"Tiệm Vàng Kim Tín 2, 53-55 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",53-55 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.050788899999999,105.7727494"
12,ChIJ-au33syJoDERXSd0AJLp4gE,"Chuỗi Cầm đồ và Thu mua Người Bạn Vàng - Ninh Kiều, Cần Thơ",Cửa hàng cầm đồ,0899 179 686,"Chuỗi Cầm đồ và Thu mua Người Bạn Vàng - Ninh Kiều, Cần Thơ, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 94155","Xuân Khánh, Ninh Kiều",209 Đ. 30 Tháng 4,Cần Thơ,94155.0,"Ninh Kiều, Cần Thơ",VN,"10.0254564,105.77538039999999"
13,ChIJRaARiaFioDERNwH7IDpYYZE,Công Ty Cp Vàng Bạc Đá Quý Sjc Cần Thơ,Cửa hàng trang sức,0292 3810 898,"Công Ty Cp Vàng Bạc Đá Quý Sjc Cần Thơ, 5 Nguyễn Trãi, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",5 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0381628,105.7871291"
20,ChIJPXvyQLGJoDERmK_Iv9EG3bs,Tiệm Vàng Kim Ngọc 2 Cần Thơ,Cửa hàng trang sức,0833 249 999,"Tiệm Vàng Kim Ngọc 2 Cần Thơ, 24/1 Ngô Quyền, Lê Bình, Cái Răng, Cần Thơ 903670","Lê Bình, Cái Răng",24/1 Ngô Quyền,Cần Thơ,903670.0,"Cái Răng, Cần Thơ",VN,"10.005812599999999,105.75154979999999"
24,ChIJu8Q6vdGJoDERnB-oeD87Clk,Tiệm vàng bạc Senyda - Senyda Jewelry,Cửa hàng trang sức,0917 657 103,"Tiệm vàng bạc Senyda - Senyda Jewelry, 124/1 đường Ba Tháng Hai Đầu đường Mạc Thiên Tích, đối diện cổng B Đại học, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều","124/1 đường Ba Tháng Hai Đầu đường Mạc Thiên Tích, đối diện cổng B Đại học",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0284389,105.77115599999999"
32,ChIJD3hSrSaIoDEREZKOaGf1ssI,Tiệm vàng KIM TÍN HUỲNH NGHIÊM,Cửa hàng trang sức,0292 3730 984,"Tiệm vàng KIM TÍN HUỲNH NGHIÊM, 14 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",14 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.027434699999999,105.77691829999999"
36,ChIJ61a47xeJoDERMTkUrQZbfaY,Tiệm vàng Kim Đỉnh Cần Thơ,Cửa hàng bán buôn trang sức,0988 072 828,"Tiệm vàng Kim Đỉnh Cần Thơ, 84 Đ. Trần Việt Châu, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",84 Đ. Trần Việt Châu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.048439799999999,105.77510889999999"
43,ChIJgc-WVFKJoDER-P49ZJ4WHio,Tiệm Vàng Hoàn Nguyên Cần Thơ,Cửa hàng trang sức,0943 969 796,"Tiệm Vàng Hoàn Nguyên Cần Thơ, Tp, 110 Đ. Phạm Ngũ Lão, Thới Bình, Ninh Kiều, Cần Thơ 90000","Thới Bình, Ninh Kiều","Tp, 110 Đ. Phạm Ngũ Lão",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0440617,105.77387949999999"
