,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJWTvOSrqJoDERVnAMv9zLGO4,CÔNG TY CỔ PHẦN VẬT LIỆU CỬA NHÔM CẦN THƠ,Nhà cung cấp vật liệu xây dựng,,"CÔNG TY CỔ PHẦN VẬT LIỆU CỬA NHÔM CẦN THƠ, Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ 94118","An Bình, Ninh Kiều",Nguyễn Văn Cừ Nối Dài,Cần Thơ,94118.0,"Ninh Kiều, Cần Thơ",VN,"10.0262367,105.7450514"
2,ChIJrfG282uJoDERSAmR01FJvVw,Vật liệu xây dưng Chí Thanh,Cửa hàng vật liệu xây dựng,0987 871 966,"Vật liệu xây dưng Chí Thanh, 58 e Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",58 e Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0240704,105.7668243"
11,ChIJa5Ahn--JoDERLyJtt_NQyLw,DNTN Diễm Ngân - Trụ sở chính,Cửa hàng vật liệu xây dựng,0988 160 567,"DNTN Diễm Ngân - Trụ sở chính, 170 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",170 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0196262,105.7630009"
16,ChIJEZua-UaJoDERX8q9SgAh8I8,Vật liệu chống thấm Cần Thơ - Công ty TNHH Tín Minh Khoa,Cửa hàng vật liệu xây dựng,0916 869 091,"Vật liệu chống thấm Cần Thơ - Công ty TNHH Tín Minh Khoa, 52 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ 70000","Hưng Lợi, Ninh Kiều",52 Đ. Trần Hoàng Na,Cần Thơ,70000.0,"Ninh Kiều, Cần Thơ",VN,"10.011087,105.76568619999999"
30,ChIJh1aT_V-JoDERYUqfvIWPUNU,VẬT LIỆU XÂY DỰNG CẦN THƠ - VẬT LIỆU XANH,Cửa hàng vật liệu xây dựng,0941 405 259,"VẬT LIỆU XÂY DỰNG CẦN THƠ - VẬT LIỆU XANH, 278/13A Tầm Vu, Hưng Lợi, Ninh Kiều, Cần Thơ 90000","Hưng Lợi, Ninh Kiều",278/13A Tầm Vu,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0149665,105.77174339999999"
36,ChIJG6yYbyaJoDERAiMWGV4IWJs,Đại Lý Vòi Nước Cần Thơ,Cửa hàng vật liệu xây dựng,0798 076 057,"Đại Lý Vòi Nước Cần Thơ, 153 Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",153 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0196676,105.7576679"
37,ChIJtwPiG52JoDERf1L2bBIizg8,Thiết Bị Vệ Sinh Bồn Cầu Cần Thơ,Cửa hàng vật liệu xây dựng,0796 790 001,"Thiết Bị Vệ Sinh Bồn Cầu Cần Thơ, 33 Đ. Lê Chân, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",33 Đ. Lê Chân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.022886999999999,105.7567454"
41,ChIJS8hY9CeJoDERrBM6fT6N9bU,Công ty CP CN Vật Liệu Toàn Cầu,Nhà cung cấp vật liệu xây dựng,0909 898 150,"Công ty CP CN Vật Liệu Toàn Cầu, 5 Đ. Nguyễn Đệ, An Hoà, Bình Thủy, Cần Thơ","An Hoà, Bình Thủy",5 Đ. Nguyễn Đệ,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.0511097,105.76985789999999"
42,ChIJ0_tEoJOJoDERoYBolclGvN4,Cửa Hàng Vật Liệu Ốp Tường,Cửa hàng nội thất,0901 030 442,"Cửa Hàng Vật Liệu Ốp Tường, 96 Đ. Trần Hoàng Na, Khu dân cư 91B, Ninh Kiều, Cần Thơ","Khu dân cư 91B, Ninh Kiều",96 Đ. Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.021846,105.7538479"
43,ChIJK6GvfzWIoDEROckYO_9VWI8,Cty TNHH thép Phương Nam 3,Cửa hàng vật liệu xây dựng,0292 3739 969,"Cty TNHH thép Phương Nam 3, 64A Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 94000","Hưng Lợi, Ninh Kiều",64A Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0146074,105.7587099"
