,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJzcWlVKlioDER8x5DgJZRmzc,Karaoke Paradise I,Karaoke,0292 3797 797,"Karaoke Paradise I, 18 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",18 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0492584,105.7871342"
3,ChIJ4-uslaNioDERJcQkA493bD4,Ninh Kieu Sky Bar,Quán bar,0939 786 123,"Ninh Kieu Sky Bar, 02 Hai Ba Trung Stress District City, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",02 Hai Ba Trung Stress District City,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0364764,105.78961799999999"
4,ChIJBfQLtuNjoDERDg4kA6AKgmw,Helios' Cocktail,Quán bar cocktail,0866 565 513,"Helios' Cocktail, 14 Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",14 Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.031858399999999,105.7862784"
32,ChIJox-59sSJoDERWDaj00Zt9bk,Dreibar Craftbeer & Cocktail,Quán bar cocktail,0902 302 666,"Dreibar Craftbeer & Cocktail, 110 Đ. Đinh Tiên Hoàng, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",110 Đ. Đinh Tiên Hoàng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0416732,105.7806816"
47,ChIJ13IRhW2JoDERZJlZNG43Wes,LEGI Cocktails & Dining,Quán bar,0939 011 696,"LEGI Cocktails & Dining, 160 Đ. Đồng Văn Cống, P, Bình Thủy, Cần Thơ 94000","P, Bình Thủy",160 Đ. Đồng Văn Cống,Cần Thơ,94000.0,"Bình Thủy, Cần Thơ",VN,"10.0535131,105.75744549999999"
61,ChIJMyPy4YSJoDERs3CM9_7tp50,Déjà Vu Cocktail Bar,Quán bar cocktail,0979 279 055,"Déjà Vu Cocktail Bar, 142 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",142 Huỳnh Cương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0364711,105.77950229999999"
72,ChIJIc5Cc7WJoDERPqBZ_2ZwA3o,The Zone - Beer & Food,Quán bia,0939 048 689,"The Zone - Beer & Food, 55 Đ. Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ 94117","Phường An Khánh, Ninh Kiều",55 Đ. Hồ Bún Xáng,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN,"10.0332642,105.7637544"
80,ChIJw55WighjoDERtbJDN5YTaEM,Hiraeth Cocktail Bar & Kitchen,Quán bar cocktail,0942 377 388,"Hiraeth Cocktail Bar & Kitchen, 199 Nguyễn Thị Minh Khai, An Lạc, Ninh Kiều, Cần Thơ 900000","An Lạc, Ninh Kiều",199 Nguyễn Thị Minh Khai,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.025690599999999,105.78012009999999"
95,ChIJScrFOq2JoDERwcxuAngu2UQ,HoDoor - The Bar In Town,Quán bar,,"HoDoor - The Bar In Town, 98 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",98 Huỳnh Cương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.037460699999999,105.7792686"
104,ChIJlbyLHSSIoDERK2eQRGE8B4o,Iris Sky Bar,Quán bar,,"Iris Sky Bar, 224 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",224 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0266209,105.77610759999999"
118,ChIJt140al6JoDER2dEM_xYhR4I,In The World Cần Thơ,Quán bia,0888 016 306,"In The World Cần Thơ, 55A KV2, Đ. Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều","55A KV2, Đ. Hồ Bún Xáng",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0328977,105.7634075"
119,ChIJGecIOEGJoDER5C2e1lKV9so,Quán Bar Của Tiếp Thực,Quán bar,,"XPQ4+HJ8 Quán Bar Của Tiếp Thực, Mỹ Khánh, Phong Điền, Cần Thơ","Mỹ Khánh, Phong Điền",XPQ4+HJ8,Cần Thơ,,"Phong Điền, Cần Thơ",VN,"9.9889099,105.7065884"
131,ChIJtQjH2cKJoDERzfk1xtOg2u4,Trà Sữa Bí Đỏ-Golden Pumpkin,Quầy giải khát,0939 996 604,"Trà Sữa Bí Đỏ-Golden Pumpkin, Hồ Bún Xáng City, Hẻm 51 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều","Hồ Bún Xáng City, Hẻm 51 Đ. 3 Tháng 2",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0259264,105.76545739999999"
