,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJz25NujqIoDERa0LwOQxX_So,BILLARD MAXX,Câu lạc bộ bi da lỗ,0292 6516 777,"BILLARD MAXX, 31 P. Q., 320/27 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","31 P. Q., 320/27 Đ. Trần Ngọc Quế",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0231,105.76949239999999"
13,ChIJFxicCCyIoDERTlCKzhTbp_0,Cơ sở sản xuất Bida Minh Nguyễn,Cửa hàng bán dụng cụ Bi-a,0938 689 841,"Cơ sở sản xuất Bida Minh Nguyễn, 5 Tổ 5, KV 1, Cái Răng, Cần Thơ","KV 1, Cái Răng",5 Tổ 5,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0159612,105.77594839999999"
27,ChIJsazLkhqJoDER3wH5Gf_bZZc,BIDA ÔNG PHỔ,Câu lạc bộ thể thao,0917 111 555,"BIDA ÔNG PHỔ, 199 Đ. Phạm Hùng, Lê Bình, Cái Răng, Cần Thơ 94952","Lê Bình, Cái Răng",199 Đ. Phạm Hùng,Cần Thơ,94952.0,"Cái Răng, Cần Thơ",VN,"10.0019446,105.7504785"
42,ChIJOdFhCfuJoDER09E4EI5wzcM,Cafe bida hoa hồng 3,Câu lạc bộ giải trí tư nhân,0982 735 154,"Cafe bida hoa hồng 3, 81-83 Đ. Trần Hoàng Na, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",81-83 Đ. Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0207456,105.7546086"
57,ChIJhxpQBOaJoDERFjFQVVuD1Fw,CSSX BÀN BIDA SƠN NGUYỄN - CẦN THƠ,Cửa hàng bán dụng cụ Bi-a,0913 705 515,"CSSX BÀN BIDA SƠN NGUYỄN - CẦN THƠ, 46 Ngô Thì Nhậm, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",46 Ngô Thì Nhậm,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.040520299999999,105.7576586"
61,ChIJMa5WvWKHoDERPC0_QlvRBz4,Bida Cafe 1989,Câu lạc bộ bi da lỗ,0903 361 088,"Bida Cafe 1989, Lê Hồng Phong, Bình Thuỷ, Bình Thủy, Cần Thơ","Bình Thuỷ, Bình Thủy",Lê Hồng Phong,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.078873999999999,105.74441809999999"
70,ChIJY8D8LDiJoDERZkebikAqmck,Cơ sở sản xuất Bàn Bida Cần Thơ | Bida Lương Tâm,Cửa hàng bán dụng cụ Bi-a,0967 666 338,"Cơ sở sản xuất Bàn Bida Cần Thơ | Bida Lương Tâm, C36 Đường, số 5 Khu dân cư Hậu Thạnh Mỹ, Lê Bình, Cái Răng, Cần Thơ 900000","Lê Bình, Cái Răng","C36 Đường, số 5 Khu dân cư Hậu Thạnh Mỹ",Cần Thơ,900000.0,"Cái Răng, Cần Thơ",VN,"10.0031467,105.7569243"
71,ChIJvzaHoKBjoDERpeBkRZdKgvw,Bida Thanh Bình,Cửa hàng bán dụng cụ Bi-a,0945 810 990,"Bida Thanh Bình, 11 A7-12 Mai Chí Thọ, KDC 586, Cái Răng, Cần Thơ","KDC 586, Cái Răng",11 A7-12 Mai Chí Thọ,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0093411,105.8027269"
91,ChIJzRxjwCSIoDERMIblYHsVDkE,Coffee Bida Hoàng Phát Pro 2,Quán cà phê,,"Coffee Bida Hoàng Phát Pro 2, 21 Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",21 Đ. Trần Văn Hoài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0263713,105.7716574"
106,ChIJMc4JgzeIoDERAv5Jk_okwXA,Café - Bida Metro,Quán cà phê,0946 469 720,"2QC6+F52 Café - Bida Metro, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",2QC6+F52,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.021132099999999,105.7603881"
