,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJU1XFSxMmdTERevjdHHGczJc,D'Maris,Nhà hàng tiệc đứng,1900 0029,"D'Maris, Tầng 6 - Tòa nhà Cantavil Premier, 1 Đ. Song Hành Xa Lộ Hà Nội, P, Thủ Đức, Thành phố Hồ Chí Minh","P, Thủ Đức","Tầng 6 - Tòa nhà Cantavil Premier, 1 Đ. Song Hành Xa Lộ Hà Nội",Thành phố Hồ Chí Minh,,"Thủ Đức, Thành phố Hồ Chí Minh",VN,"10.8014522,106.74696139999999"
14,ChIJnffeOzwvdTERRzFUbu65R0Q,MEAT & MEET,Nhà hàng món nướng Hàn Quốc,028 6650 3355,"MEAT & MEET, 8 Đ. Lê Thị Riêng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh","Phường Phạm Ngũ Lão, Quận 1",8 Đ. Lê Thị Riêng,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.771484899999999,106.6927295"
18,ChIJyUzWbXisNTERM1-fdYnzXH0,Lẩu Phan Buffet,Nhà hàng món lẩu,1900 2808,"Lẩu Phan Buffet, 7 P. Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội 100000","Phương Mai, Đống Đa",7 P. Đào Duy Anh,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN,"21.007903499999998,105.83878779999999"
30,ChIJUS0pM3irNTERZJjAulhNZjg,Mr Mlem Cơ sở 2 - Buffet Bò Nầm Nướng,Nhà hàng món nướng,0949 922 909,"Mr Mlem Cơ sở 2 - Buffet Bò Nầm Nướng, 65 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội 100000","Chợ Dừa, Đống Đa",65 P. Ô Chợ Dừa,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN,"21.019483299999997,105.8276441"
37,ChIJi1crFjcvdTERJYJtU6mew0c,Nhà hàng lẩu Nhật Bản Mo Mo Paradise,Nhà hàng Sukiyaki,0906 116 060,"Nhà hàng lẩu Nhật Bản Mo Mo Paradise, 96 Đ. Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh","Phường 6, Quận 3",96 Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7803836,106.69541369999999"
44,ChIJdyi5YVUpdTERBlzr40x6hx8,Quan Nuong Yaki,Nhà hàng món nướng,1900 888815,"Quan Nuong Yaki, 375 Đ. Tân Sơn Nhì, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh 700000","Tân Sơn Nhì, Tân Phú",375 Đ. Tân Sơn Nhì,Thành phố Hồ Chí Minh,700000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.793899,106.6289023"
48,ChIJ-zt3A7qrNTEROigfUU34d0U,Lẩu Hơi - Lẩu Nướng Safodi,Nhà hàng,0886 001 002,"Lẩu Hơi - Lẩu Nướng Safodi, 273 P. Tô Hiệu, Dịch Vọng, Cầu Giấy, Hà Nội","Dịch Vọng, Cầu Giấy",273 P. Tô Hiệu,Hà Nội,,"Cầu Giấy, Hà Nội",VN,"21.041525699999998,105.7913896"
54,ChIJlcL-0M-tNTERMzpyRBItxSc,Chef Dzung Buffet Nguyễn Tuân,Nhà hàng tiệc đứng,024 3664 6222,"Chef Dzung Buffet Nguyễn Tuân, 47 Đ. Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội 100000","Thanh Xuân Trung, Thanh Xuân",47 Đ. Nguyễn Tuân,Hà Nội,100000.0,"Thanh Xuân, Hà Nội",VN,"20.994851099999998,105.8051828"
62,ChIJA4NJAjUvdTERTfGNCjVCVSI,Pachi Pachi Lẩu Nướng Nhật Bản,Nhà hàng Nhật Bản,028 6295 9294,"Pachi Pachi Lẩu Nướng Nhật Bản, 52 Đ. Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",52 Đ. Mạc Đĩnh Chi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.787369,106.69692599999999"
68,ChIJY0NQRUcvdTERSjHLrQ4UE3E,Hoang Yen Buffet Premier,Nhà hàng tiệc đứng,028 6681 1006,"Hoang Yen Buffet Premier, Saigon Centre, 65 Đ. Lê Lợi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 720000","Bến Nghé, Quận 1","Saigon Centre, 65 Đ. Lê Lợi",Thành phố Hồ Chí Minh,720000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.773501099999999,106.70065269999999"
78,ChIJfQpivD0vdTERgcpb5Rhbzwg,Kichi Lotte Mart Mậu Thân,Nhà hàng,0292 7300 337,"Kichi Lotte Mart Mậu Thân, TTTM Lotte Mart, LÔ 1F31, 84 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ 90000","An Hoà, Ninh Kiều","TTTM Lotte Mart, LÔ 1F31, 84 Đ. Mậu Thân",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0423302,105.7668324"
85,ChIJt0KPyzAvdTERLoLIO2tXB7A,Nhà Hàng Buffet Victory,,028 3930 3182,"Nhà Hàng Buffet Victory, 141 Võ Văn Tần, Phường 6, Quận 3, Thành phố Hồ Chí Minh","Phường 6, Quận 3",141 Võ Văn Tần,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7806578,106.69362729999999"
86,ChIJ55UR2UcvdTERXJVi-C8eMIQ,King BBQ,Nhà hàng món nướng Hàn Quốc,028 3993 9486,"King BBQ, Vincom Center, B3-03B Tầng 3, 70 Đ. Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bến Nghé, Quận 1","Vincom Center, B3-03B Tầng 3, 70 Đ. Lê Thánh Tôn",Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.778183199999999,106.70171719999999"
90,ChIJd9riu6FioDERpgGYPmuGDng,King BBQ Buffet Sense City Cần Thơ,Nhà hàng món nướng Hàn Quốc,0292 7305 939,"King BBQ Buffet Sense City Cần Thơ, Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều","Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0341241,105.786054"
