,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJU1XFSxMmdTERevjdHHGczJc,D'Maris,Nhà hàng tiệc đứng,1900 0029,"D'Maris, Tầng 6 - Tòa nhà Cantavil Premier, 1 Đ. Song Hành Xa Lộ Hà Nội, P, Thủ Đức, Thành phố Hồ Chí Minh","P, Thủ Đức","Tầng 6 - Tòa nhà Cantavil Premier, 1 Đ. Song Hành Xa Lộ Hà Nội",Thành phố Hồ Chí Minh,,"Thủ Đức, Thành phố Hồ Chí Minh",VN,"10.8014522,106.74696139999999"
14,ChIJnffeOzwvdTERRzFUbu65R0Q,MEAT & MEET,Nhà hàng món nướng Hàn Quốc,028 6650 3355,"MEAT & MEET, 8 Đ. Lê Thị Riêng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh","Phường Phạm Ngũ Lão, Quận 1",8 Đ. Lê Thị Riêng,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.771484899999999,106.6927295"
19,ChIJi1crFjcvdTERJYJtU6mew0c,Nhà hàng lẩu Nhật Bản Mo Mo Paradise,Nhà hàng Sukiyaki,0906 116 060,"Nhà hàng lẩu Nhật Bản Mo Mo Paradise, 96 Đ. Nguyễn Thị Minh Khai, Phường 6, Quận 3, Thành phố Hồ Chí Minh","Phường 6, Quận 3",96 Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7803836,106.69541369999999"
21,ChIJdyi5YVUpdTERBlzr40x6hx8,Quan Nuong Yaki,Nhà hàng món nướng,1900 888815,"Quan Nuong Yaki, 375 Đ. Tân Sơn Nhì, Tân Sơn Nhì, Tân Phú, Thành phố Hồ Chí Minh 700000","Tân Sơn Nhì, Tân Phú",375 Đ. Tân Sơn Nhì,Thành phố Hồ Chí Minh,700000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.793899,106.6289023"
25,ChIJA4NJAjUvdTERTfGNCjVCVSI,Pachi Pachi Lẩu Nướng Nhật Bản,Nhà hàng Nhật Bản,028 6295 9294,"Pachi Pachi Lẩu Nướng Nhật Bản, 52 Đ. Mạc Đĩnh Chi, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",52 Đ. Mạc Đĩnh Chi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.787369,106.69692599999999"
26,ChIJY0NQRUcvdTERSjHLrQ4UE3E,Hoang Yen Buffet Premier,Nhà hàng tiệc đứng,028 6681 1006,"Hoang Yen Buffet Premier, Saigon Centre, 65 Đ. Lê Lợi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 720000","Bến Nghé, Quận 1","Saigon Centre, 65 Đ. Lê Lợi",Thành phố Hồ Chí Minh,720000.0,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.773501099999999,106.70065269999999"
30,ChIJfQpivD0vdTERgcpb5Rhbzwg,Kichi Lotte Mart Mậu Thân,Nhà hàng,0292 7300 337,"Kichi Lotte Mart Mậu Thân, TTTM Lotte Mart, LÔ 1F31, 84 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ 90000","An Hoà, Ninh Kiều","TTTM Lotte Mart, LÔ 1F31, 84 Đ. Mậu Thân",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0423302,105.7668324"
37,ChIJt0KPyzAvdTERLoLIO2tXB7A,Nhà Hàng Buffet Victory,,028 3930 3182,"Nhà Hàng Buffet Victory, 141 Võ Văn Tần, Phường 6, Quận 3, Thành phố Hồ Chí Minh","Phường 6, Quận 3",141 Võ Văn Tần,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7806578,106.69362729999999"
39,ChIJhajVd0gvdTERtearwFABoWY,GoGi House Vincom Đồng Khởi,Nhà hàng món nướng Hàn Quốc,028 7300 0917,"GoGi House Vincom Đồng Khởi, 70-72 Đ. Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bến Nghé, Quận 1",70-72 Đ. Lê Thánh Tôn,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7779479,106.70199679999999"
40,ChIJ55UR2UcvdTERXJVi-C8eMIQ,King BBQ,Nhà hàng món nướng Hàn Quốc,028 3993 9486,"King BBQ, Vincom Center, B3-03B Tầng 3, 70 Đ. Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bến Nghé, Quận 1","Vincom Center, B3-03B Tầng 3, 70 Đ. Lê Thánh Tôn",Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.778183199999999,106.70171719999999"
47,ChIJd9riu6FioDERpgGYPmuGDng,King BBQ Buffet Sense City Cần Thơ,Nhà hàng món nướng Hàn Quốc,0292 7305 939,"King BBQ Buffet Sense City Cần Thơ, Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều","Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0341241,105.786054"
60,ChIJ_XeA87JjoDERMAU78bxtCw4,SPICY BOX CAN THO,Nhà hàng Hàn Quốc,0397 991 369,"SPICY BOX CAN THO, Lầu 2 TTTM Sense City, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ 90000","Tân An, Ninh Kiều","Lầu 2 TTTM Sense City, 1 Đại lộ Hoà Bình",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0343852,105.7858461"
61,ChIJ4dAP-bdzCjER-cSG8Rlmu1Q,Buffet Tí Đen lẩu và nướng,Nhà hàng gia đình,0846 869 186,"9CJP+PGX Buffet Tí Đen lẩu và nướng, Lê Văn Nhung, P. Mỹ Bình, Thành phố Long Xuyên, An Giang","P. Mỹ Bình, Thành phố Long Xuyên","9CJP+PGX, Lê Văn Nhung",An Giang,,"Thành phố Long Xuyên, An Giang",VN,"10.3818666,105.436364"
