,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJEX2-yqFioDERCkI2Dyekh9I,Sài Gòn Bakery - Bánh Kem Cần Thơ,Tiệm bánh,,"Sài Gòn Bakery - Bánh Kem Cần Thơ, 05 Đ. Đồng Khởi, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",05 Đ. Đồng Khởi,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0335906,105.7850464"
3,ChIJLxpg1rSJoDERRasxmNOYBIo,Bánh Ướt Cây Me (Nguyễn Văn Cừ),Nhà hàng,0338 858 068,"Bánh Ướt Cây Me (Nguyễn Văn Cừ), 138D Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",138D Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0405988,105.76190899999999"
4,ChIJ2ZqPnBiIoDER-cgM1YXN6ik,Bánh Sinh Nhật Singapore Cần Thơ,Tiệm bánh,0292 3734 916,"Bánh Sinh Nhật Singapore Cần Thơ, Số 03 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",Số 03 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.028051999999999,105.7765419"
7,ChIJmc8X3B-IoDEReuXXMFDsaWQ,Tiệm Bánh Cống Cô Út,Cửa hàng bánh,0292 2210 758,"Tiệm Bánh Cống Cô Út, 28 Đ. Lý Tự Trọng, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",28 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0341723,105.7817098"
13,ChIJYQ4hf59ioDERfZDAFJDTmyw,Madam Thu Bakery,Cửa hàng bánh,0292 3822 935,"Madam Thu Bakery, 21C Võ Văn Tần, Street, Ninh Kiều, Cần Thơ 900000","Street, Ninh Kiều",21C Võ Văn Tần,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0319916,105.78730069999999"
15,ChIJp-ivvVSJoDER4XgU05HIrj8,Tiệm bánh Célia,Tiệm bánh,0832 633 888,"Tiệm bánh Célia, 309 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",309 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0462274,105.7681806"
17,ChIJEzSkTNeJoDERhWu7del3y2U,Lò Bánh Như Ý - Chú Dũng,Cửa hàng bán thực phẩm đặc sản,0937 796 996,"Lò Bánh Như Ý - Chú Dũng, 99 Đ. Trương Định, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",99 Đ. Trương Định,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0343932,105.7807606"
18,ChIJr5Je20OIoDERY0gE7ZGC_Cg,Bánh bò út dứt tân châu an giang,Cửa hàng bánh ngọt,,"2QJ2+3W3 Bánh bò út dứt tân châu an giang, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",2QJ2+3W3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0301349,105.7522855"
19,ChIJz_kz3USIoDERvLGs1ugDQpE,Bánh Kem Kim Thanh,Tiệm bánh,0939 197 839,"Bánh Kem Kim Thanh, 12 Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",12 Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.035102799999999,105.7465501"
21,ChIJze5Tn3uJoDERw8IOzViYiaU,Tiệm Bánh Trứng - Tarte,Tiệm bánh,0901 027 871,"Tiệm Bánh Trứng - Tarte, Hẻm giữa quán Cơm Mười Mập & Phụ Kiện Phương Thảo, Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều","Hẻm giữa quán Cơm Mười Mập & Phụ Kiện Phương Thảo, Đ. Mạc Thiên Tích",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.027734599999999,105.7724389"
22,ChIJr8c3GjKJoDERur4NY4zpUqY,Bánh Tráng Tôm Khô Cô Tiên,Tiệm bánh,0938 125 333,"Bánh Tráng Tôm Khô Cô Tiên, 1B Hẻm 1 Đ. Lý Tự Trọng, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",1B Hẻm 1 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0337289,105.7791647"
23,ChIJG0Ou4L6JoDERy74mrrZG9-U,Lò Bánh Mì Sài Gòn Bơ,Tiệm bánh,0937 575 494,"Lò Bánh Mì Sài Gòn Bơ, 162 Đ. Phạm Hùng, Lê Bình, Cái Răng, Cần Thơ 94900","Lê Bình, Cái Răng",162 Đ. Phạm Hùng,Cần Thơ,94900.0,"Cái Răng, Cần Thơ",VN,"9.999485,105.7499826"
25,ChIJ0bNteaiJoDERJ0HsDh_HyaA,Tiệm bánh Mật Ong,Tiệm bánh,0948 993 308,"Tiệm bánh Mật Ong, Hẻm 132/16 Đường Hùng Vương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",Hẻm 132/16 Đường Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0413654,105.7757953"
31,ChIJ2W_dow-IoDERK0Qi5KzO-Ao,Bánh Pía Sóc Trăng,Tiệm bánh,0926 999 924,"Bánh Pía Sóc Trăng, 235 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",235 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.047402199999999,105.7696059"
36,ChIJN0Mqr_aJoDER2QyFqDbFWa8,Tiệm Bánh Cake House,Tiệm bánh,0907 765 321,"Tiệm Bánh Cake House, 76 Nguyễn Văn Trỗi, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",76 Nguyễn Văn Trỗi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.036842799999999,105.77011859999999"
38,ChIJMy27HNeJoDERuMzRGvxKI3E,DAK's House Bánh Rau Câu Sinh Nhật Cần Thơ,Tiệm bánh,0777 860 271,"DAK's House Bánh Rau Câu Sinh Nhật Cần Thơ, 61/57 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",61/57 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.041899599999999,105.7792896"
44,ChIJA1CyOhSJoDERFkX7Lu-NR5c,Trần Gia Bakery 5,Cửa hàng bánh,0938 937 808,"Trần Gia Bakery 5, Chợ An Khánh, 11 Đường 17, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều","Chợ An Khánh, 11 Đường 17",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0400488,105.7547"
45,ChIJjdF4bi-JoDERzSsAzsZNV2Q,Bánh nhà bé Thỏ,Tiệm bánh,0933 606 804,"Bánh nhà bé Thỏ, 83/4 KV 2 bờ hồ Búng Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ 902494","Phường An Khánh, Ninh Kiều",83/4 KV 2 bờ hồ Búng Xáng,Cần Thơ,902494.0,"Ninh Kiều, Cần Thơ",VN,"10.0382365,105.76828959999999"
