,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJhw8kJOurNTER6PEWU5OmVqM,Shop Bé Na,Cửa hàng quần áo trẻ em,0888 480 896,"Shop Bé Na, 91B P. Thợ Nhuộm, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội 100000","Trần Hưng Đạo, Hoàn Kiếm",91B P. Thợ Nhuộm,Hà Nội,100000.0,"Hoàn Kiếm, Hà Nội",VN
15,ChIJk6LQQpyrNTERPJXcubeuOBw,Mẹo Nuôi Bé,Siêu thị,0943 235 558,"Mẹo Nuôi Bé, Ngõ 105 P. Tôn Đức Thắng, Hàng Bột, Đống Đa, Hà Nội 100000","Hàng Bột, Đống Đa",Ngõ 105 P. Tôn Đức Thắng,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN
30,ChIJdytDmXSsNTERYvRCAVxsLzY,Siêu thị mẹ bầu và em bé KidsPlaza Xã Đàn,Cửa hàng đồ trẻ em,0796 297 588,"Siêu thị mẹ bầu và em bé KidsPlaza Xã Đàn, 374 P. Xã Đàn, Nam Đồng, Đống Đa, Hà Nội 100000","Nam Đồng, Đống Đa",374 P. Xã Đàn,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN
45,ChIJTZIb_XutNTERtvT08MlkgUk,Shop Mẹ Và Bé Love Baby,Cửa hàng đồ trẻ em,0975 275 820,"Shop Mẹ Và Bé Love Baby, 189 P. Quan Nhân, Nhân Chính, Thanh Xuân, Hà Nội","Nhân Chính, Thanh Xuân",189 P. Quan Nhân,Hà Nội,,"Thanh Xuân, Hà Nội",VN
60,ChIJt1_l6JirNTERCBvtxyCkNLg,Hệ Thống Cửa Hàng Mẹ và Bé Bibo Mart - Thế Giới Đồ Sơ Sinh - Trần Đăng Ninh,Cửa hàng đồ trẻ em,,"Hệ Thống Cửa Hàng Mẹ và Bé Bibo Mart - Thế Giới Đồ Sơ Sinh - Trần Đăng Ninh, Tòa B3, P. Vĩnh Hồ, Làng Quốc tế Thăng Long, Cầu Giấy, Hà Nội 100000","Làng Quốc tế Thăng Long, Cầu Giấy","Tòa B3, P. Vĩnh Hồ",Hà Nội,100000.0,"Cầu Giấy, Hà Nội",VN
74,ChIJgcZKaEetNTERDXiRnnjpoo8,Siêu Thị Mẹ Bầu & Em Bé Con Cưng,Siêu thị,1800 6609,"Siêu Thị Mẹ Bầu & Em Bé Con Cưng, TTTM Go!, P. Lê Trọng Tấn, Hà Nội","Khương Mai, Thanh Xuân","TTTM Go!, P. Lê Trọng Tấn",Hà Nội,,"Thanh Xuân, Hà Nội",VN
75,ChIJr_j2H-mrNTERk1mfmKzX6bY,Shop bé Moon: chuyên đồ sơ sinh & đồ dùng trẻ em các loại,Cửa hàng đồ trẻ em,0934 491 088,"Shop bé Moon: chuyên đồ sơ sinh & đồ dùng trẻ em các loại, 43 P. Cầu Đất, Chương Dương Độ, Hoàn Kiếm, Hà Nội","Chương Dương Độ, Hoàn Kiếm",43 P. Cầu Đất,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN
100,ChIJVwsg7ACrNTEROnA3WeAwNbk,Thư Đào Baby Mart - Siêu thị Mẹ bầu & Em bé,Cửa hàng đồ trẻ em,024 3923 0650,"Thư Đào Baby Mart - Siêu thị Mẹ bầu & Em bé, 50 P. Hàng Ngang, Hàng Đào, Hoàn Kiếm, Hà Nội 100000","Hàng Đào, Hoàn Kiếm",50 P. Hàng Ngang,Hà Nội,100000.0,"Hoàn Kiếm, Hà Nội",VN
115,ChIJndGjU3-rNTERVuBZ4g7Art0,Shop Quần Áo Cho Bé,Cửa hàng quần áo trẻ em,0943 419 077,"Shop Quần Áo Cho Bé, Số 28 Ngõ 85, Nguyễn Lướng Bằng, Quang Trung, Đống Đa, Hà Nội 115000","Quang Trung, Đống Đa","Số 28 Ngõ 85, Nguyễn Lướng Bằng",Hà Nội,115000.0,"Đống Đa, Hà Nội",VN
130,ChIJST7xtnerNTERcae4zNIZvPY,Shop Be Bé,Cửa hàng,0816 433 888,"Shop Be Bé, Số 21 ngách 17 ngõ 266, Đ. Nguyễn Văn Cừ, Ngọc Lâm, Long Biên, Hà Nội 100000","Ngọc Lâm, Long Biên","Số 21 ngách 17 ngõ 266, Đ. Nguyễn Văn Cừ",Hà Nội,100000.0,"Long Biên, Hà Nội",VN
131,ChIJJ2uaCF-rNTERsMU_NO10eak,Cá Bé - Giày thể thao trẻ em,Cửa hàng trẻ em,0974 150 991,"Cá Bé - Giày thể thao trẻ em, 18 Ng. 41 Phố Đông Tác, Đông Tác, Đống Đa, Hà Nội","Đông Tác, Đống Đa",18 Ng. 41 Phố Đông Tác,Hà Nội,,"Đống Đa, Hà Nội",VN
132,ChIJ24m_VPGrNTERHr9WMI8I4Cg,Shop Mẹ Và Bé,Cửa hàng trẻ em,0354 120 890,"Shop Mẹ Và Bé, 148 P. Lò Đúc, P, Hai Bà Trưng, Hà Nội 100000","P, Hai Bà Trưng",148 P. Lò Đúc,Hà Nội,100000.0,"Hai Bà Trưng, Hà Nội",VN
175,ChIJpyxZMpyrNTERViaTX1jfzPY,Cửa Hàng Hàng Hiệu Cho bé,Cửa hàng,,"Cửa Hàng Hàng Hiệu Cho bé, Hàng Bột, Đống Đa, Hà Nội","Hàng Bột, Đống Đa",,Hà Nội,,"Đống Đa, Hà Nội",VN
176,ChIJJf-YBi-rNTERGaeOAI0V0Ro,Siêu Thị Mẹ & Bé THANH HẠNH,Cửa hàng quần áo,0989 358 361,"Siêu Thị Mẹ & Bé THANH HẠNH, Đối diện cây xăng Phố Bái Đô, Hà Nội","Quốc Tử Giám, Đống Đa",Đối diện cây xăng Phố Bái Đô,Hà Nội,,"Đống Đa, Hà Nội",VN
