potentialid,contract_city,contract_state,address,retailer_id,approval_date,expiry_date,cf_pot_nganh_hang,House_number,Street,Ward,District,City,progress,cleaned_street
33719300,hồ chí minh,quận 1,"42/2 hồ hảo hớn, p. cô giang, quận 1, tp.hcm",1108742,2021-09-30,2025-12-30,9,42/2,Hẻm 42 Hồ Hảo Hớn,Phường Cô Giang,Quận 1,Hồ Chí Minh,True,Đường Hồ Hảo Hớn
39936997,hồ chí minh,quận 1,"68/3 nguyễn thái bình, p. nguyễn thái bình, q.1, tp.hcm",500032451,2022-12-22,2025-06-19,3949,68/3,Hẻm 68 Nguyễn Thái Bình,Phường Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thái Bình
1867523,hồ chí minh,quận 1,"72/10 trần đình xu, cô giang quận 1",212218,,2027-11-15,77,72/1,Đường Trần Đình Xu,Phường Cô Giang,Quận 1,Hồ Chí Minh,True,Đường Trần Đình Xu
45498993,hồ chí minh,quận 1,"715 lê trọng tấn, kp2, bình hưng hòa, bình tân, hcm",500045953,2022-12-30,2024-12-30,3472,715,Đường Lê Trọng Tấn,Phường Bình Hưng Hòa,Quận Bình Tân,Hồ Chí Minh,True,Đường Lê Trọng Tấn
4904065,hồ chí minh,quận 1,"4c trần hưng đạo, phạm ngũ lão, quận 1, hồ chí minh",1160022,2021-11-16,2023-11-12,77,4C,Đường Trần Hưng Đạo,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Trần Hưng Đạo
39343054,hồ chí minh,quận 1,"31a tôn thất tùng, phường phạm ngũ lão, quận 1, thành phố hồ chí minh",1289787,2022-04-19,2024-04-10,3949,27BIS,Hẻm 7 Đường Tôn Thất Tùng,Phường Phạm Ngũ Lão,Quận 1,Hồ Chí Minh,True,Đường Tôn Thất Tùng
18168656,hồ chí minh,quận 1,"67 thủ khoa huân, phường bến thành, quận 1, thành phố hồ chí minh",819776,2020-11-20,2023-03-01,11957,39A,Đường Thủ Khoa Huân,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Thủ Khoa Huân
28994485,hồ chí minh,quận 1,"132 nguyễn thái bình, p. nguyễn thái bình, q,1, hcm",943155,2021-05-20,2023-08-28,15,132,Đường Nguyễn Thái Bình,Phường Nguyễn Thái Bình,Quận 1,Hồ Chí Minh,True,Đường Nguyễn Thái Bình
57267577,hồ chí minh,quận 1,"81/11 nghĩa hòa, phường 06, quận tân bình, tp hồ chí minh",500406706,2023-12-13,2024-12-11,77,,Hẻm 81/1 Nghĩa Hòa,Phường 6,Quận Tân Bình,Hồ Chí Minh,True,Đường Nghĩa Hòa
50193566,hồ chí minh,quận 1,"long hưng, thanh đức, long hồ, vĩnh long",500219999,2023-05-26,2024-06-28,Nhà hàng,,Cầu Long Hưng,Xã Thanh Đức,Huyện Long Hồ,Vĩnh Long,True,Đường Cầu Long Hưng
1444260,hồ chí minh,quận 1,96 nam kỳ khởi nghĩa,199115,,2022-08-15,15,96,Đường Nam Kỳ Khởi Nghĩa,Phường Bến Thành,Quận 1,Hồ Chí Minh,True,Đường Nam Kỳ Khởi Nghĩa
44297395,hồ chí minh,quận 1,"57/1.4 trần nhân tôn, phường 9, quận 5, thành phố hồ chí minh",500040834,2022-11-24,2026-05-22,3949,12,Hẻm 57 Đường Trần Nhân Tôn,Phường 9,Quận 5,Hồ Chí Minh,True,Đường Trần Nhân Tôn
