,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJUWgrCqZioDERlNGHIYEhr60,Nhà Gỗ Cafe - Wood House Coffee Cần Thơ,Quán cà phê,0899 503 919,"Nhà Gỗ Cafe - Wood House Coffee Cần Thơ, 40 Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ 900000","Cái Khế, Ninh Kiều",40 Đ. Phạm Ngọc Thạch,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.044213899999999,105.785707"
1,ChIJx_s4ZTiIoDERJhnCubUmeEM,Cà Phê Thời Gian,Quán cà phê,0901 062 020,"Cà Phê Thời Gian, 35 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",35 Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0250007,105.75938339999999"
4,ChIJV20keZ9ioDERh1YPJYmAi0c,Cà Phê Phương Vinh,Quán cà phê,0292 3760 789,"Cà Phê Phương Vinh, 30 Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",30 Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0320854,105.78504939999999"
5,ChIJC5JFZCGIoDERs9-xioqsHxg,Coffee Fresh,Quán cà phê,0292 3735 245,"Coffee Fresh, Hẻm 15 Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",Hẻm 15 Đ. Trần Văn Hoài,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.026793699999999,105.77294069999999"
6,ChIJPSJDgCGIoDEROvrrCgGNMGA,CÀ PHÊ MILANO NGỌC THUÝ 1,Quán cà phê,0943 473 309,"CÀ PHÊ MILANO NGỌC THUÝ 1, 81 Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ 92000","An Phú, Ninh Kiều",81 Đ. Nguyễn Việt Hồng,Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN,"10.030854099999999,105.7784284"
9,ChIJz1_Q5lljoDERugYFVbXbnq4,GÓC KAFÉ,Quán cà phê,0907 121 316,"GÓC KAFÉ, 127 Nguyễn Trãi, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",127 Nguyễn Trãi,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0416892,105.78363569999999"
24,ChIJ0xn0365ioDERTPE7AgJLNOk,Cafe - Điểm tâm Sông Thơ,Quán cà phê,,"Cafe - Điểm tâm Sông Thơ, 3 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",3 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0505707,105.79050339999999"
25,ChIJb2bin4eJoDER8NSJU2fUwpM,Cà phê Phương Hân,Quán cà phê,,"Cà phê Phương Hân, 18 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",18 Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.02018,105.76652209999999"
27,ChIJF4ZpWdyJoDERzRN84j08ma8,Cà phê Sữa Đá,Quán cà phê,0859 995 359,"Cà phê Sữa Đá, 79/21 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",79/21 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0407785,105.778515"
35,ChIJI2emurKJoDER5uyUUtCX2Mc,Cà phê Black Gold,Quán cà phê,0772 822 546,"Cà phê Black Gold, 299 Võ Văn Kiệt, An Thới, Ninh Kiều, Cần Thơ","An Thới, Ninh Kiều",299 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.049131299999999,105.75638579999999"
36,ChIJvwKH-CGJoDERV0c_hMgygTw,CÀ PHÊ NHÀ PHẠM,Quán cà phê,0772 170 707,"CÀ PHÊ NHÀ PHẠM, 219 Đường số 3, khu CBGV, Ninh Kiều, Cần Thơ","khu CBGV, Ninh Kiều",219 Đường số 3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0256969,105.7617415"
38,ChIJ95ZVm6VjoDERRs-ls71JwE0,T-COFFEE,Quán cà phê,0907 454 848,"T-COFFEE, 65 Mai Chí Thọ, Phú Thứ, Cái Răng, Cần Thơ 900000","Phú Thứ, Cái Răng",65 Mai Chí Thọ,Cần Thơ,900000.0,"Cái Răng, Cần Thơ",VN,"10.009107499999999,105.8015518"
49,ChIJ-6I1hZmJoDERXIaXaV4hgiI,Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú,Quán cà phê,0866 719 799,"Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú, Lô H Trần Phú, Thới Bình, Ninh Kiều, Cần Thơ 94000","Thới Bình, Ninh Kiều",Lô H Trần Phú,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0465249,105.78211879999999"
51,ChIJecnD4D2JoDERXpnttF_lD3c,Tojime cafe,Quán cà phê,0902 754 777,"Tojime cafe, 12A Đ. Lê Anh Xuân, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",12A Đ. Lê Anh Xuân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0410574,105.77706359999999"
52,ChIJyf68tyBjoDERgOFKPFobSfY,Cafe Thềm Xưa,Quán cà phê,0931 022 424,"Cafe Thềm Xưa, 07 Đ. Phạm Ngọc Thạch, P, Ninh Kiều, Cần Thơ 90000","P, Ninh Kiều",07 Đ. Phạm Ngọc Thạch,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0447624,105.7855005"
54,ChIJ24MMnCFjoDERIZq8jNXWVqQ,Đất cà phê - takeaway & delivery,Quán cà phê,0348 782 788,"Đất cà phê - takeaway & delivery, 28 Đ. Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ 94000","An Hội, Ninh Kiều",28 Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0380823,105.7841548"
57,ChIJWUJYJvSJoDERbGel3eYTEN4,Tiệm cà phê Nhà Có Khách,Quán cà phê,0363 618 128,"Tiệm cà phê Nhà Có Khách, 359/19b Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",359/19b Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0442558,105.7674744"
60,ChIJTaFpXd6JoDERk1j12Kc2h9w,Up Coffee & Bistro,Quán cà phê,0774 451 319,"Up Coffee & Bistro, 35 Hẻm 6 Mậu Thân, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",35 Hẻm 6 Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0293785,105.77408989999999"
71,ChIJ-3ok4cSJoDERjZQN0AEkq74,Lyon Coffee Cần Thơ (Tổng kho cà phê sạch thương hiệu Lyon Coffee),Quán cà phê,0939 188 968,"Lyon Coffee Cần Thơ (Tổng kho cà phê sạch thương hiệu Lyon Coffee), 278/32/1B, Tầm Vu, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều","278/32/1B, Tầm Vu",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0161301,105.7697223"
72,ChIJFTKty0iJoDERc1psLbx0Nno,Cà phê Đỉnh,Quán cà phê,0926 616 775,"Cà phê Đỉnh, 57 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ 92000","An Hoà, Ninh Kiều",57 Đ. Nguyễn Đệ,Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN,"10.049199,105.7648536"
74,ChIJJb1-72SJoDERh3P6EpoBQqs,By Ken Le - Cafe Sữa Bọt,Quán cà phê,,"By Ken Le - Cafe Sữa Bọt, 65 Đ. Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ 900022","Tân An, Ninh Kiều",65 Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,900022.0,"Ninh Kiều, Cần Thơ",VN,"10.0366583,105.7853203"
75,ChIJr7JyMJGJoDERwvsVHNTPlOQ,Co-Coffee,Quán cà phê,0939 154 202,"Co-Coffee, 202 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",202 Đ. Nguyễn Đệ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0480571,105.76008089999999"
88,ChIJzzvU_mOJoDERK_Lq3Bicjvg,Bán máy pha cà phê Cần Thơ,Quán cà phê,0964 249 914,"Bán máy pha cà phê Cần Thơ, Số 1 Đường 29, Kdc Thới Nhựt 2, Ninh Kiều, Cần Thơ","Kdc Thới Nhựt 2, Ninh Kiều",Số 1 Đường 29,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0365667,105.7555198"
89,ChIJ7-U23NxjoDERBFhvVBHj5dw,Cả Nhà Mình Coffee,Quán cà phê,0913 973 360,"Cả Nhà Mình Coffee, 48 Đ. Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",48 Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.038546199999999,105.783959"
90,ChIJY6sP2OBjoDER72dPs_gLShE,Cà Phê Tình Lai,Quán cà phê,,"Cà Phê Tình Lai, 24 Đ. Tân Trào, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",24 Đ. Tân Trào,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0333396,105.7874748"
91,ChIJ2SjHI65joDERnqDMVplwEpw,Cà phê tình nhân Bi Coffee 2,Quán cà phê,0292 2468 879,"Cà phê tình nhân Bi Coffee 2, 30-32 Đ. Phạm Ngọc Thạch, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",30-32 Đ. Phạm Ngọc Thạch,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0444018,105.7854148"
95,ChIJdYcpvbyJoDER4Iuq7O7kh9E,Chất Cà Phê,Quán cà phê,0939 828 929,"Chất Cà Phê, 381 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",381 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0442311,105.7661902"
98,ChIJsVeAxXmJoDER8ozkVC_uJH8,zCat - Tuyệt Đỉnh Tô Tượng - Tiệm trà sữa - cà phê - ăn vặt - tô tượng,Quán cà phê,0969 600 703,"zCat - Tuyệt Đỉnh Tô Tượng - Tiệm trà sữa - cà phê - ăn vặt - tô tượng, 34 Đường Yết Kiêu, An Cư, Ninh Kiều, Cần Thơ 94106","An Cư, Ninh Kiều",34 Đường Yết Kiêu,Cần Thơ,94106.0,"Ninh Kiều, Cần Thơ",VN,"10.0424017,105.77326359999999"
99,ChIJi1pA1IOJoDERts7F7MyS3rM,Võ Café,Quán cà phê,0907 192 730,"Võ Café, 96 Tổ 3, khu vực 12, Ninh Kiều, Cần Thơ 94117","khu vực 12, Ninh Kiều",96 Tổ 3,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN,"10.0388295,105.76758149999999"
107,ChIJW71BbsaLoDER0y2NrZVTKuA,Cà Phê ĐIỂM HẸN,Quán cà phê,0772 774 216,"XQ55+8J9 Cà Phê ĐIỂM HẸN, Đông Thạnh, Châu Thành, Hậu Giang","Đông Thạnh, Châu Thành",XQ55+8J9,Hậu Giang,,"Châu Thành, Hậu Giang",VN,"9.9582936,105.75910139999999"
118,ChIJbyEsFQCJoDERDTtY53Xr6E8,Tiệm Cà Phê Trang,Quán cà phê,0902 944 466,"Tiệm Cà Phê Trang, 11 Đ. Trần Bình Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",11 Đ. Trần Bình Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.034742699999999,105.77823599999999"
119,ChIJV4lwhMeJoDERlokURbPiXf8,1995s Coffee & Tea,Quán cà phê,0706 799 379,"1995s Coffee & Tea, 251/32A Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",251/32A Đ. Trần Ngọc Quế,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.021044,105.77138199999999"
123,ChIJCStwutOJoDERcx0fD3JCxk0,Cà Phê Đồ Nghề Phước Duy,Quán cà phê,0946 377 778,"Cà Phê Đồ Nghề Phước Duy, 159 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",159 Huỳnh Cương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0370707,105.780772"
124,ChIJp81wBmxjoDERgBVyiQIuVZ8,Nhà cung cấp cà phê - Thương Hiệu Lyon Coffee Top 1 Việt Nam,Nhà bán buôn cà phê,0909 587 675,"Nhà cung cấp cà phê - Thương Hiệu Lyon Coffee Top 1 Việt Nam, 82 đường Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ 94107","Cái Khế, Ninh Kiều",82 đường Lê Lợi,Cần Thơ,94107.0,"Ninh Kiều, Cần Thơ",VN,"10.0471214,105.7883533"
139,ChIJJ7NkhWqJoDERXIcM5VRte10,Cà Phê Xe Lam,Quán cà phê,0971 842 135,"Cà Phê Xe Lam, 31 Hùng Vương, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",31 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0442117,105.7792678"
141,ChIJXedSC3GJoDERCJ9MsUx8DpI,Cà phê Vợt mang đi,Quán cà phê,0949 127 890,"Cà phê Vợt mang đi, 62 Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều",62 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0358047,105.77269559999999"
142,ChIJfVs5ApiJoDERNDeCZ8QZGv0,Cà phê Vợt mang đi,Quán cà phê,0949 127 890,"Cà phê Vợt mang đi, 3 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",3 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.032219999999999,105.7743588"
143,ChIJ4RCpJPRjoDER3D0ReG2dKOk,Cà phê Tarot,Quán cà phê,0899 666 788,"Cà phê Tarot, 44 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",44 Đ. Nguyễn Khuyến,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0344825,105.7832001"
145,ChIJJY9PuSSIoDER7MHl4OKk4QY,Quán Cà Phê Pha Lê,Quán cà phê,0292 3738 399,"2QGC+JHV Quán Cà Phê Pha Lê, Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","2QGC+JHV, Đ. Trần Văn Hoài",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0266231,105.7714252"
