,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJ0U2ke5grdTER3uF21wTF60M,Mở cửa hàng điện nước Trương Hiền,Cửa hàng thiết bị điện,0932 199 822,"Mở cửa hàng điện nước Trương Hiền, 3 8B Nguyễn Thị Sóc, Xuân Thới Đông, Hóc Môn, Thành phố Hồ Chí Minh 700000","Xuân Thới Đông, Hóc Môn",3 8B Nguyễn Thị Sóc,Thành phố Hồ Chí Minh,700000.0,"Hóc Môn, Thành phố Hồ Chí Minh",VN
2,ChIJ5eWP6m2IoDERQFwPWyGCyw8,Điện Nước Nguyễn Lễ,Cửa hàng bán đồ điện tử,0949 748 568,"Điện Nước Nguyễn Lễ, 62 Đ. Số 2, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",62 Đ. Số 2,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
3,ChIJc3FgNSSJoDER0c7x_cOB3BE,Sữa chữa điện nước Cần Thơ,Cửa hàng thiết bị điện,0396 793 866,"Sữa chữa điện nước Cần Thơ, Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều",Đ. Nguyễn Văn Cừ,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
6,ChIJ3Xl7pySJoDEReTICokdI5mk,Cửa Hàng Điện Nước Hải Thành,Cửa hàng đồ gia dụng,0939 365 759,"Cửa Hàng Điện Nước Hải Thành, 32 Đường Trần Hoàng Na, Hưng Lợi, Cái Răng, Cần Thơ 94909","Hưng Lợi, Cái Răng",32 Đường Trần Hoàng Na,Cần Thơ,94909.0,"Cái Răng, Cần Thơ",VN
10,ChIJvyYRyBxjoDERbcExtWLs0xU,Điện Nước Long Nguyên,Cửa hàng bán buôn thiết bị gia dụng,0913 784 969,"Điện Nước Long Nguyên, 106 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ 92000","Tân An, Ninh Kiều",106 Phan Đình Phùng,Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN
15,ChIJG7BWPdCJoDERWvg9YQHAnhI,Cửa Hàng Điện Nước An Toàn,Cửa hàng,,"Cửa Hàng Điện Nước An Toàn, đường D3 KDC Hồng Loan, Hưng Thành, Cái Răng, Cần Thơ","Hưng Thành, Cái Răng",đường D3 KDC Hồng Loan,Cần Thơ,,"Cái Răng, Cần Thơ",VN
17,ChIJNTRFiWFjoDER2NjiAyOG3ts,Cửa Hàng Thiết Bị Điện Nước Thịnh Cường,Cửa hàng đồ gia dụng,0918 224 919,"Cửa Hàng Thiết Bị Điện Nước Thịnh Cường, 63 Đ. B18, KDC Hưng Phú 1, Cái Răng, Cần Thơ 90000","KDC Hưng Phú 1, Cái Răng",63 Đ. B18,Cần Thơ,90000.0,"Cái Răng, Cần Thơ",VN
18,ChIJc62PPgeIoDERDHNgtQCRXi8,Cửa Hàng Điện Nước Ngọc,Cửa hàng thiết bị điện,0292 3827 384,"Cửa Hàng Điện Nước Ngọc, 160/49/10 Đoàn Thị Điểm, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",160/49/10 Đoàn Thị Điểm,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
19,ChIJ38z8OyGIoDERvyku7nWR2eI,Cửa Hàng Ống Nước - Điện Gia Dụng Hải Đăng,Cửa hàng thiết bị điện,0292 2225 148,"Cửa Hàng Ống Nước - Điện Gia Dụng Hải Đăng, 101C, Đường 30/04, Quận Ninh Kiều, Tp Cần Thơ, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","101C, Đường 30/04, Quận Ninh Kiều, Tp Cần Thơ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
35,ChIJTZs2n1qIoDERBvVMg7pt8OI,Cửa Hàng Điện Nước Châu Diễm,Cửa hàng thiết bị điện,0292 3891 344,"Cửa Hàng Điện Nước Châu Diễm, 183 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",183 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
44,ChIJwZo848mJoDERVvhoPmDD8vI,Cửa hàng điện nước dân dụng Thiên Phát,Cửa hàng vật liệu xây dựng,0939 317 670,"Cửa hàng điện nước dân dụng Thiên Phát, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",,Cần Thơ,,"Cái Răng, Cần Thơ",VN
51,ChIJz-8LOzWIoDERY3i2ZOaLdq0,Cửa Hàng Điện Nước Bách Hóa Tân Hưng Phát,Cửa hàng,0292 3738 723,"Cửa Hàng Điện Nước Bách Hóa Tân Hưng Phát, 74 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",74 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
52,ChIJxcuVhEyGoDERwo6U_fRcgWc,Cửa Hàng Điện Nước Gia Dụng Thái Hưng,Cửa hàng thiết bị điện,0292 3887 792,"Cửa Hàng Điện Nước Gia Dụng Thái Hưng, 17 Đ. Huỳnh Phan Hộ, Bình Thuỷ, Bình Thủy, Cần Thơ","Bình Thuỷ, Bình Thủy",17 Đ. Huỳnh Phan Hộ,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
53,ChIJ98QZ9xcvdTERY2TImUFZlJU,Cửa Hàng Điện Nước Hải,Cửa hàng thiết bị điện,,"Cửa Hàng Điện Nước Hải, 210 Đ. Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh","Phường Phạm Ngũ Lão, Quận 1",210 Đ. Nguyễn Trãi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
59,ChIJXfFvEUGJoDERXCVC1ei8S3k,Cửa hàng Điện - Nước - Đồ gia dụng HÙNG,Cửa hàng đồ gia dụng,,"Cửa hàng Điện - Nước - Đồ gia dụng HÙNG, Giai Xuân, Phong Điền, Cần Thơ","Giai Xuân, Phong Điền",,Cần Thơ,,"Phong Điền, Cần Thơ",VN
60,ChIJK3KsPceOoDEROOw7dao0TKg,Cửa Hàng Điện Nước Hồng Phúc,Cửa hàng thiết bị điện,0292 3941 194,"Cửa Hàng Điện Nước Hồng Phúc, 178 ĐT923, Nhơn ái, Phong Điền, Cần Thơ","Nhơn ái, Phong Điền",178 ĐT923,Cần Thơ,,"Phong Điền, Cần Thơ",VN
68,ChIJm-O3GWNioDER5zFAQWFsrWY,Cửa Hàng Điện Nước Khương Duy,Cửa hàng thiết bị điện,0907 563 080,"Cửa Hàng Điện Nước Khương Duy, 1928 Võ Nguyên Giáp, Hưng Phú, Cái Răng, Cần Thơ","Hưng Phú, Cái Răng",1928 Võ Nguyên Giáp,Cần Thơ,,"Cái Răng, Cần Thơ",VN
69,ChIJ7e-fEYJioDER9-sN_ynwniQ,Cửa Hàng Điện Gia Dụng Ống Nước Thanh Thanh,Cửa hàng thiết bị điện,0292 3737 788,"Cửa Hàng Điện Gia Dụng Ống Nước Thanh Thanh, 6 Đ. Hoàng Thế Thiện, Hưng Phú, Cái Răng, Cần Thơ","Hưng Phú, Cái Răng",6 Đ. Hoàng Thế Thiện,Cần Thơ,,"Cái Răng, Cần Thơ",VN
70,ChIJqSyS72dioDERdQ7AuyRH8fo,Cửa Hàng Điện Nước Ba Hổ,Cửa hàng thiết bị điện,,"Cửa Hàng Điện Nước Ba Hổ, Phú Thứ, Cái Răng, Cần Thơ","Phú Thứ, Cái Răng",,Cần Thơ,,"Cái Răng, Cần Thơ",VN
80,ChIJ4RpnQFGIoDERcj9XDPlbG1U,Cửa Hàng Điện Nước Minh Tuấn,Cửa hàng thiết bị điện,0292 3898 580,"Cửa Hàng Điện Nước Minh Tuấn, 401 Đ.Xuân Thủy, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",401 Đ.Xuân Thủy,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
81,ChIJO9vthmuIoDERX7IwIh4ht7A,Cửa Hàng Thiết Bị Điện Nước Đăng Khôi,Dịch vụ quản lý rác thải,0903 466 248,"Cửa Hàng Thiết Bị Điện Nước Đăng Khôi, 3 Đường Số 19, Khu Dân Cư, Ninh Kiều, Cần Thơ","Khu Dân Cư, Ninh Kiều",3 Đường Số 19,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
84,ChIJC2QgcM2JoDERp9j0FcI4frs,Tiệm Điện Nước PHÚ THÀNH,Cửa hàng đồ gia dụng,0939 567 009,"Tiệm Điện Nước PHÚ THÀNH, 132/4B Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",132/4B Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
85,ChIJgZNHeTyJoDER1apCNWXrSm0,CỬA HÀNG ĐIỆN NƯỚC ĐẠI TÂM,Cửa hàng,0942 800 089,"CỬA HÀNG ĐIỆN NƯỚC ĐẠI TÂM, 365 Đ. Nguyễn Văn Linh, Long Tuyền, Bình Thủy, Cần Thơ","Long Tuyền, Bình Thủy",365 Đ. Nguyễn Văn Linh,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
87,ChIJuTYtAWOJoDERPeMcl3E4E9k,Cửa hàng điện nước Nghĩa,Cửa hàng bán đồ điện tử,0962 152 347,"2Q42+27X Cửa hàng điện nước Nghĩa, Trần Hưng Đạo, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng","2Q42+27X, Trần Hưng Đạo",Cần Thơ,,"Cái Răng, Cần Thơ",VN
89,ChIJLW_BgAiIoDERm01NvSthjcM,CỬA HÀNG ĐIỆN NƯỚC GIA DỤNG HOÀN VŨ,Cửa hàng đồ gia dụng,0336 778 660,"CỬA HÀNG ĐIỆN NƯỚC GIA DỤNG HOÀN VŨ, 33/9 Nhật Tảo, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng","CỬA HÀNG ĐIỆN NƯỚC GIA DỤNG HOÀN VŨ, 33/9 Nhật Tảo",Cần Thơ,,"Cái Răng, Cần Thơ",VN
90,ChIJYyD-o-yJoDERHgbt5fU7e30,Cửa hàng điện nước Thái,Cửa hàng bán đồ điện tử,0778 195 246,"Cửa hàng điện nước Thái, 67/3 Trần Hưng Đạo, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",67/3 Trần Hưng Đạo,Cần Thơ,,"Cái Răng, Cần Thơ",VN
94,ChIJAe4kzhWJoDERiMLP8gTsumM,Cửa Hàng Vật Tư Điện Nước Thúy Phương,Cửa hàng thiết bị điện,,"XPW7+WJ4 Cửa Hàng Vật Tư Điện Nước Thúy Phương, Bông Vang, Phong Điền, Cần Thơ","Bông Vang, Phong Điền",XPW7+WJ4,Cần Thơ,,"Phong Điền, Cần Thơ",VN
101,ChIJ4bV7d8CJoDERSS3fCceE-qg,Cửa Hàng Điện Nước Lộc Phát,Cửa hàng bán đồ điện tử,0834 373 777,"XQR5+XG3 Cửa Hàng Điện Nước Lộc Phát, Đ. Trương Vĩnh Nguyên, Thường Thạnh, Cái Răng, Cần Thơ","Thường Thạnh, Cái Răng","XQR5+XG3, Đ. Trương Vĩnh Nguyên",Cần Thơ,,"Cái Răng, Cần Thơ",VN
