,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJyShuuTCIoDERJ0vRVxlMw3U,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 217 Hẻm 132 Đ. 3 Tháng 2, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều",217 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0215374,105.7653174"
2,ChIJnw6pkmasNTERb00ZMgyVeW4,Cửa hàng AZ Mobile,Cửa hàng điện thoại di động,0846 955 555,"Cửa hàng AZ Mobile, 176 P. Xã Đàn, Phương Liên, Đống Đa, Hà Nội","Phương Liên, Đống Đa",176 P. Xã Đàn,Hà Nội,,"Đống Đa, Hà Nội",VN,"21.0108994,105.8375087"
3,ChIJAY_5_qdioDERjNlipdVq6r8,Hong Duc Head Honda,Cửa hàng xe máy,1800 545434,"Hong Duc Head Honda, 10-10E Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",10-10E Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.043393499999999,105.7822803"
7,ChIJuZq9bfSJoDERUOR0Juaq8yI,CỬA HÀNG NGUYÊN LIỆU PHA CHẾ & BÁNH BẾP BAR CẦN THƠ,Cửa hàng,0397 959 143,"CỬA HÀNG NGUYÊN LIỆU PHA CHẾ & BÁNH BẾP BAR CẦN THƠ, 379 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",379 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0198231,105.7689475"
8,ChIJPSKWaDGIoDER06ZOxW7v-aE,Nhạc Cụ Trường Sa Cần Thơ,Cửa hàng nhạc cụ,0973 065 994,"Nhạc Cụ Trường Sa Cần Thơ, 512 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",512 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.017942999999999,105.7662113"
9,ChIJGTn7huKJoDER5OlkYTitiPM,Đồ Nghề Tự Chọn,Cửa hàng dụng cụ tự sửa chữa,0292 3666 888,"Đồ Nghề Tự Chọn, 239 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ 94116","Hưng Lợi, Ninh Kiều",239 Đ. Trần Hoàng Na,Cần Thơ,94116.0,"Ninh Kiều, Cần Thơ",VN,"10.0148707,105.76158489999999"
10,ChIJ8auZwjWIoDERCc9X7oc8bDk,Thiên Phúc Suzuki,Đại lý xe Suzuki,0292 3731 919,"Thiên Phúc Suzuki, 94-96-98 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 90000","Hưng Lợi, Ninh Kiều",94-96-98 Đ. 3 Tháng 2,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0165708,105.7602979"
11,ChIJV5IfL6lioDERqRBqd3ttzgI,Siêu Thị Điện Máy Nội Thất Chợ Lớn,Cửa hàng bán đồ điện tử,028 3856 3388,"Siêu Thị Điện Máy Nội Thất Chợ Lớn, 112 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ 90000","Cái Khế, Ninh Kiều",112 Trần Phú,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0474979,105.7830188"
12,ChIJF9R5Lo6rNTERP6IEIsGRWQU,Thực Dưỡng Homefood,Cửa hàng thực phẩm thiên nhiên,024 3972 9038,"Thực Dưỡng Homefood, 26 P. Trần Bình Trọng, Nguyễn Du, Hai Bà Trưng, Hà Nội 100000","Nguyễn Du, Hai Bà Trưng",26 P. Trần Bình Trọng,Hà Nội,100000.0,"Hai Bà Trưng, Hà Nội",VN,"21.0185319,105.84380069999999"
13,ChIJryMggh2IoDER8s2MYHn5x5c,Showroom iTamLoan,Cửa hàng điện thoại di động,1900 6459,"Showroom iTamLoan, 46-48 Trần Văn Khéo, An Hội, Ninh Kiều, Cần Thơ 900000","An Hội, Ninh Kiều",46-48 Trần Văn Khéo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0448598,105.7846984"
15,ChIJZ5rnyduJoDERNrDpBsAX1kY,Tiệm Bạc Thanh Như - Bạc Cao Cấp Cần Thơ,Cửa hàng trang sức,0939 397 786,"Tiệm Bạc Thanh Như - Bạc Cao Cấp Cần Thơ, 51 Bế Văn Đàn, An Hoà, Ninh Kiều, Cần Thơ 90000","An Hoà, Ninh Kiều",51 Bế Văn Đàn,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0493201,105.7684603"
16,ChIJyTaV0qtioDERW0qqDYQIDCw,Moon Pet Shop,Cửa hàng vật nuôi,0902 530 200,"Moon Pet Shop, 10 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",10 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.044869199999999,105.77934809999999"
17,ChIJMYULxWRjoDERmVir8gtFsVw,KLC - Cửa Hàng Ghế Massage Chính Hãng,Cửa hàng bán dụng cụ xoa bóp,0833 783 946,"KLC - Cửa Hàng Ghế Massage Chính Hãng, 100 Nguyễn Thái Học, Tân An, Ninh Kiều, Cần Thơ 94100","Tân An, Ninh Kiều",100 Nguyễn Thái Học,Cần Thơ,94100.0,"Ninh Kiều, Cần Thơ",VN,"10.0329949,105.7844234"
19,ChIJgV46dJ9ioDERnpzaZMG8U9A,Cửa hàng Honda Á Châu,Đại lý xe Honda,0292 3820 819,"Cửa hàng Honda Á Châu, 96-98 Đường Nguyễn An Ninh, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",96-98 Đường Nguyễn An Ninh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0313953,105.7852094"
20,ChIJT8byj0WJoDERXX86J7NCn_k,YODY Nguyễn Trãi - Cần Thơ 2,Cửa hàng quần áo,0888 064 258,"YODY Nguyễn Trãi - Cần Thơ 2, 90-92 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 94107","An Hội, Ninh Kiều",90-92 Nguyễn Trãi,Cần Thơ,94107.0,"Ninh Kiều, Cần Thơ",VN,"10.0429952,105.78261169999999"
22,ChIJYYvNCz2JoDERIkD_ETEpRb4,"Hoàng Anh Mobile - Cửa hàng bán lẻ điện thoại di động, smartphone, phụ kiện chính hãng Cần Thơ.",Cửa hàng điện thoại di động,0941 944 448,"Hoàng Anh Mobile - Cửa hàng bán lẻ điện thoại di động, smartphone, phụ kiện chính hãng Cần Thơ., 73 Đ. Cách Mạng Tháng 8, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",73 Đ. Cách Mạng Tháng 8,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0500803,105.7751681"
23,ChIJyfqRv1qJoDERghW7jkhSGU8,"Mũ Bảo Hiểm, Phụ Kiện Phượt Hebi.vn",Cửa hàng mũ,0399 999 344,"Mũ Bảo Hiểm, Phụ Kiện Phượt Hebi.vn, 455 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 94000","Hưng Lợi, Ninh Kiều",455 Đ. 30 Tháng 4,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.014387,105.76272739999999"
25,ChIJCZBBJ1uJoDERfrbhsrSvgS8,Bella Shop,Cửa hàng quà tặng,0987 459 939,"Bella Shop, Liên Tổ 4-5/405D Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều",Liên Tổ 4-5/405D Đ. Nguyễn Văn Linh,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0239826,105.7587695"
27,ChIJ_5RN2xiIoDERSHyRhWbV1gY,Cửa Hàng Trang Sức PNJ Cần Thơ - 178 Trần Hưng Đạo,Cửa hàng trang sức,1800 545457,"Cửa Hàng Trang Sức PNJ Cần Thơ - 178 Trần Hưng Đạo, 178 Đ. Trần Hưng Đạo, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",178 Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0359822,105.77555869999999"
29,ChIJ9VamcM9joDEREXRv2g2n81I,Cửa hàng xe nhập khẩu Hồng Phúc,Đại lý xe gắn máy,0292 3822 919,"Cửa hàng xe nhập khẩu Hồng Phúc, 71 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 90000","An Hội, Ninh Kiều",71 Nguyễn Trãi,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0405359,105.785043"
34,ChIJa1XpIZ9ioDERCTD1W1o1aB4,Cửa hàng Biti's - CH Phan Đình Phùng,Cửa hàng giày dép,0292 3827 014,"Cửa hàng Biti's - CH Phan Đình Phùng, 100 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",100 Phan Đình Phùng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.029746399999999,105.7865514"
35,ChIJ2XpKGxSJoDERvRkzqeb4rHs,Siêu thị Bách hoá XANH 48 Nguyễn Đệ,Siêu thị,1900 1908,"Siêu thị Bách hoá XANH 48 Nguyễn Đệ, 48A Nguyễn Đệ, Khu Vực IV, P, Bình Thủy, Cần Thơ","P, Bình Thủy","48A Nguyễn Đệ, Khu Vực IV",Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.049447599999999,105.7647545"
36,ChIJZyb86DqIoDERwALH1ZCSSVw,Cửa Hàng Satrafoods 101 (Cần Thơ),Siêu thị,0292 3822 743,"Cửa Hàng Satrafoods 101 (Cần Thơ), 162/6 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",162/6 Đ. Trần Ngọc Quế,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0244673,105.7686834"
