,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJ1zgaajWTpzERAwdFNM7oyxM,Sailing Club Phú Quốc,Nhà hàng,0931 031 035,"Sailing Club Phú Quốc, Next to Intercontinental, Lô B7 Khu phức, Dương Tơ, Tp. Phú Quốc, Kiên Giang 920000","Dương Tơ, Thành phố Phú Quốc","Next to Intercontinental, Lô B7 Khu phức",Kiên Giang,920000.0,"Tp. Phú Quốc, Kiên Giang",VN
16,ChIJzcWlVKlioDER8x5DgJZRmzc,Karaoke Paradise 1,Karaoke,0292 3797 797,"Karaoke Paradise 1, 18 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",18 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
32,ChIJd3KrYa0odTER_3IUi3FL3s8,Birdy,Quán bar,0938 818 156,"Birdy, 80 Phạm Viết Chánh, Phường 19, Bình Thạnh, Thành phố Hồ Chí Minh","Phường 19, Bình Thạnh",80 Phạm Viết Chánh,Thành phố Hồ Chí Minh,,"Bình Thạnh, Thành phố Hồ Chí Minh",VN
48,ChIJcx38zHmJoDERHUu5SybjbXk,QUÁN NGON CẦN THƠ HÒA TUỘC,Nhà hàng,1900 866808,"QUÁN NGON CẦN THƠ HÒA TUỘC, 333 Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ 94000","Phường An Khánh, Ninh Kiều",333 Đ. Nguyễn Văn Linh,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
49,ChIJ4-uslaNioDERJcQkA493bD4,Ninh Kieu Sky Bar,Quán bar,0939 786 123,"Ninh Kieu Sky Bar, 02 Hai Ba Trung Stress District City, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",02 Hai Ba Trung Stress District City,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
65,ChIJBfQLtuNjoDERDg4kA6AKgmw,Helios' Cocktail,Quán bar cocktail,0866 565 513,"Helios' Cocktail, 14 Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",14 Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
79,ChIJb7P93kOIoDER1wjuTtuPK4U,Quán nhậu 34K,Quán ăn nhỏ,0963 549 265,"Quán nhậu 34K, Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
80,ChIJox-59sSJoDERWDaj00Zt9bk,Dreibar Craftbeer & Cocktail,Quán bar cocktail,0902 302 666,"Dreibar Craftbeer & Cocktail, 110 Đ. Đinh Tiên Hoàng, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",110 Đ. Đinh Tiên Hoàng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
92,ChIJfxQTUjspdTERTPSzMgsXbMk,Tủ Bar,Quán bar,0795 042 511,"Tủ Bar, 160 Ng. Tất Tố, Phường 22, Bình Thạnh, Thành phố Hồ Chí Minh 70000","Phường 22, Bình Thạnh",160 Ng. Tất Tố,Thành phố Hồ Chí Minh,70000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN
108,ChIJ13IRhW2JoDERZJlZNG43Wes,LEGI Cocktails & Dining,Quán bar,0939 011 696,"LEGI Cocktails & Dining, 160 Đ. Đồng Văn Cống, P, Bình Thủy, Cần Thơ 94000","P, Bình Thủy",160 Đ. Đồng Văn Cống,Cần Thơ,94000.0,"Bình Thủy, Cần Thơ",VN
124,ChIJcTxa8A9joDERk_PI1odaM_4,Beer & Wine Restaurant,Nhà hàng Pháp,0939 678 222,"Beer & Wine Restaurant, 55a Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ 94000","Tân An, Ninh Kiều",55a Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
125,ChIJMyPy4YSJoDERs3CM9_7tp50,Déjà Vu Cocktail Bar,Quán bar cocktail,0979 279 055,"Déjà Vu Cocktail Bar, 142 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",142 Huỳnh Cương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
126,ChIJIc5Cc7WJoDERPqBZ_2ZwA3o,The Zone - Beer & Food,Quán bia,0939 048 689,"The Zone - Beer & Food, 55 Đ. Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ 94117","Phường An Khánh, Ninh Kiều",55 Đ. Hồ Bún Xáng,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN
151,ChIJw55WighjoDERtbJDN5YTaEM,Hiraeth Cocktail Bar & Kitchen,Quán bar cocktail,0942 377 388,"Hiraeth Cocktail Bar & Kitchen, 199 Nguyễn Thị Minh Khai, An Lạc, Ninh Kiều, Cần Thơ 900000","An Lạc, Ninh Kiều",199 Nguyễn Thị Minh Khai,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
164,ChIJScrFOq2JoDERwcxuAngu2UQ,HoDoor - The Bar In Town,Quán bar,,"HoDoor - The Bar In Town, 98 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",98 Huỳnh Cương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
180,ChIJ-1BSQcaJoDERxs7viJwvoAU,Bia Đức Thầy Tu EIBAUER - BALOSCA,Quán bia,,"Bia Đức Thầy Tu EIBAUER - BALOSCA, 105 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",105 Đ. Nguyễn Đệ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
181,ChIJlbyLHSSIoDERK2eQRGE8B4o,Iris Sky Bar,Quán bar,,"Iris Sky Bar, 224 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",224 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
194,ChIJGecIOEGJoDER5C2e1lKV9so,Quán Bar Của Tiếp Thực,Quán bar,,"XPQ4+HJ8 Quán Bar Của Tiếp Thực, Mỹ Khánh, Phong Điền, Cần Thơ","Mỹ Khánh, Phong Điền",XPQ4+HJ8,Cần Thơ,,"Phong Điền, Cần Thơ",VN
210,ChIJZSUrtr6JoDERivclGdvXpuA,Food & Beer Bụi Phố 24h,Quán bar,0939 946 732,"Food & Beer Bụi Phố 24h, Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Đ. Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
211,ChIJ9eL4oCGJoDERr5LOZRHZB-g,Quán Hải Mèo,Quán bar,0939 946 732,"2Q76+WV6 Quán Hải Mèo, Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều","2Q76+WV6, Đ. Trần Hoàng Na",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
212,ChIJlc3Ua3-JoDERRs_X-MqMejc,Dalton's,Quán bar,,"Dalton's, 6v Hẻm 51, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",6v Hẻm 51,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
214,ChIJTTcenh-IoDERotzqxLda1Rk,KARAOKE KHOA,Quán bar karaoke,0292 3834 524,"KARAOKE KHOA, 1/36A Đ. Lý Tự Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",1/36A Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
220,ChIJiRp8OE2JoDERdx7YWkrwRn8,Thực Phẩm Đông Lạnh - Quán ĐẠI PHÁT,Quán bia,0907 454 079,"Thực Phẩm Đông Lạnh - Quán ĐẠI PHÁT, 23 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",23 Huỳnh Cương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
