,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJt7IubzSIoDERpETZbvPUYcA,Quán Bún Mắm 173,Quán ăn nhỏ,0914 063 042,"Quán Bún Mắm 173, 594 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",594 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
1,ChIJFTB64TOIoDERtEEtnUW5ZoA,Phở Hà Nội,Nhà hàng phở,0966 887 878,"Phở Hà Nội, Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
3,ChIJrWekMDWIoDER72OGRqLV_-Y,Phở Hương 529,Quán ăn nhỏ,0292 3840 470,"Phở Hương 529, 529 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",529 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
4,ChIJP2wcCRCJoDERX9DE8T0mQBA,Mẹt Quán - Ẩm Thực Hà Thành,Nhà hàng,0982 253 615,"Mẹt Quán - Ẩm Thực Hà Thành, 82 Đ. A3, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",82 Đ. A3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
5,ChIJS_tor-mJoDERNiqFz1iXDGM,Quán phở Hà Nội Bá Hùng,Nhà hàng phở,0867 565 472,"Quán phở Hà Nội Bá Hùng, 233 Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ 029203","An Hoà, Ninh Kiều",233 Đ. Nguyễn Đệ,Cần Thơ,29203.0,"Ninh Kiều, Cần Thơ",VN
7,ChIJ57eJ2tuJoDER-gi788XcGGk,Quán Phở Bún Bò Hiển Dương,Nhà hàng gia đình,0939 176 651,"Quán Phở Bún Bò Hiển Dương, 97 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",97 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
8,ChIJEybznJ9ioDER2poBt9JJtMk,Quán Bún Bò Huế Hữu Thọ,Quán mì,0292 3822 107,"Quán Bún Bò Huế Hữu Thọ, 37 Đ. Đồng Khởi, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",37 Đ. Đồng Khởi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
9,ChIJoZzjq32JoDERZPK2uY-eNCY,Phố Đậu- Mắm tôm tóp mỡ,Quán ăn nhỏ,0824 439 555,"Phố Đậu- Mắm tôm tóp mỡ, 48 Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều",48 Đ. Nguyễn Tri Phương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
12,ChIJW8oAF6BioDERx71bibjhPTQ,Quán Phở Minh,Nhà hàng phở,0944 892 989,"Quán Phở Minh, 15 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",15 Đ. Đề Thám,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
23,ChIJh9MZhUeIoDERzFwgC6bc5KQ,Xuân Phở,Quán ăn nhỏ,0986 850 550,"Xuân Phở, 16A Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",16A Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
