,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJcWJ70U6rNTERxFCKqdDKXrw,"Joily Coffee, Tea & Bakery",Quán cà phê,0703 666 668,"Joily Coffee, Tea & Bakery, A10 Ng. Đức Hạnh 3, Khu đô thị Nam Trung Yên, Cầu Giấy, Hà Nội 11312","Khu đô thị Nam Trung Yên, Cầu Giấy",A10 Ng. Đức Hạnh 3,Hà Nội,11312.0,"Cầu Giấy, Hà Nội",VN
1,ChIJKbnmWQApdTERwsotmjhioIE,Du Miên Garden Cafe,Quán cà phê,028 3894 5555,"Du Miên Garden Cafe, 7 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh","Phường 10, Gò Vấp",7 Đ. Phan Văn Trị,Thành phố Hồ Chí Minh,,"Gò Vấp, Thành phố Hồ Chí Minh",VN
10,ChIJbUggYwcpdTERceZS9v1RSFY,Country Houses Coffee,Quán cà phê,0903 704 399,"Country Houses Coffee, 18 Đ. Phan Văn Trị, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh","Phường 10, Gò Vấp",18 Đ. Phan Văn Trị,Thành phố Hồ Chí Minh,,"Gò Vấp, Thành phố Hồ Chí Minh",VN
19,ChIJ32cXs5erNTERsqdVf0cP-mg,Xofa Café & Bistro,Quán cà phê,024 3717 1555,"Xofa Café & Bistro, 14 P. Tống Duy Tân, Hàng Bông, Hoàn Kiếm, Hà Nội","Hàng Bông, Hoàn Kiếm",14 P. Tống Duy Tân,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN
21,ChIJiXZG2IqrNTERdSRq4nRh9U4,"Lofita - Chuỗi quán Trà & Cà Phê (Cafe) Ngon, View Đẹp Nhất Hà Nội",Quán cà phê,1800 6503,"Lofita - Chuỗi quán Trà & Cà Phê (Cafe) Ngon, View Đẹp Nhất Hà Nội, 225 P. Trần Quốc Hoàn, Dịch Vọng Hậu, Cầu Giấy, Hà Nội","Dịch Vọng Hậu, Cầu Giấy",225 P. Trần Quốc Hoàn,Hà Nội,,"Cầu Giấy, Hà Nội",VN
23,ChIJ-ccIKnwvdTERcwhsdEeX6cs,Cafe Cô Ba - Đồng Khởi,Quán cà phê,,"Cafe Cô Ba - Đồng Khởi, 4-6 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000","Bến Nghé, Quận 1",4-6 Đ. Đồng Khởi,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN
32,ChIJj1y29UYvdTERjGrWH9smE-U,Katinat Saigon Kafe,Quán cà phê,028 3825 6679,"Katinat Saigon Kafe, 91 Đ. Đồng Khởi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000","Bến Nghé, Quận 1",91 Đ. Đồng Khởi,Thành phố Hồ Chí Minh,70000.0,"Quận 1, Thành phố Hồ Chí Minh",VN
37,ChIJ5Q3WZaWrNTERYpWt95xQn2Q,THAIYEN CAFE - CAFEYEN - Quán Thánh,Quán cà phê,0989 750 180,"THAIYEN CAFE - CAFEYEN - Quán Thánh, 184 P. Quán Thánh, Quán Thánh, Ba Đình, Hà Nội","Quán Thánh, Ba Đình",184 P. Quán Thánh,Hà Nội,,"Ba Đình, Hà Nội",VN
39,ChIJpap4NZGrNTERU1baVzYXQZo,Cộng Cà Phê,Quán cà phê,0911 811 132,"Cộng Cà Phê, 68 P. Quán Sứ, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội","Trần Hưng Đạo, Hoàn Kiếm",68 P. Quán Sứ,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN
41,ChIJE5-utYgXQjERgi6BGTJ5WEI,Wind Garden Coffee,Quán cà phê,0914 288 818,"Wind Garden Coffee, 72 Lê Mạnh Trinh, Phước Mỹ, Sơn Trà, Đà Nẵng 550000","Phước Mỹ, Sơn Trà",72 Lê Mạnh Trinh,Đà Nẵng,,"Sơn Trà, Đà Nẵng",VN
45,ChIJoSenAIQpdTEREL7_vv33scU,Phen’s Coffee,Quán cà phê,0396 439 014,"Phen’s Coffee, 142 Nguyễn Văn Công, Phường 3, Gò Vấp, Thành phố Hồ Chí Minh","Phường 3, Gò Vấp",142 Nguyễn Văn Công,Thành phố Hồ Chí Minh,,"Gò Vấp, Thành phố Hồ Chí Minh",VN
52,ChIJKyYzwU8ndTERA1zCwYeytGQ,Bonjour cafe the art,Quán cà phê,0387 384 548,"Bonjour cafe the art, 42 Đ. Thảo Điền, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 70000","Thảo Điền, Quận 2",42 Đ. Thảo Điền,Thành phố Hồ Chí Minh,70000.0,"Quận 2, Thành phố Hồ Chí Minh",VN
58,ChIJtdMTz6JjoDERuwhioFmU8GE,The Coffee House - Hòa Bình (Cần Thơ),Quán cà phê,028 7303 9079,"The Coffee House - Hòa Bình (Cần Thơ), 8 Đại lộ Hoà Bình, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",8 Đại lộ Hoà Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
59,ChIJw7k36kYvdTERJ9L8Dd7o-0U,Cà phê Sài Gòn Ơi,Quán cà phê,0938 531 517,"Cà phê Sài Gòn Ơi, 42 Đ. Nguyễn Huệ, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bến Nghé, Quận 1",42 Đ. Nguyễn Huệ,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
64,ChIJUWgrCqZioDERlNGHIYEhr60,Nhà Gỗ Cafe - Wood House Coffee Cần Thơ,Quán cà phê,0899 503 919,"Nhà Gỗ Cafe - Wood House Coffee Cần Thơ, 40 Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ 900000","Cái Khế, Ninh Kiều",40 Đ. Phạm Ngọc Thạch,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
67,ChIJW8bVvUwvdTERMK3h6j6UBuk,Beanthere Cafe,Quán cà phê,0987 168 584,"Beanthere Cafe, 42 Hồ Hảo Hớn, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh 70000","Phường Cô Giang, Quận 1",42 Hồ Hảo Hớn,Thành phố Hồ Chí Minh,70000.0,"Quận 1, Thành phố Hồ Chí Minh",VN
74,ChIJx_s4ZTiIoDERJhnCubUmeEM,Cà Phê Thời Gian,Quán cà phê,0901 062 020,"Cà Phê Thời Gian, 35 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",35 Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
76,ChIJy2NIVoarNTER1maj2Dt1S-Q,Căng-tin Caphe,Quán cà phê,0372 099 359,"Căng-tin Caphe, Đối diện số, 31 Ngh. 180/29 P. Kim Hoa, Phương Liên, Đống Đa, Hà Nội","Phương Liên, Đống Đa","Đối diện số, 31 Ngh. 180/29 P. Kim Hoa",Hà Nội,,"Đống Đa, Hà Nội",VN
78,ChIJ18tvsaFioDERsEF9qhIjZj8,HIGHLANDS COFFEE - Sense City,Quán cà phê,0292 3827 129,"HIGHLANDS COFFEE - Sense City, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",1 Đại lộ Hoà Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
79,ChIJ4yCUNwwmdTER8t4ojhQavrA,Quán cafe đẹp - AA Coffee,Quán cà phê,0902 900 816,"Quán cafe đẹp - AA Coffee, 102 Cao Đức Lân, Khu đô thị An Phú An Khánh, Quận 2, Thành phố Hồ Chí Minh","Khu đô thị An Phú An Khánh, Quận 2",102 Cao Đức Lân,Thành phố Hồ Chí Minh,,"Quận 2, Thành phố Hồ Chí Minh",VN
