,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJQQayiLuJoDERpziwg0bCQvU,Phúc Long Coffee & Tea,Quán cà phê,0949 579 759,"Phúc Long Coffee & Tea, 384 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",384 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
3,ChIJtdMTz6JjoDERuwhioFmU8GE,The Coffee House - Hòa Bình (Cần Thơ),Quán cà phê,028 7303 9079,"The Coffee House - Hòa Bình (Cần Thơ), 8 Đại lộ Hoà Bình, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",8 Đại lộ Hoà Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
4,ChIJUWgrCqZioDERlNGHIYEhr60,Nhà Gỗ Cafe - Wood House Coffee Cần Thơ,Quán cà phê,0899 503 919,"Nhà Gỗ Cafe - Wood House Coffee Cần Thơ, 40 Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ 900000","Cái Khế, Ninh Kiều",40 Đ. Phạm Ngọc Thạch,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
8,ChIJA0_kWJ9ioDERqzRYHqHMA5c,Bánh mì và café A.T,Quán cà phê,0292 3815 161,"Bánh mì và café A.T, 51 Võ Văn Tần, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",51 Võ Văn Tần,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
9,ChIJC_oZDB-IoDERC8xobAKur6c,Cafe Khoảnh Khắc,Quán cà phê,0292 3732 454,"Cafe Khoảnh Khắc, 51/19 Đ. Lý Tự Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",51/19 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
11,ChIJ0SZVbdiJoDERV5z8DsRe45E,Tiệm Trà Cỏ Ngọt,Quán cà phê,0939 544 881,"Tiệm Trà Cỏ Ngọt, 102/16 Đ. Lê Lai, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",102/16 Đ. Lê Lai,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
12,ChIJfZcj_qFioDERsJh3TR7iLvM,Amavo caffè,Quán cà phê,0292 6261 616,"Amavo caffè, 16 Nguyễn Thái Học, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",16 Nguyễn Thái Học,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
15,ChIJR0Xl8MOJoDERr146o63uH30,Katinat Cần Thơ Kafe,Quán cà phê,,"Katinat Cần Thơ Kafe, 19a Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",19a Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
16,ChIJ72s1_bFjoDERUgSKI9kxCYE,VADO Canteen - Nhà Hàng Nhỏ Vui Vẻ,Nhà hàng món lẩu,0799 637 739,"VADO Canteen - Nhà Hàng Nhỏ Vui Vẻ, 42 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",42 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
17,ChIJV20keZ9ioDERh1YPJYmAi0c,Cà Phê Phương Vinh,Quán cà phê,0292 3760 789,"Cà Phê Phương Vinh, 30 Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",30 Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
18,ChIJM15XtJCJoDERKrjTOAi9PEY,Hoa Yên An Bình,Quán cà phê,0919 462 904,"Hoa Yên An Bình, A3 khu dân cư 923, An Bình, Ninh Kiều, Cần Thơ 27000","An Bình, Ninh Kiều",A3 khu dân cư 923,Cần Thơ,27000.0,"Ninh Kiều, Cần Thơ",VN
20,ChIJa8eWrGyIoDERJJdb_cEoSp8,Cafe Sành Điệu 2,Quán cà phê,0932 964 157,"Cafe Sành Điệu 2, Đ. Nguyễn Tri Phương, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",Đ. Nguyễn Tri Phương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
21,ChIJz1_Q5lljoDERugYFVbXbnq4,GÓC KAFÉ,Quán cà phê,0907 121 316,"GÓC KAFÉ, 127 Nguyễn Trãi, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",127 Nguyễn Trãi,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
22,ChIJwSu-PiKIoDERHctELnrj1FQ,Củi Coffee & Homestay,Quán cà phê,0898 001 807,"Củi Coffee & Homestay, hẻm 95 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",hẻm 95 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
23,ChIJ-4t8WfiJoDERQCjS2A_fu7w,Mộc Nhiên Coffee,Quán cà phê,0939 967 888,"2QM7+PVF Mộc Nhiên Coffee, Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều","2QM7+PVF, Hẻm 51",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
24,ChIJw3D-6A-JoDERbEgBFsjHz3w,Mộng Coffee,Quán cà phê,0907 695 073,"Mộng Coffee, 57A4 Đ. Hồ Bún Xáng, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",57A4 Đ. Hồ Bún Xáng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
25,ChIJ92g2xnSJoDERK_XtYtgT7L8,A Coffee and Flower Garden,Quán cà phê,0911 678 910,"A Coffee and Flower Garden, 132 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",132 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
26,ChIJFSU86Z2JoDERBJQbtmbsy6g,Prince Koi Coffee,Quán cà phê,0979 007 795,"Prince Koi Coffee, 467 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 90000","Hưng Lợi, Ninh Kiều",467 Đ. 30 Tháng 4,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
27,ChIJF4ZpWdyJoDERzRN84j08ma8,Cà phê Sữa Đá,Quán cà phê,0859 995 359,"Cà phê Sữa Đá, 79/21 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",79/21 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
28,ChIJk1LveNCJoDER4WZ1A0h67GA,Cũ café,Quán cà phê,0965 319 594,"Cũ café, 9 Quang Trung, Xuân Khánh, Ninh Kiều, Cần Thơ 920000","Xuân Khánh, Ninh Kiều",9 Quang Trung,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN
29,ChIJGRkPfaFjoDERE8R9Uq2XIOo,Bla Land - Chill & Milk Tea,Quán cà phê,0789 992 711,"Bla Land - Chill & Milk Tea, 35 Đ. Trần Đại Nghĩa, Cái Khế, Ninh Kiều, Cần Thơ 900000","Cái Khế, Ninh Kiều",35 Đ. Trần Đại Nghĩa,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
30,ChIJ6aQxBkCJoDER6HdlntNqEoA,Cafe & Sách Không Thời Gian,Quán cà phê,0706 862 168,"Cafe & Sách Không Thời Gian, 94 Đường số 3, KDC ĐHCT, Ninh Kiều, Cần Thơ 94117","KDC ĐHCT, Ninh Kiều",94 Đường số 3,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN
35,ChIJxWSvk5CJoDER4Q-k02JGans,TRUNG NGUYÊN E COFFEE 24 VÕ VĂN KIỆT,Quán cà phê,0943 253 275,"TRUNG NGUYÊN E COFFEE 24 VÕ VĂN KIỆT, 24 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",24 Võ Văn Kiệt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
37,ChIJE0FvsHOJoDERZc6qvnV0fLQ,WIMI Coffee and Tea NVC,Quán cà phê,0824 895 024,"WIMI Coffee and Tea NVC, 123 Đ. Nguyễn Văn Cừ, KDC, Ninh Kiều, Cần Thơ","KDC, Ninh Kiều",123 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
39,ChIJAweY6-KJoDERoGU7T45AjJU,Mộc Lan Trà Quán,Quán cà phê,0903 122 383,"Mộc Lan Trà Quán, 54 tổ 7 , Đường Bờ Hồ Bún Xáng, Cần Thơ 900000","Xuân Khánh, Ninh Kiều","54 tổ 7 , Đường Bờ Hồ Bún Xáng",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
40,ChIJVbKAz3mJoDER2JSiNYHNmCs,GOLD COFFEE - HỒ BÚN XÁNG CẦN THƠ,Quán cà phê,0348 761 664,"GOLD COFFEE - HỒ BÚN XÁNG CẦN THƠ, 38/2 Hẻm 51, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",38/2 Hẻm 51,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
45,ChIJSy1BuqFioDERu4ZlbRPORVo,Trà Sữa ToCoToCo Sense City Cần Thơ,Quán cà phê,0292 2485 858,"Trà Sữa ToCoToCo Sense City Cần Thơ, TTTM Sense City, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều","TTTM Sense City, 1 Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
46,ChIJ37vstxSJoDERCIu2NXrRmOM,Hạt Specialty Coffee - Roastery,Quán cà phê,0362 164 429,"Hạt Specialty Coffee - Roastery, 67-69 Đường B25, Khu dân cư 91B, Ninh Kiều, Cần Thơ 90000","Khu dân cư 91B, Ninh Kiều",67-69 Đường B25,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
47,ChIJ-6I1hZmJoDERXIaXaV4hgiI,Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú,Quán cà phê,0866 719 799,"Coffee & Food Tiếng Xưa - TTTM Cái Khế - Trần Phú, Lô H Trần Phú, Thới Bình, Ninh Kiều, Cần Thơ 94000","Thới Bình, Ninh Kiều",Lô H Trần Phú,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
50,ChIJecnD4D2JoDERXpnttF_lD3c,Tojime cafe,Quán cà phê,0902 754 777,"Tojime cafe, 12A Đ. Lê Anh Xuân, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",12A Đ. Lê Anh Xuân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
51,ChIJ6Q4h7UqJoDERC42Rvn9dESI,TRẦM COFFEE & TEA,Quán cà phê,0767 578 708,"TRẦM COFFEE & TEA, 321 - 323 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",321 - 323 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
52,ChIJSZJDJgOIoDERraFeDjWz1ao,Tasa Coffee Hùng Vương,Quán cà phê,0932 838 588,"Tasa Coffee Hùng Vương, 55 Hùng Vương, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",55 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
