,place_id,name,main_category,categories,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJLTbDq69ioDERm2YShtUfRic,Nhà Hàng Lúa Nếp,Nhà hàng,Nhà hàng,+84 292 3676 979,"2QVV+WM5 Nhà Hàng Lúa Nếp, Khu bãi bồi, p. Cái Khế, Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","2QVV+WM5, Khu bãi bồi, p. Cái Khế, Lê Lợi",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
3,ChIJ2ZJaF12IoDERnzIHDfrFnb8,Quán Bánh xèo 7 Tới,Quán ăn nhỏ,Quán ăn nhỏ,+84 947 699 743,"Quán Bánh xèo 7 Tới, 45 Đ. Hoàng Quốc Việt, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",45 Đ. Hoàng Quốc Việt,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
7,ChIJJcVmoh-IoDEREXEUXrzGpbU,Quán Lẩu Vịt Nấu Chao Thành Giao,Nhà hàng,"Nhà hàng, Quán ăn nhỏ",+84 939 933 949,"Quán Lẩu Vịt Nấu Chao Thành Giao, hẻm 1 Đ. Lý Tự Trọng, An Phú, Ninh Kiều, Cần Thơ, Việt Nam","An Phú, Ninh Kiều",hẻm 1 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
10,ChIJk0ML7KRioDERxaR-kkPZEBw,Nhà hàng Hoa Sứ,Nhà hàng,Nhà hàng,+84 292 3820 717,"2QQR+4JV Nhà hàng Hoa Sứ, KDL, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều","2QQR+4JV, KDL",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
13,ChIJy8wPWKhioDER2w3ad4TlCCQ,Cơm Gà 6 Quận,Quán ăn nhỏ,Quán ăn nhỏ,+84 908 816 188,"Cơm Gà 6 Quận, 109 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",109 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
17,ChIJBxAuWOKJoDERsPWrqr0chJ4,Khu Sinh Thái Ẩm Thực QUÊ MÌNH,Nhà hàng,Nhà hàng,+84 888 888 639,"Khu Sinh Thái Ẩm Thực QUÊ MÌNH, 36 Đường số 3, Hưng Lợi, Ninh Kiều, Cần Thơ, Việt Nam","Hưng Lợi, Ninh Kiều",36 Đường số 3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
19,ChIJA6HSzJhioDERwCOQZiuyZ80,Restaurant & Café Lotus Ninh Kiều,Nhà hàng,Nhà hàng,+84 292 3767 868,"Restaurant & Café Lotus Ninh Kiều, 2 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ, Việt Nam","Tân An, Ninh Kiều",2 Đường Hai Bà Trưng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
20,ChIJn8A_WIOJoDERNd1Qyd5AA0Y,ĐỒNG XANH 2,Quán ăn nhỏ,Quán ăn nhỏ,+84 988 626 600,"ĐỒNG XANH 2, 211 Đ. Nguyễn Văn Linh, P, Ninh Kiều, Cần Thơ 90000, Việt Nam","P, Ninh Kiều",211 Đ. Nguyễn Văn Linh,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
21,ChIJWeRg1LpioDERbFPJDEapK48,Nhà hàng Cây Bưởi 2,Nhà hàng,Nhà hàng,+84 292 3768 433,"Nhà hàng Cây Bưởi 2, Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",Sông Hậu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
24,ChIJp2qo3bGJoDERJ0kdo5lDdgw,Quán Cháo Cối MT.68,Nhà hàng,Nhà hàng,+84 869 656 817,"Quán Cháo Cối MT.68, 109 Đ. Đồng Văn Cống, An Thới, Bình Thủy, Cần Thơ, Việt Nam","An Thới, Bình Thủy",109 Đ. Đồng Văn Cống,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
