,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJQcYa6TyJoDERlcizw1kqeO0,Nabi shop - 12M fashion,Cửa hàng quần áo,0976 265 654,"Nabi shop - 12M fashion, 10 Đường số 3, khu dân cư Metro, Ninh Kiều, Cần Thơ 902070","khu dân cư Metro, Ninh Kiều",10 Đường số 3,Cần Thơ,902070.0,"Ninh Kiều, Cần Thơ",VN
3,ChIJE4s9fcqJoDERuhZpPokjCnk,"FM STYLE 202 Đường 3/2 Ninh Kiều, Cần Thơ",Cửa hàng quần áo,0345 839 607,"FM STYLE 202 Đường 3/2 Ninh Kiều, Cần Thơ, 202 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 94100","Hưng Lợi, Ninh Kiều",202 Đ. 3 Tháng 2,Cần Thơ,94100.0,"Ninh Kiều, Cần Thơ",VN
14,ChIJu0oT6zmIoDERtPD9V4K0b2c,Linh Nhi Shop,Cửa hàng quần áo,0939 985 637,"Linh Nhi Shop, 30 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",30 Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
17,ChIJ-Zi2XyGIoDERwEjFXM5z-jg,Thời Trang Công Sở Anh Đức,Cửa hàng quần áo,0918 414 037,"Thời Trang Công Sở Anh Đức, 27 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",27 Đ. Mậu Thân,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
30,ChIJ7V7IjIWJoDERABF49-tHkjw,VM Style,Cửa hàng quần áo,0898 100 009,"VM Style, 54C1 3/2, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",54C1 3/2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
35,ChIJEehJpeaJoDERec7rnawSVq8,Anh Đức Fashion Thời Trang Nam Nữ,Cửa hàng quần áo,0915 610 828,"Anh Đức Fashion Thời Trang Nam Nữ, 79 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",79 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
45,ChIJ-58cmQqJoDERmeLKl8VquZQ,Pooh Fashion,Cửa hàng quần áo,0907 289 399,"Pooh Fashion, 49 Đ. Võ Trường Toản, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",49 Đ. Võ Trường Toản,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
51,ChIJrTFJxF1joDER-nqkFNnFjbE,Hipster Style,Cửa hàng quần áo,0944 873 978,"Hipster Style, 28 Hẻm 38 Đ.Trương Định, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",28 Hẻm 38 Đ.Trương Định,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
62,ChIJhw073TKJoDERXB1Hej7Cois,Sonisa Fashion,Nhà thiết kế thời trang,0816 254 499,"Sonisa Fashion, 108 Đ. Mậu Thân, P, Ninh Kiều, Cần Thơ 94114","P, Ninh Kiều",108 Đ. Mậu Thân,Cần Thơ,94114.0,"Ninh Kiều, Cần Thơ",VN
63,ChIJGxUeOh-IoDERMeOAxaogd_o,Phoenix Fashion,Cửa hàng quần áo,0888 090 957,"Phoenix Fashion, 66/6 Trần Bình Trọng, Cần Thơ, Việt Nam, Cần Thơ,Việt Nam, Cần Thơ 900000","An Phú, Cần Thơ,Việt Nam","66/6 Trần Bình Trọng, Cần Thơ, Việt Nam",Cần Thơ,900000.0,"Cần Thơ,Việt Nam, Cần Thơ",VN
71,ChIJZ3cOcNeJoDER7Jua2Ac5AFI,VM Style,Cửa hàng quần áo,0898 100 009,"VM Style, 261 Hẻm 553, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",261 Hẻm 553,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
84,ChIJ70axuFSJoDER0SsKvUxbqy4,Nhật Vy Fashion,Cửa hàng quần áo nữ,0939 882 078,"Nhật Vy Fashion, 23B Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",23B Đ. Mậu Thân,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
85,ChIJD4O-vqyJoDERVHEEf7B0bAU,LH Fashion,Cửa hàng quần áo,0383 208 903,"LH Fashion, 68 Đ. Số 2, khu Thới Nhựt, Ninh Kiều, Cần Thơ 94000","khu Thới Nhựt, Ninh Kiều",68 Đ. Số 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
86,ChIJfeG6JS2JoDERK6-7QaxzsRg,Nga’S Style,Cửa hàng quần áo nữ,0939 022 566,"Nga’S Style, 48 Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",48 Đ. Mạc Thiên Tích,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
87,ChIJO0qAFdKJoDERoZeH2UNMU-8,Đỏ Luxury - Thời trang hàng nhập cao cấp,Cửa hàng quần áo nữ,0909 039 789,"Đỏ Luxury - Thời trang hàng nhập cao cấp, 203 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",203 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
