,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJI31sdfOJoDERTnOWMH7OzK4,Giặt Sấy Thơm Cần Thơ,Dịch vụ giặt ủi,0788 869 686,"Giặt Sấy Thơm Cần Thơ, 65 Đ. Trần Bình Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",65 Đ. Trần Bình Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0344793,105.77666339999999"
15,ChIJTxbawYOJoDER3BWhKoqzDvw,Giặt Ủi - Vệ Sinh Giày Toàn Diện | Newwash Laundry,Dịch vụ giặt ủi,0373 611 612,"Giặt Ủi - Vệ Sinh Giày Toàn Diện | Newwash Laundry, 369C Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều",369C Nguyễn Văn Cừ Nối Dài,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.031341699999999,105.7531321"
30,ChIJ7_jls46JoDERi3G1Whl3PAQ,Giặt Sấy XANH (EastBlue),Dịch vụ giặt ủi,,"Giặt Sấy XANH (EastBlue), 132 26 Hẻm 132, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",132 26 Hẻm 132,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0198549,105.7588796"
45,ChIJVeBjtlaJoDER8qDym8svNtc,GIĂT HẤP - GIẶT ỦI - VỆ SINH GIÀY | NEWWASH CẦN THƠ,Dịch vụ vệ sinh,0373 611 612,"GIĂT HẤP - GIẶT ỦI - VỆ SINH GIÀY | NEWWASH CẦN THƠ, 343 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ 900000","An Hoà, Ninh Kiều",343 Đ. Nguyễn Văn Cừ,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0453587,105.7672948"
48,ChIJhQNb79-JoDERfwPwi9PG2DY,Giặt Ủi Chuyên Nghiệp Jumbo Laundry Cần Thơ,Cửa hàng giặt là,0902 979 939,"Giặt Ủi Chuyên Nghiệp Jumbo Laundry Cần Thơ, 84 Đ. Nguyễn Hiền, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",84 Đ. Nguyễn Hiền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0237921,105.756641"
50,ChIJ3_5PAuiHoDEROgvNGRdxSvc,Giặt ủi giá rẻ Cần Thơ - Gọi giao nhận tận nơi miễn phí,Dịch vụ giặt ủi,0702 994 979,"Giặt ủi giá rẻ Cần Thơ - Gọi giao nhận tận nơi miễn phí, Đ. Cách Mạng Tháng 8, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ","Bùi Hữu Nghĩa, Bình Thủy",Đ. Cách Mạng Tháng 8,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.0666809,105.7590266"
63,ChIJmxui882JoDER0PpW5aRKrws,Giặt sấy MAMA,Dịch vụ giặt ủi,0939 509 048,"Giặt sấy MAMA, 20 Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",20 Đ. Trần Hoàng Na,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0132748,105.7635719"
78,ChIJtSu0HRqJoDERRsS7d8IcMQA,Tiệm giặt nhà Hoà,Cửa hàng giặt là,,"Tiệm giặt nhà Hoà, 233/15 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ 900000","An Hoà, Ninh Kiều",233/15 Đ. Nguyễn Văn Cừ,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0473383,105.7698817"
79,ChIJMXQh6P6JoDERKGNPYNK0zGY,Giặt Ủi Nice Wash,Dịch vụ giặt ủi,0856 399 123,"Giặt Ủi Nice Wash, 44 Đ. Võ Trường Toản, An Hoà, Ninh Kiều, Cần Thơ 900000","An Hoà, Ninh Kiều",44 Đ. Võ Trường Toản,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0481704,105.7662593"
83,ChIJD195VIaJoDERU_TtLyZ9LVk,Tiệm Giặt Nhà Tui,Dịch vụ giặt ủi,0867 627 280,"Tiệm Giặt Nhà Tui, 233/44 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",233/44 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0468462,105.77006779999999"
