,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJGwehsCWIoDEReYouIg7SJJo,California Fitness & Yoga Cần Thơ,Phòng tập thể dục,0292 7302 999,"California Fitness & Yoga Cần Thơ, Vincom, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều","Vincom, 209 Đ. 30 Tháng 4",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0241331,105.77406579999999"
15,ChIJ-QNorn2JoDERymaCSU-dSnE,The New Gym,Phòng tập thể dục,1900 636920,"The New Gym, 35 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 94000","Hưng Lợi, Ninh Kiều",35 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0129552,105.7574674"
30,ChIJC3zZqQ5joDERT5R2-EqRZk4,Cần Thơ Boxing Club (CBC),Phòng tập thể dục,0907 915 502,"Cần Thơ Boxing Club (CBC), Phòng tập Boxing, Cổng A - Sân Vận Động, Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều","Phòng tập Boxing, Cổng A - Sân Vận Động, Lê Lợi",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.048276,105.7882104"
34,ChIJOa0uUTSIoDERwNlnTM1vnug,Lion Gym,Phòng tập thể dục,0363 222 244,"Lion Gym, 12A Hẻm 656, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",12A Hẻm 656,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0146404,105.7618675"
49,ChIJ_6pZc7ZjoDERUEYivrW-Y7Q,BODYBAS GYM - CLB Thể Hình Bóng Rổ Cần Thơ,Phòng tập thể dục,0898 848 858,"BODYBAS GYM - CLB Thể Hình Bóng Rổ Cần Thơ, 170 Đ. Trần Văn Trà, Hưng Phú, Cái Răng, Cần Thơ","Hưng Phú, Cái Răng",170 Đ. Trần Văn Trà,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.018963,105.7883244"
64,ChIJUzFzOUSJoDERLMhS-V9TQ5U,Minh Triet Fitness,Phòng tập thể dục,,"Minh Triet Fitness, 58A Đ. 30 Tháng 4, An Lạc, Cần Thơ, 900000","An Lạc, Cần Thơ",58A Đ. 30 Tháng 4,Cần Thơ,900000.0,Cần Thơ,VN,"10.0302552,105.780305"
79,ChIJi2q7U-SJoDERzcu_vuClP3I,RIO GYM CENTER,Phòng tập thể dục,0939 817 168,"RIO GYM CENTER, 377 Trần Hưng Đạo, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",377 Trần Hưng Đạo,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.9982151,105.7535612"
86,ChIJDX3gK4WJoDERidF3BBLPTVc,Phong GYM,Phòng tập thể dục,0988 986 266,"Phong GYM, 297 Nguyễn Đệ, 67 Đường Đồng Văn Cống, cũ, Ninh Kiều, Cần Thơ","cũ, Ninh Kiều","297 Nguyễn Đệ, 67 Đường Đồng Văn Cống",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.048996899999999,105.76431129999999"
87,ChIJpzZHs8KJoDERbtgcOZ_qBaE,Fitness Gym Đại Ngân,Phòng tập thể dục,0589 951 105,"Fitness Gym Đại Ngân, 36 Đường số 3, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",36 Đường số 3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.037670499999999,105.7616419"
114,ChIJF-DqDJ-JoDERltCDRxgQ9PY,GYM Anh Thông - 335 Nguyễn Văn Cừ,Phòng tập thể dục,0948 819 891,"GYM Anh Thông - 335 Nguyễn Văn Cừ, 335 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",335 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0457296,105.7676245"
115,ChIJKzquTsiJoDERekvbYws4V6Y,3T_Muscle,Phòng tập thể dục,0878 799 994,"3T_Muscle, 99 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ 900000","An Bình, Ninh Kiều",99 Nguyễn Văn Cừ Nối Dài,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0045238,105.7227511"
