,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJoWjOraFioDERMFNgcvEgUdo,Siêu thị Điện máy XANH,Cửa hàng bán đồ điện tử,1900 232461,"Siêu thị Điện máy XANH, Số 08 Hòa Bình, P, Ninh Kiều, 94000","P, Ninh Kiều",Số 08 Hòa Bình,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
3,ChIJOa1v3x8vdTER-ZWEndbA5_U,Hoa Tuơi Sài Gòn- Hoa Tươi 360,Cửa hàng bán buôn hoa,0977 301 303,"Hoa Tuơi Sài Gòn- Hoa Tươi 360, VN, 413 Đ. Lê Văn Sỹ, Phường 2, Tân Bình, Thành phố Hồ Chí Minh 700000","Phường 2, Tân Bình","VN, 413 Đ. Lê Văn Sỹ",Thành phố Hồ Chí Minh,700000.0,"Tân Bình, Thành phố Hồ Chí Minh",VN
11,ChIJ3U_axUqIoDERNApC7iWjlPA,HEAD Hoá 1 Cần Thơ-ĐL Honda Ủy Nhiệm,Đại lý xe Honda,0292 3832 979,"HEAD Hoá 1 Cần Thơ-ĐL Honda Ủy Nhiệm, 29A Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",29A Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
12,ChIJ7-AIkzOJoDER1uXhPFdyMJg,Siêu thị Bách hóa XANH,Siêu thị,1900 1908,"Siêu thị Bách hóa XANH, 6 Đ. Trần Hoàng Na, P, Ninh Kiều, Cần Thơ 700000","P, Ninh Kiều",6 Đ. Trần Hoàng Na,Cần Thơ,700000.0,"Ninh Kiều, Cần Thơ",VN
13,ChIJxVXN2ICrNTERpFoO7nCsB44,Hoa Việt Pháp (.hoa.vn),Cửa hàng hoa,024 3991 1088,"Hoa Việt Pháp (.hoa.vn), 15 Ng. 65 P. Phạm Ngọc Thạch, Kim Liên, Đống Đa, Hà Nội 10000","Kim Liên, Đống Đa",15 Ng. 65 P. Phạm Ngọc Thạch,Hà Nội,10000.0,"Đống Đa, Hà Nội",VN
14,ChIJXyAfQzSJoDERrt9EZjLCPQo,Bách hoá XANH,Siêu thị,1900 1908,"Bách hoá XANH, 148 Đ. Nguyễn Tri Phương, P, Ninh Kiều, Cần Thơ 700000","P, Ninh Kiều",148 Đ. Nguyễn Tri Phương,Cần Thơ,700000.0,"Ninh Kiều, Cần Thơ",VN
15,ChIJXz9FNaBioDERkMVxaGUNOnU,Nhà sách FAHASA Hòa Bình,Hiệu sách,0292 3815 253,"Nhà sách FAHASA Hòa Bình, 01 Hoà Bình P, Ninh Kiều","Tân An, Ninh Kiều",01 Hoà Bình P,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
16,ChIJHXAW992JoDERk2zB83v-F4w,Bách hoá XANH,Siêu thị,1900 1908,"Bách hoá XANH, 8 Đ. Đồng Văn Cống, KV5, Bình Thủy, Cần Thơ","KV5, Bình Thủy",8 Đ. Đồng Văn Cống,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
17,ChIJ2XpKGxSJoDERvRkzqeb4rHs,Siêu thị Bách hoá XANH 48 Nguyễn Đệ,Siêu thị,1900 1908,"Siêu thị Bách hoá XANH 48 Nguyễn Đệ, 48A Nguyễn Đệ, Khu Vực IV, P, Bình Thủy, Cần Thơ","P, Bình Thủy","48A Nguyễn Đệ, Khu Vực IV",Cần Thơ,,"Bình Thủy, Cần Thơ",VN
18,ChIJTQMY8J9ioDERiqJpBP62QrA,In Ấn Hải Lưu - In Quảng Cáo Giá Rẻ - CN Hòa Bình,Cửa hàng in ấn,0899 909 997,"In Ấn Hải Lưu - In Quảng Cáo Giá Rẻ - CN Hòa Bình, 19A Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ 94000","Tân An, Ninh Kiều",19A Đại lộ Hoà Bình,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
19,ChIJL7EmCU2JoDERzqPk3zV0Eso,Siêu thị Bách hoá XANH 141A Nguyễn Văn Cừ nối dài,Siêu thị,1900 1908,"Siêu thị Bách hoá XANH 141A Nguyễn Văn Cừ nối dài, 141A Nguyễn Văn Cừ Nối Dài, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",141A Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
20,ChIJY1DpHbmJoDER1VvEI9OMRWI,Siêu thị Bách hóa XANH 390A Trần Nam Phú,Siêu thị,1900 1908,"Siêu thị Bách hóa XANH 390A Trần Nam Phú, 390A Đ. Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",390A Đ. Trần Nam Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
22,ChIJ76ktcFCJoDEROA6ArFc0xeY,Siêu thị Bách hóa XANH Mậu Thân,Cửa hàng tạp phẩm,1900 1908,"Siêu thị Bách hóa XANH Mậu Thân, Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều",Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
23,ChIJoR6ESzeIoDERKtWGHz06ffs,Shop Hoa Tươi Đà Lạt,Cửa hàng hoa,0902 641 567,"Shop Hoa Tươi Đà Lạt, 266 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",266 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
37,ChIJF-6D7qFioDERsfNSFHaupFs,Tạp Hóa Cô 6 Cô 7,Cửa hàng tạp phẩm,,"Tạp Hóa Cô 6 Cô 7, 27 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",27 Phan Đình Phùng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
39,ChIJQdLQEz9joDER488Pt_7Q1rc,Thiều Hoa,Cửa hàng quần áo nữ,1800 9246,"Thiều Hoa, 19 Nguyễn Trãi, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",19 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
