,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,,Winter Spring Homestay,Căn hộ,,,,,,,,,"10.044890403747559,105.78294372558594"
15,,Queenie House - Twin Room,Nhà ở,,,,,,,,,"10.033379554748535,105.77765655517578"
16,,Dan Sinh Homestay - Deluxe Family Room,Nhà ở,,,,,,,,,"9.979809761047363,105.76624298095703"
21,,Orchid Garden Homestay Can Tho,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.05543041229248,105.76979064941406"
31,,My Hoa Mekong Homestay,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.021245002746582,105.83057403564453"
46,,De Aquar Home Can Tho,Nơi lưu trú,,,,,,,,,"10.047750473022461,105.78265380859375"
61,,Magnolia's Can Tho - Apartment with Balcony,Nhà ở,,,,,,,,,"10.030960083007812,105.78511810302734"
62,,Emerald Boutique Stay - Studio with Balcony,Nhà ở,,,,,,,,,"10.033880233764648,105.78282165527344"
65,,LITTLE DALAT HOMESTAY,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.024749755859375,105.75074005126953"
75,,Green Sunshine Can Tho,Nhà ở,,,,,,,,,"10.05085277557373,105.7489013671875"
76,,De Rivé Homestay,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.034440040588379,105.78829956054688"
88,,Manh Phat Motel,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.043149948120117,105.76545715332031"
103,,Mekong Daniel Resort(Bungalow2),Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.036060333251953,105.7806396484375"
106,,"Căn hộ 70m2, 2 phòng ngủ",Căn hộ,,,,,,,,,"10.044839859008789,105.76423645019531"
108,,Cu Lao Xanh Homestay Can Tho,Căn hộ,,,,,,,,,"10.061630249023438,105.77639770507812"
109,,My Hoa Mekong Homestay - Bungalow,Căn hộ,,,,,,,,,"10.021240234375,105.83056640625"
110,,ARYE guest house,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.006210327148438,105.73985290527344"
123,,Grandma's House 2,Căn hộ,,,,,,,,,"10.001629829406738,105.74474334716797"
147,,B Home B23 - Home away from home,Căn hộ,,,,,,,,,"10.050515174865723,105.77742004394531"
148,,B Home B22 - Where you can feel like home,Căn hộ,,,,,,,,,"10.050569534301758,105.77743530273438"
149,,Fabulous Mekong Homestay,Nhà ở,,,,,,,,,"10.033040046691895,105.77652740478516"
150,,Ni's Homestay,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.034284591674805,105.77201080322266"
151,,08 Homestay - Deluxe Double or Twin Room with City View,Nhà ở,,,,,,,,,"10.045470237731934,105.7787094116211"
152,,Can Tho home & apartment,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.03390121459961,105.7854995727539"
153,,Homestay demo,Nhà ở,,,,,,,,,"10.038840293884277,105.76325225830078"
154,,Homestay Can Tho Green Sunshine,Nhà bungalow,,,,,,,,,"10.050985336303711,105.74891662597656"
155,,Aluny Boutiquestay,Nhà ở,,,,,,,,,"10.029813766479492,105.78693389892578"
156,,Thịnh's House - King Room with Balcony,Nhà ở,,,,,,,,,"10.046979904174805,105.77401733398438"
157,,Homestay Can Tho Green Sunshine - B room,Nhà nghỉ dưỡng cho thuê,,,,,,,,,"10.05090618133545,105.7486801147461"
158,,DUY'S HOME- Rooms for 4 people with bathroom,Nhà ở,,,,,,,,,"10.045860290527344,105.78703308105469"
159,,LASAOMA HOMESTAY / QUEEN BED / PET FRIENDLY,Căn hộ,,,,,,,,,"10.037070274353027,105.76679992675781"
