,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJ2VxpNHerNTERjdLZkNGVG7o,In Tam Tân cơ sở 2,Cửa hàng in ấn,0904 370 010,"In Tam Tân cơ sở 2, 10 ngách 5 360 Đường La Thành, Chợ Dừa, Đống Đa, Hà Nội","Chợ Dừa, Đống Đa",10 ngách 5 360 Đường La Thành,Hà Nội,,"Đống Đa, Hà Nội",VN,"21.022923499999997,105.82335979999999"
1,ChIJaTutKxarNTERgugBpqBkqJU,In Chất Lượng,Cửa hàng in ấn,0901 251 102,"In Chất Lượng, 2 B, Đ. Cầu Giấy, Láng Thượng, Ba Đình, Hà Nội","Láng Thượng, Ba Đình","2 B, Đ. Cầu Giấy",Hà Nội,,"Ba Đình, Hà Nội",VN,"21.0289984,105.8025837"
2,ChIJ0QRxBEKrNTERwokSznMZetM,In Lan Hương,Cửa hàng in ấn,024 3766 3843,"In Lan Hương, 2 Đ. Cầu Giấy, Láng Thượng, Đống Đa, Hà Nội","Láng Thượng, Đống Đa",2 Đ. Cầu Giấy,Hà Nội,,"Đống Đa, Hà Nội",VN,"21.0290695,105.80255149999999"
3,ChIJk8xNPH6rNTERMXFQITUg6Iw,CÔNG TY CỔ PHẦN IN NHANH VIỄN ĐÔNG,Cửa hàng in ấn,,"CÔNG TY CỔ PHẦN IN NHANH VIỄN ĐÔNG, 30 Ng. 178 P. Tây Sơn, Trung Liệt, Đống Đa, Hà Nội 100000","Trung Liệt, Đống Đa",30 Ng. 178 P. Tây Sơn,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN,"21.0104521,105.8247756"
4,ChIJTQMY8J9ioDERiqJpBP62QrA,In Ấn Hải Lưu - In Quảng Cáo Giá Rẻ - CN Hòa Bình,Cửa hàng in ấn,0899 909 997,"In Ấn Hải Lưu - In Quảng Cáo Giá Rẻ - CN Hòa Bình, 19A Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ 94000","Tân An, Ninh Kiều",19A Đại lộ Hoà Bình,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0319851,105.7828139"
18,ChIJ2XIT4XCJoDERQw4_N11N9nM,In Ấn Hải Lưu - In Quảng Cáo Giá Rẻ - CN Mậu Thân,Cửa hàng in ấn,0899 909 997,"In Ấn Hải Lưu - In Quảng Cáo Giá Rẻ - CN Mậu Thân, 79B Mậu Thân Phường Xuân Khánh Ninh Kiều Can Tho City, 940000","An Phú, Ninh Kiều",79B Mậu Thân Phường Xuân Khánh Ninh Kiều Can Tho City,Cần Thơ,940000.0,"Ninh Kiều, Cần Thơ",VN,"10.030866999999999,105.7754551"
32,ChIJX7x5L4irNTERtKHDAzvVct4,Inchi in ấn quà tặng theo yêu cầu,Cửa hàng in ấn,0969 880 085,"Inchi in ấn quà tặng theo yêu cầu, Tòa C, 10 P. Chương Dương Độ, Chương Dương Độ, Hoàn Kiếm, Hà Nội","Chương Dương Độ, Hoàn Kiếm","Tòa C, 10 P. Chương Dương Độ",Hà Nội,,"Hoàn Kiếm, Hà Nội",VN,"21.0293644,105.8586167"
33,ChIJI79qzKCsNTERZN8SSBAEsAw,Đỗ In & Photocopy A4 A0,Cửa hàng in ấn,024 3556 3726,"Đỗ In & Photocopy A4 A0, 109 Đ. Trần Duy Hưng, Trung Hoà, Cầu Giấy, Hà Nội","Trung Hoà, Cầu Giấy",109 Đ. Trần Duy Hưng,Hà Nội,,"Cầu Giấy, Hà Nội",VN,"21.0107438,105.8001202"
34,ChIJxbcO10qrNTERFD4TyKnwUEQ,In màu Hà Nội,Văn phòng công ty,0983 837 864,"In màu Hà Nội, 108 P. Trần Quốc Vượng, Dịch Vọng Hậu, Cầu Giấy, Hà Nội","Dịch Vọng Hậu, Cầu Giấy",108 P. Trần Quốc Vượng,Hà Nội,,"Cầu Giấy, Hà Nội",VN,"21.0344382,105.7825786"
35,ChIJgaT_kXasNTERjpAvrcyZxVM,In Thiên Hằng,Cửa hàng in ấn,0975 500 211,"In Thiên Hằng, 85 P. Trần Đại Nghĩa, Bách Khoa, Hai Bà Trưng, Hà Nội 100000","Bách Khoa, Hai Bà Trưng",85 P. Trần Đại Nghĩa,Hà Nội,100000.0,"Hai Bà Trưng, Hà Nội",VN,"21.0042577,105.8456789"
36,ChIJIetRh0aJoDERBNgGvnxD6_c,Cty Hồng Minh Châu,Cửa hàng in ấn,0907 599 010,"Cty Hồng Minh Châu, 62 Trần Bạch Đằng, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều",62 Trần Bạch Đằng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0371936,105.7540806"
49,ChIJJ-jtTEyrNTERXNiajPQzN6g,"In Tem nhãn, in bao bì, in decal, in tem dán - In Thiên Việt",Cửa hàng in ấn,0977 686 363,"In Tem nhãn, in bao bì, in decal, in tem dán - In Thiên Việt, 106 P. Tôn Đức Thắng, Quốc Tử Giám, Đống Đa, Hà Nội 10000","Quốc Tử Giám, Đống Đa",106 P. Tôn Đức Thắng,Hà Nội,10000.0,"Đống Đa, Hà Nội",VN,"21.0269528,105.8336789"
50,ChIJqSC6_AEsdTERaQm437FaMWE,In Nhanh Lấy Ngay Giá Rẻ VinPro,Cửa hàng in ấn,0848 802 888,"In Nhanh Lấy Ngay Giá Rẻ VinPro, 424B Tân Kỳ Tân Quý, P. Phú Thuận, Tân Phú, Thành phố Hồ Chí Minh 700000","P. Phú Thuận, Tân Phú",424B Tân Kỳ Tân Quý,Thành phố Hồ Chí Minh,700000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.7992049,106.61759479999999"
63,ChIJRxSzOaopdTERQPSbCk-1u8k,In ấn trọn gói - In màu giá rẻ tại Gò Vấp,Cửa hàng in ấn,0961 338 977,"In ấn trọn gói - In màu giá rẻ tại Gò Vấp, 767 Đ. Phan Văn Trị, Phường 7, Gò Vấp, Thành phố Hồ Chí Minh 70000","Phường 7, Gò Vấp",767 Đ. Phan Văn Trị,Thành phố Hồ Chí Minh,70000.0,"Gò Vấp, Thành phố Hồ Chí Minh",VN,"10.82813,106.685339"
76,ChIJF6EVxZerNTERnKoO54CgVgU,IN ALPHA VIỆT NAM,Cửa hàng in ấn,024 3737 3060,"IN ALPHA VIỆT NAM, 460 P. Trần Quý Cáp, Văn Chương, Đống Đa, Hà Nội","Văn Chương, Đống Đa",460 P. Trần Quý Cáp,Hà Nội,,"Đống Đa, Hà Nội",VN,"21.0236432,105.8398495"
77,ChIJY_FFMlKrNTERHAYiIeIa8Hg,Công Ty In Phúc Gia - In Ấn Chuyên Nghiệp,Cửa hàng in ấn,0916 268 199,"Công Ty In Phúc Gia - In Ấn Chuyên Nghiệp, Lô D10-8 Cụm sản xuất làng nghề tập trung, Tân Triều, Thanh Trì, Hà Nội 10000","Tân Triều, Thanh Trì",Lô D10-8 Cụm sản xuất làng nghề tập trung,Hà Nội,10000.0,"Thanh Trì, Hà Nội",VN,"20.977114699999998,105.80742199999999"
78,ChIJW6Il4pOrNTERm_eXZBwO8-A,Cửa hàng in và văn phòng phẩm Thanh Nga,Cửa hàng in ấn,024 3942 8048,"Cửa hàng in và văn phòng phẩm Thanh Nga, 2 P. Dã Tượng, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội","Trần Hưng Đạo, Hoàn Kiếm",2 P. Dã Tượng,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN,"21.0241154,105.8466653"
79,ChIJYYasaDutNTERr2hWPVShEUE,PHOTOCOPY - IN ẤN THU HÀ,Cửa hàng in ấn,0865 366 882,"PHOTOCOPY - IN ẤN THU HÀ, 97 Trương Định, Hai Bà Trưng, Hà Nội","Trương Định, Hai Bà Trưng",97 Trương Định,Hà Nội,,"Hai Bà Trưng, Hà Nội",VN,"20.9931576,105.8496332"
80,ChIJv45PWRCsNTERn7svWXNwuCA,"In Card Visit, In Tờ Rơi Giá Rẻ Lấy Ngay - Thần Tốc & Giá Gốc",Cửa hàng in ấn,0902 472 266,"In Card Visit, In Tờ Rơi Giá Rẻ Lấy Ngay - Thần Tốc & Giá Gốc, 164 Khuất Duy Tiến, Nhân Chính, Thanh Xuân, Hà Nội","Nhân Chính, Thanh Xuân",164 Khuất Duy Tiến,Hà Nội,,"Thanh Xuân, Hà Nội",VN,"20.998742999999997,105.7980685"
81,ChIJD9VI2n6tNTERdt6RRylDumI,Công ty In Hồ Phúc,Cửa hàng in ấn,0936 474 716,"Công ty In Hồ Phúc, 45 P. Lương Định Của, Kim Liên, Đống Đa, Hà Nội 10000","Kim Liên, Đống Đa",45 P. Lương Định Của,Hà Nội,10000.0,"Đống Đa, Hà Nội",VN,"21.0041484,105.8357104"
82,ChIJiW9rjJetNTERM9OfJIr8lz0,In Đoàn Minh - Xưởng In Ấn Giá Gốc,Cửa hàng in ấn,0945 455 588,"In Đoàn Minh - Xưởng In Ấn Giá Gốc, 164 Khuất Duy Tiến, Nhân Chính, Thanh Xuân, Hà Nội 100000","Nhân Chính, Thanh Xuân",164 Khuất Duy Tiến,Hà Nội,100000.0,"Thanh Xuân, Hà Nội",VN,"20.999482699999998,105.7986755"
83,ChIJUzM4aTCJoDERann75HHSeCo,In Linh Cát - In ấn giá rẻ Cần Thơ,Cửa hàng in ấn,0292 3769 533,"In Linh Cát - In ấn giá rẻ Cần Thơ, 144 Đ. Phạm Ngũ Lão, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",144 Đ. Phạm Ngũ Lão,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0439324,105.77370669999999"
