,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJzcWlVKlioDER8x5DgJZRmzc,Karaoke Paradise I,Karaoke,0292 3797 797,"Karaoke Paradise I, 18 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",18 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0492584,105.7871342"
13,ChIJo4O6oYtjoDERpZU8B3-NmqM,Karaoke Tít Tót Cần Thơ 2,Karaoke theo video,0585 913 913,"Karaoke Tít Tót Cần Thơ 2, 25 Đ. Phạm Ngọc Thạch, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",25 Đ. Phạm Ngọc Thạch,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.044469399999999,105.7857164"
15,ChIJTTcenh-IoDERotzqxLda1Rk,KARAOKE KHOA,Quán bar karaoke,0292 3834 524,"KARAOKE KHOA, 1/36A Đ. Lý Tự Trọng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",1/36A Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0339029,105.77917699999999"
26,ChIJqYLh66hioDERhORN1EHDBGM,Karaoke M.Star,Quán bar karaoke,0292 3760 179,"Karaoke M.Star, 39 Đ. Trần Đại Nghĩa, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",39 Đ. Trần Đại Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0445086,105.7863131"
29,ChIJF17pJWNioDERc8e-DOBqrYA,KARAOKE OPERA CẦN THƠ,Quán bar karaoke,0292 3914 668,"KARAOKE OPERA CẦN THƠ, 06 Võ Nguyên Giáp, Hưng Phú, Cái Răng, Cần Thơ","Hưng Phú, Cái Răng",06 Võ Nguyên Giáp,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.007275,105.7946042"
36,ChIJHxqqFjCIoDERvZXru438G7M,Karaoke 174,Quán bar karaoke,0292 3819 639,"Karaoke 174, 174 Đ. Lê Bình, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",174 Đ. Lê Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.023391499999999,105.7672973"
38,ChIJTUtJE1xjoDERvQnrPgZUgpw,Karaoke - Massage Tokyo,Quán bar karaoke,0292 3767 000,"Karaoke - Massage Tokyo, 76 Đ. Lương Định Của, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",76 Đ. Lương Định Của,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0439052,105.7870928"
46,ChIJj1B7SkFioDEROLJz4V3j4dA,Karaoke Phú Quyên,Quán bar karaoke,,"XRR5+XX6 Karaoke Phú Quyên, Võ Nguyên Giáp, Phú Thứ, Cái Răng, Cần Thơ","Phú Thứ, Cái Răng","XRR5+XX6, Võ Nguyên Giáp",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.9924138,105.8098783"
48,ChIJ9QfW8ahioDEROUEXmKjO2fo,Karaoke Hoa Anh Đào,Quán bar karaoke,,"Karaoke Hoa Anh Đào, 8 Đ. Trần Đại Nghĩa, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",8 Đ. Trần Đại Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0449745,105.785602"
49,ChIJkbtvra5ioDERoaAEGe39EoM,Nhà Hàng - Karaoke Hưng Thiên Hà,Quán bar karaoke,,"Nhà Hàng - Karaoke Hưng Thiên Hà, 58 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",58 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.048003699999999,105.78796829999999"
50,ChIJW7E2YzqIoDER0gUOI0sisYI,Quán Karaoke Trần Thị Thêm,Quán bar karaoke,0937 104 362,"Quán Karaoke Trần Thị Thêm, 174/A1, Đ. Lê Bình, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều","174/A1, Đ. Lê Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.023202,105.76714039999999"
51,ChIJ9TSKnKVioDER4BstapD79Rw,Quán Karaoke Cây Bưởi,Quán bar karaoke,0292 3731 287,"2QRR+G78 Quán Karaoke Cây Bưởi, Vòng Xoay Công Viên Nước, Đường Lê Lợi, Phường Cái Khế, Quận Ninh Kiều, Tp Cần Thơ, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều","2QRR+G78, Vòng Xoay Công Viên Nước, Đường Lê Lợi, Phường Cái Khế, Quận Ninh Kiều, Tp Cần Thơ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0412876,105.79070039999999"
