,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJxbxbyKNioDERXomgS5v6cD8,TTC Hotel - Can Tho,Khách sạn,0292 3812 210,"TTC Hotel - Can Tho, 2 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ 90000","Tân An, Ninh Kiều",2 Đường Hai Bà Trưng,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
9,ChIJH_EA8DOIoDERViuAQNnqq34,Khách sạn Sheraton Cần Thơ,Khách sạn,0292 3761 888,"Khách sạn Sheraton Cần Thơ, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",209 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
16,ChIJzUC1zaRioDERKo2Fig-19GI,Victoria Can Tho Resort,Khách sạn nghỉ dưỡng,0292 3810 111,"Victoria Can Tho Resort, Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",Sông Hậu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
17,ChIJxbxbyKNioDERDuA1KGPbazg,Khách sạn Ninh Kiều 2,Khách sạn,0292 3789 999,"Khách sạn Ninh Kiều 2, 03 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",03 Đại lộ Hoà Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
29,ChIJkSpgpyaIoDERtDQ7t4DyA7k,IRIS Hotel Can Tho,Khách sạn,0292 3686 969,"IRIS Hotel Can Tho, Tòa Nhà IRIS, 224 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","Tòa Nhà IRIS, 224 Đ. 30 Tháng 4",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
38,ChIJb4UrIalioDERf-x1-5PA6vU,Khách sạn Đông Hà – Fortuneland,Khách sạn,0292 3656 656,"Khách sạn Đông Hà – Fortuneland, 141 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",141 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
43,ChIJf8l5zqtioDER394gqY022iE,Nesta Hotel - Can Tho,Khách sạn,0292 3822 216,"Nesta Hotel - Can Tho, 9C Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",9C Trần Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
44,ChIJC8aUjahioDERF7paLkibr0c,Holiday One Hotel,Khách sạn,0292 3760 670,"Holiday One Hotel, 59-61-63-65 Pham Ngoc Thach","Cái Khế, Ninh Kiều",59-61-63-65 Pham Ngoc Thach,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
45,ChIJX92IOPeHoDERLMIPEnf2eBg,Resort Cồn Khương,Khách sạn nghỉ dưỡng,0292 3939 955,"Resort Cồn Khương, 99A Đường Nguyễn Hữu Cầu, Cồn Khương, Ninh Kiều, Cần Thơ 94000","Cồn Khương, Ninh Kiều",99A Đường Nguyễn Hữu Cầu,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
47,ChIJX4MgI499oDERXfU_tJT2iJ4,Vạn Phát Riverside,Khách sạn,0292 3645 645,"Vạn Phát Riverside, 2 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",2 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
