,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJL1kGKj8vdTERj-B9lv7H6co,Mắt Kính Nam Quang - Sư Vạn Hạnh,Cửa hàng kính mát,0933 603 038,"Mắt Kính Nam Quang - Sư Vạn Hạnh, 670 Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000","Phường 12, Quận 10",670 Đ. Sư Vạn Hạnh,Thành phố Hồ Chí Minh,700000.0,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7707489,106.6702952"
14,ChIJDXNFIiQvdTERpQpiJRUBx_k,Mắt kính MatKinhHangHieu.Com,Cửa hàng kính mát,0933 515 559,"Mắt kính MatKinhHangHieu.Com, 335/1A Đ. Điện Biên Phủ, Phường 04, Quận 03, Thành phố Hồ Chí Minh 700000","Phường 04, Quận 03",335/1A Đ. Điện Biên Phủ,Thành phố Hồ Chí Minh,700000.0,"Quận 03, Thành phố Hồ Chí Minh",VN,"10.775449499999999,106.6825616"
23,ChIJzX0YGUmJoDERiduIgIiAri4,Mắt Kính BV Điện Biên Phủ,Cửa hàng kính mát,0909 406 699,"Mắt Kính BV Điện Biên Phủ, 204 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ 900000","An Hoà, Ninh Kiều",204 Đ. Nguyễn Văn Cừ,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0516265,105.77309079999999"
34,ChIJ4wKHMOCJoDERZR1agSkkCEI,Kính Mắt Anna - Mậu Thân,Cửa hàng kính mát,0783 886 634,"Kính Mắt Anna - Mậu Thân, 106 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ 94000","An Hoà, Ninh Kiều",106 Đ. Mậu Thân,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0433658,105.765641"
45,ChIJ43sjKiKJoDERQ3yZtwL-W1Q,Mắt kính ANNA,Cửa hàng kính mát,,"Mắt kính ANNA, 74 Đ. Nguyễn Việt Hồng, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",74 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0313729,105.7791251"
59,ChIJRYqBZs6JoDERXc0uBJaYRoQ,Mắt Kính Đăng Giang,Cửa hàng kính,0988 233 644,"Mắt Kính Đăng Giang, 407 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ 900100","An Hoà, Ninh Kiều",407 Đ. Nguyễn Văn Cừ,Cần Thơ,900100.0,"Ninh Kiều, Cần Thơ",VN,"10.0434932,105.765575"
74,ChIJ98kk_sApdTERgl_Z5pSdJis,Mắt Kính Nam Quang - 418 Phan Xích Long,Cửa hàng kính mát,0909 109 955,"Mắt Kính Nam Quang - 418 Phan Xích Long, 418 Phan Xích Long, Phường 2, Phú Nhuận, Thành phố Hồ Chí Minh 700000","Phường 2, Phú Nhuận",418 Phan Xích Long,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.8001363,106.68500039999999"
77,ChIJEbRdcveJoDERSQfFZGOIhuM,Mắt Kính HOÀNG HÀ,Nhà sản xuất sản phẩm quang học,0292 6556 368,"Mắt Kính HOÀNG HÀ, 385 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",385 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.019626299999999,105.7688816"
92,ChIJoeb5zdVjoDERtboJYPFZZcE,Kính Áp Tròng - Mắt Kính Minh Nguyệt - Angel Eyes Contact Lens - Lens mắt cận - loạn - viễn,Nhà cung cấp kính áp tròng,0933 931 439,"Kính Áp Tròng - Mắt Kính Minh Nguyệt - Angel Eyes Contact Lens - Lens mắt cận - loạn - viễn, 80A Đ. Xô Viết Nghệ Tĩnh, An Hội, Ninh Kiều, Cần Thơ 900000","An Hội, Ninh Kiều",80A Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.038805,105.7835582"
102,ChIJz5vvYu8udTERw_mZgLL0LvI,Mắt Kính HATO,Cửa hàng kính mát,0902 547 710,"Mắt Kính HATO, 421/31 Đ. Sư Vạn Hạnh, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000","Phường 12, Quận 10",421/31 Đ. Sư Vạn Hạnh,Thành phố Hồ Chí Minh,700000.0,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7719095,106.6684502"
104,ChIJE1y8LQUvdTERa7KIFi0sXM0,MẮT KÍNH 1001,Cửa hàng kính mát,0988 186 689,"MẮT KÍNH 1001, 1 Đ. Nguyễn Thiện Thuật, Phường 2, Quận 3, Thành phố Hồ Chí Minh 70000","Phường 2, Quận 3",1 Đ. Nguyễn Thiện Thuật,Thành phố Hồ Chí Minh,70000.0,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.766225799999999,106.6819685"
108,ChIJgx_97R-IoDER1zdnLbSrgkQ,Mắt kính Tầm nhìn mới - Cần Thơ Optic,Người đo thị lực,0292 3834 197,"Mắt kính Tầm nhìn mới - Cần Thơ Optic, 48 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",48 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0348852,105.77926839999999"
123,ChIJwWLCV8RjoDERJWM3Kv8I_eY,Mắt Kính Eye Care,Cửa hàng kính mát,0767 997 585,"Mắt Kính Eye Care, 16 Đ. Trần Văn Trà, Hưng Phú, Cái Răng, Cần Thơ 90000","Hưng Phú, Cái Răng",16 Đ. Trần Văn Trà,Cần Thơ,90000.0,"Cái Răng, Cần Thơ",VN,"10.0164812,105.7851814"
138,ChIJk500frVjoDERy3nYLjPpic4,Mắt Kính HaBi Optic,Cửa hàng kính mát,0889 088 879,"Mắt Kính HaBi Optic, 66B Đ. Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ 94000","Tân An, Ninh Kiều",66B Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0366065,105.7853189"
152,ChIJowpfKh2IoDERLKgHepijeKo,Thế Giới Mắt Kính,Trung tâm chăm sóc mắt,0907 037 760,"Thế Giới Mắt Kính, 16 Đ. Đinh Tiên Hoàng, An Hội, Ninh Kiều, Cần Thơ 900000","An Hội, Ninh Kiều",16 Đ. Đinh Tiên Hoàng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.043652,105.77912049999999"
153,ChIJFdZDyiWIoDERRa-XFKKSKEc,Cửa hàng Mắt Kính AN GIA OPTIC,Cửa hàng kính mát,0888 199 991,"Cửa hàng Mắt Kính AN GIA OPTIC, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0251855,105.7743035"
179,ChIJIUd2yXaJoDERpkPbDepNGjA,MẮT KÍNH HÀN QUỐC CẦN THƠ,Cửa hàng kính mát,0867 451 693,"MẮT KÍNH HÀN QUỐC CẦN THƠ, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0266393,105.7481227"
