,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJGTlpDn1zCjER0Piagxdbi4o,Viện Thẩm Mỹ Diva - Cần Thơ,Thẩm mỹ viện,1900 2222,"Viện Thẩm Mỹ Diva - Cần Thơ, 111 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 94114","An Phú, Ninh Kiều",111 Đ. Trần Hưng Đạo,Cần Thơ,94114.0,"Ninh Kiều, Cần Thơ",VN
4,ChIJH3_rBt9joDER30XrEntk9Qk,Thẩm Mỹ Viện Mailisa,Thẩm mỹ viện,0932 699 299,"Thẩm Mỹ Viện Mailisa, 67 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ 94112","Tân An, Ninh Kiều",67 Phan Đình Phùng,Cần Thơ,94112.0,"Ninh Kiều, Cần Thơ",VN
9,ChIJO3xWEqhioDERweMNgwdgQIY,Thẩm Mỹ Viện Seoul Center,Thẩm mỹ viện,1800 3333,"Thẩm Mỹ Viện Seoul Center, 329 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",329 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
10,ChIJG3bwu-1joDERNe9kS4l6UJs,Quỳnh Như Nail - Chuyên Sỉ & Lẻ Dụng Cụ Nail,Nhà cung cấp sản phẩm làm đẹp,0896 686 456,"Quỳnh Như Nail - Chuyên Sỉ & Lẻ Dụng Cụ Nail, 4 Đ. Võ Trường Toản, An Hoà, Ninh Kiều, Cần Thơ 94000","An Hoà, Ninh Kiều",4 Đ. Võ Trường Toản,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
11,ChIJoQ98rh6IoDERFDa-90Uz7AY,Thẩm Mỹ Viện Ngọc Hường - Cần Thơ,Thẩm mỹ viện,1900 7067,"Thẩm Mỹ Viện Ngọc Hường - Cần Thơ, 196 Đ. Lý Tự Trọng, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều",196 Đ. Lý Tự Trọng,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
16,ChIJHRmqFqhioDERFEUepRkC6ZI,Spa Cát Tiên Cần Thơ,Cơ sở chăm sóc da,0939 365 565,"Spa Cát Tiên Cần Thơ, 105 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",105 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
18,ChIJ8zUMe3iJoDERxB2eqfkbn-c,"MAY XƯA SPA CẦN THƠ - Massage body, Gội đầu dưỡng sinh, Tắm tẩy tế bào chết, xông hơi, Foot",Spa,0393 599 120,"MAY XƯA SPA CẦN THƠ - Massage body, Gội đầu dưỡng sinh, Tắm tẩy tế bào chết, xông hơi, Foot, 1e Trần Quang Khải, An Hội, Ninh Kiều, Cần Thơ 90000","An Hội, Ninh Kiều",1e Trần Quang Khải,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
20,ChIJhce23TaIoDERE1xa5WYpmqw,Thẩm Mỹ Viện Quốc Tế Aura,Thẩm mỹ viện,0833 082 222,"Thẩm Mỹ Viện Quốc Tế Aura, 207 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",207 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
22,ChIJZ1tK6ehjoDER_yj938qWo6o,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Hannah Spa 2",Spa,0379 080 909,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Hannah Spa 2, 25 Võ Thị Sáu, Tân An, Ninh Kiều, Cần Thơ 94110","Tân An, Ninh Kiều",25 Võ Thị Sáu,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN
23,ChIJbcLDsPmJoDERe8_j9T1WhbQ,MAY nail,Tiệm chăm sóc móng,0799 999 037,"MAY nail, MAY Nails, 216 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều","MAY Nails, 216 Huỳnh Cương",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
24,ChIJgT_k7h-IoDERvxssFX1Hsdo,Viện Thẩm mỹ Kangnam Cần Thơ,Thẩm mỹ viện,0962 778 866,"Viện Thẩm mỹ Kangnam Cần Thơ, 28 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",28 Đ. Lý Tự Trọng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
27,ChIJDQY7dHYZVRARo_aP-kX9Bos,Thẩm Mỹ Viện Thu Minh,Thẩm mỹ viện,0292 3653 939,"Thẩm Mỹ Viện Thu Minh, 122 Đ. 30 Tháng 4, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",122 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
33,ChIJNxfyUlqJoDERLPRzWEBKI9o,MANNAM Spa for men,Spa,0364 899 495,"MANNAM Spa for men, 113 đường 19 Khu dân cư Hồng Loan, lô 5C, Cái Răng, Cần Thơ","lô 5C, Cái Răng",113 đường 19 Khu dân cư Hồng Loan,Cần Thơ,,"Cái Răng, Cần Thơ",VN
34,ChIJvX2M9aBioDERBbBvg1QUyoA,Mỹ Nail Cần Thơ,Tiệm chăm sóc móng,0707 679 979,"Mỹ Nail Cần Thơ, 64 Đ.Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",64 Đ.Xô Viết Nghệ Tĩnh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
35,ChIJZRKpuQWJoDERQu_tD0gPhnQ,Tuyết Nhung Beauty & Eyelash,Trường dạy làm đẹp,0947 457 881,"Tuyết Nhung Beauty & Eyelash, 380P3/9, Đ. Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ 94117","Phường An Khánh, Ninh Kiều","380P3/9, Đ. Trần Nam Phú",Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN
41,ChIJ9bGDXdiJoDERS1FnOOGsGBY,Thẩm Mỹ Viện Quốc Tế Bắc Mỹ - TP Cần Thơ,Thẩm mỹ viện,0867 385 229,"Thẩm Mỹ Viện Quốc Tế Bắc Mỹ - TP Cần Thơ, 86B Hùng Vương, An Cư, Ninh Kiều, Cần Thơ 94000","An Cư, Ninh Kiều",86B Hùng Vương,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
43,ChIJoe-N_MCJoDERmW6NKYxQ32w,Lumimous Nails Cần Thơ,Tiệm chăm sóc móng,0916 599 660,"Lumimous Nails Cần Thơ, KDC Hồng Phát, Đường Số 4/295 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ 940000","An Bình, Ninh Kiều","KDC Hồng Phát, Đường Số 4/295 Đ. Nguyễn Văn Cừ",Cần Thơ,940000.0,"Ninh Kiều, Cần Thơ",VN
44,ChIJj7Y9S_-JoDERaydXlh8nAGg,Hanavy Beauty & Spa,Chuyên gia làm đẹp,0786 866 960,"Hanavy Beauty & Spa, Hẻm 4 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",Hẻm 4 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
45,ChIJKzXQApxjoDERa6C2xV1fkKM,Heo Nail Cần Thơ,Tiệm chăm sóc móng,0919 989 947,"Heo Nail Cần Thơ, 107 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ 901000","Cái Khế, Ninh Kiều",107 Trần Văn Khéo,Cần Thơ,901000.0,"Ninh Kiều, Cần Thơ",VN
47,ChIJ9woQ_bWJoDERP1C4IL5qUFc,Gội Đầu Dưỡng Sinh Hoàng Nga,Cửa hàng chăm sóc sức khỏe và làm đẹp,0333 373 392,"Gội Đầu Dưỡng Sinh Hoàng Nga, Vincom Shophouse, Xuân Khánh, Ninh Kiều, Cần Thơ 94115","Xuân Khánh, Ninh Kiều",Vincom Shophouse,Cần Thơ,94115.0,"Ninh Kiều, Cần Thơ",VN
48,ChIJ1Yv2OoCJoDERzyt5Jtn7qi8,2T Home - Dược mỹ phẩm làm đẹp Cần Thơ,Cửa hàng mỹ phẩm,0939 515 050,"2T Home - Dược mỹ phẩm làm đẹp Cần Thơ, Trường Đại Học Y Dược, Số 36 Đường Số 7, khu dân cư phía sau, Ninh Kiều, Cần Thơ","khu dân cư phía sau, Ninh Kiều","Trường Đại Học Y Dược, Số 36 Đường Số 7",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
49,ChIJGTyhHLsvdTER_fxZlNUC33o,Làm Đẹp Cùng Hà,Nhà tư vấn,0834 839 998,"Làm Đẹp Cùng Hà, 157 Đường số 5, Khu dân cư Trung Sơn, Bình Chánh, Thành phố Hồ Chí Minh 700000","Khu dân cư Trung Sơn, Bình Chánh",157 Đường số 5,Thành phố Hồ Chí Minh,700000.0,"Bình Chánh, Thành phố Hồ Chí Minh",VN
50,ChIJXWo8tXBjoDERkeKnSUZ9fvo,Tiệm Nail Moon,Tiệm chăm sóc móng,0899 333 938,"Tiệm Nail Moon, 6a Đ. Trương Định, Tân An, Ninh Kiều, Cần Thơ 94000","Tân An, Ninh Kiều",6a Đ. Trương Định,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
51,ChIJl6FJS3qJoDER-wCH_GgztUs,Song Hà - Siêu Thị làm Đẹp,Cửa hàng chăm sóc sức khỏe và làm đẹp,0787 981 198,"Song Hà - Siêu Thị làm Đẹp, 57 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",57 Đ. Mậu Thân,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
65,ChIJ9QPfoDaIoDERzOqCnSwo-eY,Viện Thẩm Mỹ Quốc Tế Dencos Luxury Cần Thơ,Thẩm mỹ viện,0907 888 836,"Viện Thẩm Mỹ Quốc Tế Dencos Luxury Cần Thơ, 357 Hẻm 558 -30/4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",357 Hẻm 558 -30/4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
66,ChIJgR6gAAaIoDERW3T0jBQMa3o,chăm sóc da Thu,Cơ sở chăm sóc da,0932 859 584,"chăm sóc da Thu, 120 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",120 Trần Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
67,ChIJX3-C4lhjoDERkFP2iJGf5EE,Tâm NAIL - GỘI ĐẦU - UỐN MI - Waxing,Tiệm chăm sóc móng,0939 546 983,"Tâm NAIL - GỘI ĐẦU - UỐN MI - Waxing, Hẻm 118-120 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",Hẻm 118-120 Trần Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
69,ChIJGU2e5waJoDERfvJgIVqBIPo,Thẩm Mỹ Ngọc Duyên,Thẩm mỹ viện,0947 218 335,"Thẩm Mỹ Ngọc Duyên, Hẻm 107, 62/9 Hoàng Văn Thụ, An Cư, Ninh Kiều, Cần Thơ 94000","An Cư, Ninh Kiều","Hẻm 107, 62/9 Hoàng Văn Thụ",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
70,ChIJdSU-rI6JoDER_EIY4FJn7HQ,Phun xăm Kiều Nguyễn Cần Thơ,Thẩm mỹ viện,0913 781 575,"Phun xăm Kiều Nguyễn Cần Thơ, 25 Đường B31, Khu dân cư 91B, Ninh Kiều, Cần Thơ 900000","Khu dân cư 91B, Ninh Kiều",25 Đường B31,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
71,ChIJ4fp_MO-JoDERmzqKXAV0Zy8,Thẩm mỹ Mộc Thanh Clinic & Spa,Thẩm mỹ viện,0292 3886 686,"Thẩm mỹ Mộc Thanh Clinic & Spa, Số 40 Đường B24, Khu dân cư 91B, Ninh Kiều, Cần Thơ","Khu dân cư 91B, Ninh Kiều",Số 40 Đường B24,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
72,ChIJeZthgqGJoDER1ZPMwEuSJAU,SPa Phan Thắm - Phun Xâm Thẩm Mĩ,Thẩm mỹ viện,0947 598 878,"SPa Phan Thắm - Phun Xâm Thẩm Mĩ, 88 Ngô Sĩ Liên, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",88 Ngô Sĩ Liên,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
73,ChIJVeiuYSmJoDERsBVq0a8SAi8,Spa Mai Bena,Spa mặt,0943 948 887,"Spa Mai Bena, 132 Hẻm 132/24, Hưng Lợi, Ninh Kiều, Cần Thơ 70010","Hưng Lợi, Ninh Kiều",132 Hẻm 132/24,Cần Thơ,70010.0,"Ninh Kiều, Cần Thơ",VN
74,ChIJO2ntY5KJoDER_7-J9qRbLKA,VeeVee,Spa,0904 044 919,"VeeVee, 172D Đ. Lê Bình, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",172D Đ. Lê Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
76,ChIJmbVLjiyJoDERUrIeJgrVeh8,YẾN VY Beauty & Nails - Cần Thơ,Tiệm chăm sóc móng,0798 111 165,"YẾN VY Beauty & Nails - Cần Thơ, 58e Hẻm 58 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 92000","Hưng Lợi, Ninh Kiều",58e Hẻm 58 Đ. 3 Tháng 2,Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN
78,ChIJ7a-JV5qJoDERYVOmOMEzxBY,Sức Khoẻ & Sắc Đẹp_Như Hạnh Spa Đông Y,Spa sức khỏe,0706 898 899,"Sức Khoẻ & Sắc Đẹp_Như Hạnh Spa Đông Y, 53 Đ. Hoàng Quốc Việt, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",53 Đ. Hoàng Quốc Việt,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
79,ChIJq8xxz0mIoDERGDLBjWJho7o,Công Ty Cổ Phần Thẩm Mỹ Viện Aura,Thẩm mỹ viện,,"Công Ty Cổ Phần Thẩm Mỹ Viện Aura, 172A Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",172A Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
