,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJs09sOMiJoDERsnB5dgb86HM,Cỏ Mềm Homelab,Cửa hàng mỹ phẩm,0866 906 099,"Cỏ Mềm Homelab, 99A Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",99A Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
1,ChIJNVqJ6RyIoDERJvQ_9SazcK4,Kim Phượng Cosmetics,Cửa hàng mỹ phẩm,0987 175 093,"Kim Phượng Cosmetics, 132/42/73 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",132/42/73 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
3,ChIJF8xUHKpioDEROtlsI9Xe9aM,Cửa Hàng Phụ Liệu Tóc Nail Toàn Mỹ,Cửa hàng mỹ phẩm,0292 3769 954,"Cửa Hàng Phụ Liệu Tóc Nail Toàn Mỹ, 07 Đ. Hồ Tùng Mậu, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",07 Đ. Hồ Tùng Mậu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
6,ChIJt-WIoAKIoDER6N_sUMw2_HY,Mỹ Phẩm Phượng Cần Thơ,Cửa hàng mỹ phẩm,0918 363 774,"Mỹ Phẩm Phượng Cần Thơ, 16 Trần Quang Khải, Cái Khế, Ninh Kiều, Cần Thơ 940000","Cái Khế, Ninh Kiều",16 Trần Quang Khải,Cần Thơ,940000.0,"Ninh Kiều, Cần Thơ",VN
21,ChIJu-TV04UsdTER4U5_-oKBNz4,Mỹ phẩm LAN,Cửa hàng mỹ phẩm,0966 232 349,"Mỹ phẩm LAN, 35 Đ. Võ Văn Vân, Âp 4، Bình Chánh, Thành phố Hồ Chí Minh 700000",Âp 4، Bình Chánh,35 Đ. Võ Văn Vân,Thành phố Hồ Chí Minh,700000.0,"Bình Chánh, Thành phố Hồ Chí Minh",VN
35,ChIJLfuPueGJoDERGsL-TofAE_E,Shop Mỹ Phẩm Thương.cosmetics,Cửa hàng mỹ phẩm,,"Shop Mỹ Phẩm Thương.cosmetics, 291 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",291 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
50,ChIJZ-aWYCSIoDERDHyCMeq22Y4,Xinh Xinh Cần Thơ - Chuyên bán mỹ phẩm,Cửa hàng mỹ phẩm,0919 810 112,"Xinh Xinh Cần Thơ - Chuyên bán mỹ phẩm, C74 Đ. Trần Khánh Dư, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",C74 Đ. Trần Khánh Dư,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
65,ChIJ5ew45kKJoDERvenbRlfggEs,Beauty Garden (Mỹ Phẩm Chính Hãng),Cửa hàng mỹ phẩm,,"Beauty Garden (Mỹ Phẩm Chính Hãng), 462 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",462 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
71,ChIJ8TIyMkuJoDERBhqxaHW74DU,Mỹ Phẩm Nhật Bản-Thúy Phương,Cửa hàng mỹ phẩm,0939 978 534,"Mỹ Phẩm Nhật Bản-Thúy Phương, 2 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",2 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
72,ChIJ6Zw4cGyIoDERyVZXiF2krgc,Tiệm Mỹ Phẩm Bích Liên,Cửa hàng mỹ phẩm,0774 000 408,"Tiệm Mỹ Phẩm Bích Liên, 7 Đ. Tô Hiến Thành, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",7 Đ. Tô Hiến Thành,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
