,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJbcLDsPmJoDERe8_j9T1WhbQ,MAY nail,Tiệm chăm sóc móng,0799 999 037,"MAY nail, MAY Nails, 216 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều","MAY Nails, 216 Huỳnh Cương",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0350261,105.7805886"
11,ChIJ3xd2bLaJoDERi1dVyKPJP2g,Tiệm Nail Trong Hẻm,Tiệm chăm sóc móng,0352 900 991,"Tiệm Nail Trong Hẻm, 103/152, Đ. Võ Văn Kiệt, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều","103/152, Đ. Võ Văn Kiệt",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.045095,105.7559196"
26,ChIJmXVNrTaIoDERVqxGMiM-xuI,MoonRy Nail Cần Thơ,Tiệm chăm sóc móng,0907 786 261,"MoonRy Nail Cần Thơ, Số 27d Đường Châu Văn Liêm, Tân An, Ninh Kiều, Cần Thơ 94100","Tân An, Ninh Kiều",Số 27d Đường Châu Văn Liêm,Cần Thơ,94100.0,"Ninh Kiều, Cần Thơ",VN,"10.0307395,105.7868776"
27,ChIJa4liGmmJoDERCJAkfwq-tBg,NhyNhi Nails - Nails Cần Thơ,Tiệm chăm sóc móng,0907 588 369,"NhyNhi Nails - Nails Cần Thơ, Tham Tướng, 180D Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","Tham Tướng, 180D Đ. Mạc Thiên Tích",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0281241,105.777902"
56,ChIJvX2M9aBioDERBbBvg1QUyoA,Mỹ Nail Cần Thơ,Tiệm chăm sóc móng,0707 679 979,"Mỹ Nail Cần Thơ, 64 Đ. Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",64 Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.038665499999999,105.7837004"
71,ChIJt_s7v-mJoDERnbDXAbzEJ3g,Honey Nail & Spa,Tiệm chăm sóc móng,0903 858 593,"Honey Nail & Spa, 54 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ 94110","An Cư, Ninh Kiều",54 Đ. Lý Tự Trọng,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN,"10.0349498,105.7792381"
80,ChIJ5Vd51E9joDERk10GFKWCdUQ,IU NAILS Lounge,Tiệm chăm sóc móng,0704 575 898,"IU NAILS Lounge, 96 Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",96 Đ. Nguyễn Việt Hồng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0312041,105.7786397"
84,ChIJoe-N_MCJoDERmW6NKYxQ32w,Lumimous Nails Cần Thơ,Tiệm chăm sóc móng,0916 599 660,"Lumimous Nails Cần Thơ, KDC Hồng Phát, Đường Số 4/295 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ 940000","An Bình, Ninh Kiều","KDC Hồng Phát, Đường Số 4/295 Đ. Nguyễn Văn Cừ",Cần Thơ,940000.0,"Ninh Kiều, Cần Thơ",VN,"10.0225318,105.7466108"
99,ChIJtQMOcm-JoDERbcJqWjPidN0,Vie.nails,Tiệm chăm sóc móng,0985 851 751,"Vie.nails, 65 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",65 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.050531,105.7724253"
114,ChIJMbyhLgeJoDERUueEsk92xhY,Talia Nail & Gội Dưỡng Sinh,Tiệm chăm sóc móng,0782 822 003,"Talia Nail & Gội Dưỡng Sinh, 71/5 Đ. Nguyễn Việt Hồng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",71/5 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.030818,105.77874609999999"
