,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJLTbDq69ioDERm2YShtUfRic,Nhà Hàng Lúa Nếp,Nhà hàng,0292 3676 979,"2QVV+WM5 Nhà Hàng Lúa Nếp, Khu bãi bồi, p. Cái Khế, Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều","2QVV+WM5, Khu bãi bồi, p. Cái Khế, Lê Lợi",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.044757299999999,105.7942334"
3,ChIJ_7BIOVZ9oDER5gh_FMjZH_Y,"Nhà hàng, Khách sạn Vạn Phát Riverside",Nhà hàng,0292 3645 645,"Nhà hàng, Khách sạn Vạn Phát Riverside, 2 Đ. Nguyễn Văn Cừ, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",2 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0621733,105.7828918"
4,ChIJk0ML7KRioDERxaR-kkPZEBw,Nhà hàng Hoa Sứ,Nhà hàng,0292 3820 717,"2QQR+4JV Nhà hàng Hoa Sứ, KDL, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều","2QQR+4JV, KDL",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0388358,105.7926531"
13,ChIJASUZOTaIoDERDYvRJ_i-GAk,Lẩu Kim Chi 79k,Nhà hàng món lẩu,0917 681 246,"Lẩu Kim Chi 79k, Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.018742099999999,105.7606059"
15,ChIJBxAuWOKJoDERsPWrqr0chJ4,Khu Sinh Thái Ẩm Thực QUÊ MÌNH,Nhà hàng,0888 888 639,"Khu Sinh Thái Ẩm Thực QUÊ MÌNH, 36 Đường số 3, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",36 Đường số 3,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0211089,105.7595743"
16,ChIJWeRg1LpioDERbFPJDEapK48,Nhà hàng Cây Bưởi 2,Nhà hàng,0292 3768 433,"Nhà hàng Cây Bưởi 2, Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",Sông Hậu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0405008,105.79398789999999"
21,ChIJG0HvUP6HoDER3eW-3CIIeFs,Vườn nướng Hàn Quốc Cần Thơ,Nhà hàng,,"Vườn nướng Hàn Quốc Cần Thơ, 54 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",54 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.056834,105.7784822"
22,ChIJQ_IhDaBioDERjtEwZ340UOE,Quán Ăn Cẩm Ký,Quán ăn nhỏ,0292 6292 128,"Quán Ăn Cẩm Ký, 37 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ 900000","Tân An, Ninh Kiều",37 Đ. Đề Thám,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0337167,105.7827306"
23,ChIJoRlwyiWIoDER5fQqcLWmETQ,Nhà Hàng Grill & Cheer Cần Thơ,Nhà hàng,0292 3732 233,"Nhà Hàng Grill & Cheer Cần Thơ, Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","Vincom Plaza, 209 Đ. 30 Tháng 4",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.024668199999999,105.77501269999999"
24,ChIJQX9vWiGJoDERvTR3pR_1V4Q,Mì Cay ITADA - Nguyễn Văn Cừ,Nhà hàng,,"Mì Cay ITADA - Nguyễn Văn Cừ, 287 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",287 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.046624399999999,105.76851029999999"
25,ChIJ770cfB2IoDERcywGDthHyg0,Nhà hàng Tomato - Pad Thai,Nhà hàng Thái Lan,0944 204 741,"Nhà hàng Tomato - Pad Thai, 54 Đ. Nam Kỳ Khởi Nghĩa, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",54 Đ. Nam Kỳ Khởi Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0322222,105.7843353"
26,ChIJo7zbaDSIoDERhnzs7jDXTyg,Nhà Hàng Ngói đỏ,Nhà hàng,0939 709 579,"Nhà Hàng Ngói đỏ, 596 30 thang 4 Str, Cần Thơ","Hưng Lợi, Ninh Kiều",596 30 thang 4 Str,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0153121,105.76319289999999"
29,ChIJtabSTJ9ioDEROCLqgNULGQA,Nhà Hàng Sao Hôm,Nhà hàng Việt Nam,0292 3815 616,"Nhà Hàng Sao Hôm, Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",Đường Hai Bà Trưng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0313869,105.7882324"
39,ChIJz_kz3USIoDERYlT-m6dt6lA,Vựa Hải Sản Cần Thơ - Đăng Quân,Nhà hàng hải sản,0356 297 968,"Vựa Hải Sản Cần Thơ - Đăng Quân, 42A Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ 94116","Hưng Lợi, Ninh Kiều",42A Đ. Trần Hoàng Na,Cần Thơ,94116.0,"Ninh Kiều, Cần Thơ",VN,"10.0115728,105.7650762"
40,ChIJT05NI96JoDERAWm5LOmStBY,Lẩu Thái Chay Tư Đậu 2,Nhà hàng món chay,0782 986 783,"Lẩu Thái Chay Tư Đậu 2, 82-84 Ngô Sĩ Liên, Kdc mêtro .P, Ninh Kiều, Cần Thơ","Kdc mêtro .P, Ninh Kiều",82-84 Ngô Sĩ Liên,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0207523,105.76043519999999"
41,ChIJSVzhIaJioDERV2KEuVejaPM,Nhà Hàng Nam Bộ,Nhà hàng Việt Nam,0292 3823 908,"Nhà Hàng Nam Bộ, 1 Đ. Ngô Quyền, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",1 Đ. Ngô Quyền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0335427,105.7882601"
53,ChIJd9riu6FioDERpgGYPmuGDng,King BBQ Buffet Sense City Cần Thơ,Nhà hàng món nướng Hàn Quốc,0292 7305 939,"King BBQ Buffet Sense City Cần Thơ, Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều","Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0341241,105.786054"
54,ChIJH0uWqqFioDERXnyjEHkDiz4,NHÂN QUÁN HỦ TIẾU NAM VANG,Nhà hàng Việt Nam,0292 6559 122,"NHÂN QUÁN HỦ TIẾU NAM VANG, 13A Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",13A Phan Đình Phùng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0337864,105.78705029999999"
55,ChIJoQzNMh6IoDERWJ3n3htJyDg,Cơm Chay Oanh,Nhà hàng món chay,0292 3830 820,"Cơm Chay Oanh, 102 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",102 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.035279599999999,105.7812072"
