,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJkSpgpyaIoDERtDQ7t4DyA7k,IRIS Hotel Can Tho,Khách sạn,0292 3686 969,"IRIS Hotel Can Tho, Tòa Nhà IRIS, 224 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","Tòa Nhà IRIS, 224 Đ. 30 Tháng 4",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0266209,105.77610759999999"
1,ChIJf8l5zqtioDER394gqY022iE,Nesta Hotel - Can Tho,Khách sạn,0292 3822 216,"Nesta Hotel - Can Tho, 9C Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",9C Trần Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0520681,105.7893658"
2,ChIJX4MgI499oDERXfU_tJT2iJ4,Vạn Phát Riverside,Khách sạn,0292 3645 645,"Vạn Phát Riverside, 2 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",2 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0611068,105.78325889999999"
3,ChIJh-Gy76dioDER4wYI666ECkU,Nhà Khách Tây Nam,Khách sạn,0292 3687 779,"Nhà Khách Tây Nam, 2 Cầu Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",2 Cầu Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.042991599999999,105.7830678"
4,ChIJI22wLBGIoDERDyKs-xeV4v4,Hoa Viên THÀNH ĐẠT,Nhà hàng,0292 3891 484,"Hoa Viên THÀNH ĐẠT, TP, 85C hẻm Lò Mổ, 95/4 Đ. Nguyễn Văn Cừ, KV 2, Ninh Kiều, Cần Thơ","KV 2, Ninh Kiều","TP, 85C hẻm Lò Mổ, 95/4 Đ. Nguyễn Văn Cừ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0386052,105.7669121"
5,ChIJ49Xi_ESIoDERUoup8un_QiU,Anh Dao Mekong 2 Hotel,Khách sạn,0292 3819 901,"Anh Dao Mekong 2 Hotel, 8 Đ.Xuân Thủy, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",8 Đ.Xuân Thủy,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0262573,105.74919039999999"
6,ChIJr1Hq8ahioDERxkKCfNPdRhw,Linh Phuong 2 Hotel,Phòng cho thuê,0292 3643 744,"Linh Phuong 2 Hotel, 7 Đ. Trần Đại Nghĩa, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",7 Đ. Trần Đại Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0450317,105.78588529999999"
8,ChIJxbZeTYBjoDERKUs4kD1UH3o,CT MORNING HOSTEL(Khách sạn ở Cần Thơ),Khách sạn,0338 658 181,"CT MORNING HOSTEL(Khách sạn ở Cần Thơ), 81 Lý Hồng Thanh, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",81 Lý Hồng Thanh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0452578,105.7843104"
9,ChIJB4HKFYJioDER0W1F40NGulQ,Khách Sạn An,Khách sạn,0292 3737 469,"2Q8M+W9W Khách Sạn An, Đ. Hoàng Thế Thiện, Hưng Phú, Cái Răng, Cần Thơ","Hưng Phú, Cái Răng","2Q8M+W9W, Đ. Hoàng Thế Thiện",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.017355199999999,105.78345039999999"
15,ChIJHYIEO8FjoDERY7UZ6ks0MS8,Mekong 69 Hostel,Khách sạn,0292 3688 768,"Mekong 69 Hostel, 6/9 Đ. Ng. Hữu Hạnh, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",6/9 Đ. Ng. Hữu Hạnh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0372638,105.7864161"
