,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJJ1FXlB-IoDER26cdQVfFjA8,Nhà Thuốc Trung Sơn,Hiệu thuốc,0292 3828 732,"Nhà Thuốc Trung Sơn, 86/3 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",86/3 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0339301,105.7804683"
5,ChIJ9W2cSkGIoDERvU8-c3MV5BQ,Nhà Thuốc Trung Sơn,Hiệu thuốc,0865 967 068,"Nhà Thuốc Trung Sơn, 133 Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ 920000","Hưng Lợi, Ninh Kiều",133 Đ. Nguyễn Văn Linh,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN,"10.0285874,105.7541701"
11,ChIJ_bL8Jt-JoDERuEu0qEGE0JM,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 36/24A Trần Việt Châu, Phường An Hòa Quận Ninh Kiều Can Tho City, 36/24 Đ. Trần Việt Châu, An Hoà, Ninh Kiều, Cần Thơ 94108","An Hoà, Ninh Kiều","36/24A Trần Việt Châu, Phường An Hòa Quận Ninh Kiều Can Tho City, 36/24 Đ. Trần Việt Châu",Cần Thơ,94108.0,"Ninh Kiều, Cần Thơ",VN,"10.0497189,105.77305129999999"
15,ChIJ_71fsSaIoDERirvOdN3MUmE,Nhà Thuốc Trung Sơn,Hiệu thuốc,0865 947 068,"Nhà Thuốc Trung Sơn, 161 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",161 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.027050599999999,105.7772615"
16,ChIJRwu2AHGJoDER5UGyoojx4L8,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 147 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",147 Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0328106,105.7747162"
17,ChIJR0rjhYSJoDERGwtsSQRHd68,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 167I Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",167I Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0357038,105.7568922"
27,ChIJk5s7hMqJoDERN3smJjuaVNM,Nhà thuốc Pharmacity,Hiệu thuốc,1800 6821,"Nhà thuốc Pharmacity, 01 Đ. Võ Trường Toản, An Hoà, Ninh Kiều, Cần Thơ 900000","An Hoà, Ninh Kiều",01 Đ. Võ Trường Toản,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0463551,105.76767749999999"
28,ChIJX0a_exqJoDERbof8ph4ktOw,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 123 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",123 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.035186399999999,105.7810974"
35,ChIJpadH1YuJoDERin09wQXqwK0,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 610 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",610 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0147078,105.7625078"
42,ChIJ5UJq9POJoDERSrR3ZCBymB4,Nhà thuốc Pharmacity,Cửa hàng bán thuốc,1800 6821,"Nhà thuốc Pharmacity, 81 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 700000","Hưng Lợi, Ninh Kiều",81 Đ. 30 Tháng 4,Cần Thơ,700000.0,"Ninh Kiều, Cần Thơ",VN,"10.0164303,105.7648567"
