,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJ4_8LbNSJoDERYpTIL95gzdM,Siêu Thị Điện Máy Nội Thất Chợ Lớn,Cửa hàng bán đồ điện tử,0292 3894 479,"Siêu Thị Điện Máy Nội Thất Chợ Lớn, 161 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",161 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0188964,105.7628562"
2,ChIJV5IfL6lioDERqRBqd3ttzgI,Siêu Thị Điện Máy Nội Thất Chợ Lớn,Cửa hàng bán đồ điện tử,028 3856 3388,"Siêu Thị Điện Máy Nội Thất Chợ Lớn, 112 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ 90000","Cái Khế, Ninh Kiều",112 Trần Phú,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0474979,105.7830188"
6,ChIJJa1QXLIudTER1UoBAaKXJw4,Nội thất HomeOffice,Cửa hàng nội thất,0903 005 138,"Nội thất HomeOffice, 206/40 Đồng Đen, Phường 14, Tân Bình, Thành phố Hồ Chí Minh","Phường 14, Tân Bình",206/40 Đồng Đen,Thành phố Hồ Chí Minh,,"Tân Bình, Thành phố Hồ Chí Minh",VN,"10.7889051,106.6426541"
20,ChIJjw9VUJ6JoDERbjlLZsobbe4,Nội Thất HomeOffice Cần Thơ,Cửa hàng nội thất,0906 897 138,"Nội Thất HomeOffice Cần Thơ, 311C/9, Đ. Hoàng Quốc Việt, Khu Vực 4, Ninh Kiều, Cần Thơ 900000","Khu Vực 4, Ninh Kiều","311C/9, Đ. Hoàng Quốc Việt",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0192031,105.7422804"
35,ChIJrR0djjaIoDER8p0Vw5sdVT0,Công ty Lộc Nghi - bồn cầu - bồn nước - máy nước nóng năng lượng mặt trời - Cần Thơ,Cửa hàng nội thất,0799 698 886,"Công ty Lộc Nghi - bồn cầu - bồn nước - máy nước nóng năng lượng mặt trời - Cần Thơ, 185 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",185 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0198707,105.7636788"
37,ChIJ8TbtQTrddDERDNDUmfUJHrk,Mộc Nội Thất,Cửa hàng nội thất,0933 687 095,"Mộc Nội Thất, 69 khu phố 2, Tân Hoà, Thành phố Biên Hòa, Đồng Nai","Tân Hoà, Thành phố Biên Hòa",69 khu phố 2,Đồng Nai,,"Thành phố Biên Hòa, Đồng Nai",VN,"10.9635935,106.90378989999999"
49,ChIJn9mYmBiIoDERUDqaTbM7v9E,Cửa Hàng Nội Thất Lợi Phát,Cửa hàng nội thất,0939 454 454,"Cửa Hàng Nội Thất Lợi Phát, 369F Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",369F Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0316229,105.7527011"
50,ChIJQTxomc0pdTERBOjG6O7l6XY,Nội Thất Đồ Gỗ Việt,Cửa hàng nội thất phòng ngủ,0988 887 878,"Nội Thất Đồ Gỗ Việt, 3, 5 Lũy Bán Bích, Tân Thới Hoà, Tân Phú, Thành phố Hồ Chí Minh 70000","Tân Thới Hoà, Tân Phú","3, 5 Lũy Bán Bích",Thành phố Hồ Chí Minh,70000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.759120699999999,106.6339127"
72,ChIJv3VLjTaIoDERGRg2edODjU0,Đồ Gỗ Việt Thái,Cửa hàng nội thất,0976 828 620,"Đồ Gỗ Việt Thái, 140 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 94000","Hưng Lợi, Ninh Kiều",140 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0185683,105.76203729999999"
77,ChIJYRt4WeaJoDERFadMwqzlqtY,Nội Thất Cần Thơ - Thạnh Phát Decor,Cửa hàng nội thất,0974 897 574,"Nội Thất Cần Thơ - Thạnh Phát Decor, 140 Đường Trần Minh Sơn, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",140 Đường Trần Minh Sơn,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.037064899999999,105.7496122"
