,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJtT_oxegpdTERV0-ijCDe8Tg,YOLO Pet Shop - Spa & Grooming,Cửa hàng vật nuôi,0987 777 857,"YOLO Pet Shop - Spa & Grooming, 124 Phan Đình Phùng, Phường 2, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 2, Phú Nhuận",124 Phan Đình Phùng,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.7947288,106.68351969999999"
14,ChIJl1PTeBSrNTEROJWsgFvfGOI,CutePets - Pet shop & Grooming Đống Đa,Dịch vụ chăm sóc thú nuôi,0949 111 520,"CutePets - Pet shop & Grooming Đống Đa, 202 P. Khâm Thiên, Khâm Thiên, Đống Đa, Hà Nội 10000","Khâm Thiên, Đống Đa",202 P. Khâm Thiên,Hà Nội,10000.0,"Đống Đa, Hà Nội",VN,"21.0192576,105.8355727"
16,ChIJyTaV0qtioDERW0qqDYQIDCw,Moon Pet Shop,Cửa hàng vật nuôi,0902 530 200,"Moon Pet Shop, 10 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",10 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.044869199999999,105.77934809999999"
17,ChIJg3zuiHKJoDERX-ECivWOYhM,RUBY PET,Dịch vụ chăm sóc thú nuôi,0907 837 727,"RUBY PET, 22/4 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",22/4 Hùng Vương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0424174,105.7783431"
32,ChIJ815PofKJoDERNo7Spq3AL1Q,Dịch Vụ Thú Cưng Cần Thơ - RUBY PET ( CN 2 ),Dịch vụ chăm sóc thú nuôi,0907 837 727,"Dịch Vụ Thú Cưng Cần Thơ - RUBY PET ( CN 2 ), 515 Trần Hưng Đạo, P, Cái Răng, Cần Thơ","P, Cái Răng",515 Trần Hưng Đạo,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0002301,105.75314069999999"
47,ChIJtV10POhTNDERPA97a5NJjL4,Siêu thị thú cưng - Pet Spa,Cửa hàng vật nuôi,0387 390 390,"Siêu thị thú cưng - Pet Spa, S1, 0101SH05, Vinhomes Smart City, Hà Nội, 100000","Vinhomes Smart City, Hà Nội","S1, 0101SH05",Hà Nội,100000.0,Hà Nội,VN,"21.0089968,105.73782829999999"
50,ChIJldIX8OyJoDERxYnBE6i4YG0,Nắng Pet House,Dịch vụ chăm sóc thú nuôi,0898 826 263,"Nắng Pet House, Số 272D đường 30/4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Số 272D đường 30/4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0203183,105.7681721"
65,ChIJk8dQzVQpdTERsh1Ax8Mkvw4,Khách sạn chó mèo Fagopet,Dịch vụ lưu chuồng mèo,0929 894 774,"Khách sạn chó mèo Fagopet, 26/1 Nguyễn Minh Hoàng, Phường 12, Tân Bình, Thành phố Hồ Chí Minh","Phường 12, Tân Bình",26/1 Nguyễn Minh Hoàng,Thành phố Hồ Chí Minh,,"Tân Bình, Thành phố Hồ Chí Minh",VN,"10.8001746,106.64832299999999"
72,ChIJqxXu8q1joDERVejpT8BoDhs,Cắt tỉa lông thú cưng Cần Thơ - SUPET Spa & Grooming,Dịch vụ chăm sóc thú nuôi,0796 885 684,"Cắt tỉa lông thú cưng Cần Thơ - SUPET Spa & Grooming, 176h Nguyễn Thị Minh Khai, An Lạc, Ninh Kiều, Cần Thơ 900000","An Lạc, Ninh Kiều",176h Nguyễn Thị Minh Khai,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.025863,105.77943069999999"
87,ChIJszP4qSmJoDER2OXBwH_U4Mc,Tiệm Nhà Chuột - Spa Thú Cưng,Dịch vụ chăm sóc thú nuôi,0773 850 202,"Tiệm Nhà Chuột - Spa Thú Cưng, 30/4, Cần Thơ","An Lạc, Cần Thơ",30/4,Cần Thơ,,Cần Thơ,VN,"10.0302889,105.7786672"
