,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJ_-YnDK2JoDER9EnlYkCVpmU,Phong Vũ,Cửa hàng máy tính,0292 7306 867,"Phong Vũ, 209 Đường Đ. 3 Tháng 2, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",209 Đường Đ. 3 Tháng 2,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0210894,105.7647959"
3,ChIJqVmZsA2JoDER-pl6NGF4yUc,Kênh Tin Học,Cửa hàng máy tính,0907 263 278,"Kênh Tin Học, 11 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",11 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0333569,105.7739756"
14,ChIJaeNHsl2JoDEROLGlWmSCxlI,Nguyễn Vũ Store,Cửa hàng máy tính,1900 571269,"Nguyễn Vũ Store, 47C Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ 90000","Xuân Khánh, Ninh Kiều",47C Đ. 3 Tháng 2,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.024987099999999,105.7675639"
17,ChIJSeId-nCJoDEROCBwACNLxBo,Net Huỳnh Chân,Quán cà phê internet,0345 021 292,"Net Huỳnh Chân, 372d Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",372d Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.032202999999999,105.7539781"
32,ChIJAV3krOqJoDERFzfj3VqZhnk,Net Huỳnh Chân 2,Cửa hàng internet,0345 021 292,"Net Huỳnh Chân 2, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ 90000","Phường An Khánh, Ninh Kiều",Nguyễn Văn Cừ Nối Dài,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0367997,105.7578946"
45,ChIJa_8RtmqIoDERepfofcwqklQ,LT GAMING,Cửa hàng internet,0944 111 134,"LT GAMING, 390F9C, Đ. Trần Nam Phú, Khu vực 2, Ninh Kiều, Cần Thơ","Khu vực 2, Ninh Kiều","390F9C, Đ. Trần Nam Phú",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0350465,105.7582252"
60,ChIJFR1dusWJoDER9WTnYnikiXI,EZ icafe,Cửa hàng trò chơi video,0939 999 839,"EZ icafe, 162 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",162 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.025330199999999,105.7684189"
69,ChIJLTG2pm2JoDERaIF0_FgCNJk,CyberCore Nguyễn Hải Gaming,Quán cà phê internet,0939 053 757,"CyberCore Nguyễn Hải Gaming, 166C Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",166C Đ. Trần Hưng Đạo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0365138,105.77570279999999"
70,ChIJSW-bg8aJoDERU10hM_-JdhU,Internet Game Huy,Quán cà phê internet,0906 949 248,"Internet Game Huy, 19 Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, Việt Nam Cần Thơ Can Tho City, 900000","Thới Bình, Ninh Kiều","19 Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, Việt Nam Cần Thơ Can Tho City",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0459318,105.7804336"
85,ChIJy8AME-mJoDERjj_7DeeiB9o,Phạm Chân Gaming,Cửa hàng internet,0918 868 879,"Phạm Chân Gaming, 79A Đ. 3/2, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",79A Đ. 3/2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.027756799999999,105.77414739999999"
