,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJyz6t3VSIoDERjqwHFLmjOV0,Bệnh viện Đa khoa Quốc Tế S.I.S Cần Thơ,Bệnh viện,1800 1115,"Bệnh viện Đa khoa Quốc Tế S.I.S Cần Thơ, 397 Nguyễn Văn Cừ Nối Dài, An Bình, Ninh Kiều, Cần Thơ 94000","An Bình, Ninh Kiều",397 Nguyễn Văn Cừ Nối Dài,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.01558,105.7385448"
1,ChIJcWhkftwudTERTe98-YB-pNY,Phòng khám Bệnh viện Đại học Y Dược 1,Phòng khám,1900 6923,"Phòng khám Bệnh viện Đại học Y Dược 1, 20-22 Đ. Dương Quang Trung, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000","Phường 12, Quận 10",20-22 Đ. Dương Quang Trung,Thành phố Hồ Chí Minh,700000.0,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7742889,106.667569"
2,ChIJSYjU3S8vdTERgAm9pBDVe6w,Phòng khám Đa khoa Loukas,Phòng khám,0936 477 799,"Phòng khám Đa khoa Loukas, 269 Đ. Điện Biên Phủ, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 72400","Võ Thị Sáu, Quận 3",269 Đ. Điện Biên Phủ,Thành phố Hồ Chí Minh,72400.0,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7805153,106.68788149999999"
4,ChIJST4Qd0CJoDERX4kkc3h4STQ,Phòng Khám Da Liễu FOB,Phòng khám,0292 3831 414,"Phòng Khám Da Liễu FOB, 14/14 Lý Tự Trọng Phường An Cư, Quận Ninh Kiều Thành phố Cần Thơ Can Tho City","Tân An, Ninh Kiều","14/14 Lý Tự Trọng Phường An Cư, Quận Ninh Kiều Thành phố Cần Thơ Can Tho City",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.03436,105.78006479999999"
7,ChIJX_PKvqSJoDER0TN5cHCu73s,Phòng Khám Đa Khoa Đại Đức,Phòng khám,0292 3690 555,"Phòng Khám Đa Khoa Đại Đức, 128 Đ. 3 Tháng 2, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",128 Đ. 3 Tháng 2,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0283073,105.77105499999999"
8,ChIJtzoM594rdTERtlzsT167GNc,Phòng Khám Đa Khoa Thành Công,Phòng khám,028 3815 9435,"Phòng Khám Đa Khoa Thành Công, 36 ĐƯỜNG CN 4, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 700000","Tây Thạnh, Tân Phú",36 ĐƯỜNG CN 4,Thành phố Hồ Chí Minh,700000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.819176599999999,106.6258773"
9,ChIJx3tPjX-JoDERgoAwLlwz2TI,Răng Hàm Mặt Sài Gòn - Cần Thơ 1,Phòng khám nha khoa,028 7301 7103,"Răng Hàm Mặt Sài Gòn - Cần Thơ 1, 46 Võ Văn Kiệt, An Hoà, Ninh Kiều, Cần Thơ 901150","An Hoà, Ninh Kiều",46 Võ Văn Kiệt,Cần Thơ,901150.0,"Ninh Kiều, Cần Thơ",VN,"10.0453256,105.7630471"
10,ChIJVeQEBx8vdTER-rZjbUfspgM,Phòng Khám Đa Khoa Sài Gòn (Cơ Sở 2),Phòng khám,028 3830 6677,"Phòng Khám Đa Khoa Sài Gòn (Cơ Sở 2), 134 Đ. Lý Thái Tổ, Phường 2, Quận 3, Thành phố Hồ Chí Minh","Phường 2, Quận 3",134 Đ. Lý Thái Tổ,Thành phố Hồ Chí Minh,,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.766358199999999,106.6792658"
11,ChIJI8Kc-wWIoDERb4HRTHcHaIU,Nha Khoa Sài Gòn - BS LÂM,Phòng khám nha khoa,0292 3899 104,"Nha Khoa Sài Gòn - BS LÂM, 251 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",251 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0473882,105.76927959999999"
12,ChIJa99j2P0odTEROWh1VSAf7zM,Phòng Khám Đa Khoa Trần Diệp Khanh,Phòng khám,028 3989 7608,"Phòng Khám Đa Khoa Trần Diệp Khanh, 41/21 Nguyễn Oanh, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 700000","Phường 10, Gò Vấp",41/21 Nguyễn Oanh,Thành phố Hồ Chí Minh,700000.0,"Gò Vấp, Thành phố Hồ Chí Minh",VN,"10.8282625,106.67825099999999"
