,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJ_ecfL0MudTERxeXMtJ6glOg,SAT Gaming Liên Tỉnh 5,Quán cà phê internet,0938 384 580,"SAT Gaming Liên Tỉnh 5, 212 Liên Tỉnh 5, Phường 6, Quận 8, Thành phố Hồ Chí Minh","Phường 6, Quận 8",212 Liên Tỉnh 5,Thành phố Hồ Chí Minh,,"Quận 8, Thành phố Hồ Chí Minh",VN,"10.736608,106.6561237"
4,ChIJrcnadnEvdTERpY6Y6Clia6k,CyberCore Premium - N3 Trường Sơn,Quán cà phê internet,0938 531 776,"CyberCore Premium - N3 Trường Sơn, N3 Trường Sơn, Cư xá Bắc Hải, Quận 10, Thành phố Hồ Chí Minh 70000","Cư xá Bắc Hải, Quận 10",N3 Trường Sơn,Thành phố Hồ Chí Minh,70000.0,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7816802,106.662775"
8,ChIJS1tYNZopdTERMyxlhZzoOQw,S2M Gaming - 525 Lê Văn Lương - Quận 7,Quán cà phê internet,0777 032 314,"S2M Gaming - 525 Lê Văn Lương - Quận 7, 525 Lê Văn Lương, Tân Hưng, Quận 7, Thành phố Hồ Chí Minh","Tân Hưng, Quận 7",525 Lê Văn Lương,Thành phố Hồ Chí Minh,,"Quận 7, Thành phố Hồ Chí Minh",VN,"10.7351829,106.7025549"
12,ChIJeVktDVYpdTER4HyfCsdE0wA,Misa Net - Gaming - Billards,Cửa hàng internet,,"Misa Net - Gaming - Billards, 1 Đ. Lê Thúc Hoạch, Phú Thọ Hoà, Tân Phú, Thành phố Hồ Chí Minh","Phú Thọ Hoà, Tân Phú",1 Đ. Lê Thúc Hoạch,Thành phố Hồ Chí Minh,,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.785893,106.627138"
16,ChIJSeId-nCJoDEROCBwACNLxBo,Net Huỳnh Chân,Quán cà phê internet,0345 021 292,"Net Huỳnh Chân, 372d Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",372d Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.032202999999999,105.7539781"
31,ChIJueOyywgndTER-59SWoSdImg,Quán Net Cyber Legend,Quán cà phê internet,0917 951 915,"Quán Net Cyber Legend, 469 Đỗ Xuân Hợp, Phước Long B, Quận 9, Thành phố Hồ Chí Minh","Phước Long B, Quận 9",469 Đỗ Xuân Hợp,Thành phố Hồ Chí Minh,,"Quận 9, Thành phố Hồ Chí Minh",VN,"10.8172239,106.7740113"
35,ChIJa_8RtmqIoDERepfofcwqklQ,LT GAMING,Cửa hàng internet,0944 111 134,"LT GAMING, 390F9C, Đ. Trần Nam Phú, Khu vực 2, Ninh Kiều, Cần Thơ","Khu vực 2, Ninh Kiều","390F9C, Đ. Trần Nam Phú",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0350465,105.7582252"
50,ChIJxbjOTOspdTERS0DZ1BrqSgg,VINGAME,Quán cà phê internet,0933 780 033,"VINGAME, 262/12 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 72413","Phường 10, Quận 3",262/12 Đ. Cách Mạng Tháng 8,Thành phố Hồ Chí Minh,72413.0,"Quận 3, Thành phố Hồ Chí Minh",VN,"10.7803221,106.6771558"
54,ChIJFR1dusWJoDER9WTnYnikiXI,EZ icafe,Cửa hàng trò chơi video,0939 999 839,"EZ icafe, 162 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",162 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.025330199999999,105.7684189"
57,ChIJcfy7Dt2JoDER8Rhq6bkVFHA,Net Sao Mai,Quán cà phê internet,0984 308 889,"Net Sao Mai, 390x/7 Lộ Ngân Hàng, Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ 92000","Phường An Khánh, Ninh Kiều","390x/7 Lộ Ngân Hàng, Đ. Nguyễn Văn Cừ",Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN,"10.0342372,105.75900899999999"
72,ChIJSW-bg8aJoDERU10hM_-JdhU,Internet Game Huy,Quán cà phê internet,0906 949 248,"Internet Game Huy, 19 Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, Việt Nam Cần Thơ Can Tho City, 900000","Thới Bình, Ninh Kiều","19 Trần Phú, Phường Cái Khế, Quận Ninh Kiều, Cần Thơ, Việt Nam Cần Thơ Can Tho City",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0459318,105.7804336"
