,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJT8byj0WJoDERXX86J7NCn_k,YODY Nguyễn Trãi - Cần Thơ 2,Cửa hàng quần áo,0888 064 258,"YODY Nguyễn Trãi - Cần Thơ 2, 90-92 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 94107","An Hội, Ninh Kiều",90-92 Nguyễn Trãi,Cần Thơ,94107.0,"Ninh Kiều, Cần Thơ",VN
4,ChIJvxc2B1OJoDERB-ymIKta8UM,HƯỚNG DƯƠNG STORE - Chuyên Hàng Thanh Lý Giá Rẻ Cần Thơ,Cửa hàng quần áo nữ,0975 574 594,"HƯỚNG DƯƠNG STORE - Chuyên Hàng Thanh Lý Giá Rẻ Cần Thơ, 394/5 Hẻm Liên Tổ 4-5, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",394/5 Hẻm Liên Tổ 4-5,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
5,ChIJkUlalSOIoDERlSyWoWMgW6I,SUPIHOUSE,Cửa hàng quần áo,0869 170 917,"SUPIHOUSE, 44 Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",44 Đ. Mạc Thiên Tích,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
6,ChIJsS99ph-IoDERkYOYO_B8SeM,Adam Store,Cửa hàng quần áo nam,0292 6559 555,"Adam Store, 187 Đ. Nguyễn Văn Cừ, An Bình, Ninh Kiều, Cần Thơ","An Bình, Ninh Kiều",187 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
7,ChIJt4in7ttjoDERUlfh_WTzk3U,OLV Cần Thơ,Cửa hàng quần áo nữ,0907 858 086,"OLV Cần Thơ, 55 Đ. Ngô Văn Sở, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",55 Đ. Ngô Văn Sở,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
8,ChIJKTm9rLyJoDERSnE3kpx03qk,COMI · Thanh Lý Ký Gửi,Cửa hàng quần áo nữ,0907 901 685,"COMI · Thanh Lý Ký Gửi, 52/2B Hùng Vương, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",52/2B Hùng Vương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
14,ChIJFRZEDSKIoDERVhDmucVmMvY,Thời trang trẻ TG,Cửa hàng quần áo,0932 942 030,"Thời trang trẻ TG, 58 Đường số 3, KDC Metro, Ninh Kiều, Cần Thơ 900000","KDC Metro, Ninh Kiều",58 Đường số 3,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
25,ChIJiyBxSlmJoDERcnQWnwOGU5Y,Nàng Thơ Boutique,Cửa hàng quần áo,0924 962 142,"Nàng Thơ Boutique, 125/4 (hẻm, 4 Đ. Nguyễn Việt Hồng, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","125/4 (hẻm, 4 Đ. Nguyễn Việt Hồng",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
26,ChIJQcYa6TyJoDERlcizw1kqeO0,Nabi shop - 12M fashion,Cửa hàng quần áo,0976 265 654,"Nabi shop - 12M fashion, 10 Đường số 3, khu dân cư Metro, Ninh Kiều, Cần Thơ 902070","khu dân cư Metro, Ninh Kiều",10 Đường số 3,Cần Thơ,902070.0,"Ninh Kiều, Cần Thơ",VN
40,ChIJc4I6s_WJoDERN69H6Kg18po,Shop Thời Trang Nam Owen,Cửa hàng quần áo nam,0292 2468 822,"Shop Thời Trang Nam Owen, 118 Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",118 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
48,ChIJYam6JjmJoDERwLah78ukiDA,Thời Trang Trẻ Em Rabity - Vincom Plaza Xuân Khánh,Cửa hàng quần áo trẻ em,1900 633520,"Thời Trang Trẻ Em Rabity - Vincom Plaza Xuân Khánh, Vincom Plaza, L3-K1-K2, 900000","Xuân Khánh, Ninh Kiều","Vincom Plaza, L3-K1-K2",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
49,ChIJi52k6wyJoDERz0pVBDl5Iu4,4MEN Cần Thơ,Cửa hàng quần áo nam,0989 662 315,"4MEN Cần Thơ, 73 Đ. Nguyễn Việt Hồng, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",73 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
50,ChIJz1hEdsuJoDERVA3Tg8S9duQ,PÉ ĐIỆU SHOP,Cửa hàng quần áo trẻ em,0387 354 035,"PÉ ĐIỆU SHOP, C8 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ 94115","Xuân Khánh, Ninh Kiều",C8 Đ. Mậu Thân,Cần Thơ,94115.0,"Ninh Kiều, Cần Thơ",VN
51,ChIJyZjmgzqIoDER4orpqZei_No,SHOP EROS SPORT,Cửa hàng quần áo,0939 346 669,"SHOP EROS SPORT, 12 Đ. Số 1, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",12 Đ. Số 1,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
52,ChIJmXQEXiGIoDERfGy4XYqdvqc,Thời Trang Trẻ Em Subeo,Cửa hàng quần áo,0907 443 370,"Thời Trang Trẻ Em Subeo, 74A, Đ. Mậu Thân/142 Đ. Nguyễn Việt Hồng, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều","74A, Đ. Mậu Thân/142 Đ. Nguyễn Việt Hồng",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
67,ChIJ-Zi2XyGIoDERwEjFXM5z-jg,Thời Trang Công Sở Anh Đức,Cửa hàng quần áo,0918 414 037,"Thời Trang Công Sở Anh Đức, 27 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",27 Đ. Mậu Thân,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
68,ChIJoWAW5keIoDERUIJdrNSguGU,Trang Phục Múa Cần Thơ,Cửa hàng quần áo,0914 761 766,"Trang Phục Múa Cần Thơ, 09 Đường B4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",09 Đường B4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
69,ChIJN6zSPuyJoDERZfToI2i5mP0,SHOP LIỄU,Cửa hàng quần áo nữ,0963 877 572,"SHOP LIỄU, 9 Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",9 Đ. Mạc Thiên Tích,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
70,ChIJqzp2YiGIoDERR-F-LBhWmQI,Shop AT ( Thời Trang Nam),Cửa hàng quần áo,0934 261 612,"Shop AT ( Thời Trang Nam), 49 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",49 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
74,ChIJXbYkcByIoDERDTo0o-X_F84,May áo dài Hiệp Hương Cần Thơ - Aodaicantho.com,Cửa hàng quần áo,0292 3832 870,"May áo dài Hiệp Hương Cần Thơ - Aodaicantho.com, 19/5 Đ. Huỳnh Thúc Kháng, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",19/5 Đ. Huỳnh Thúc Kháng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
87,ChIJu3F_wbyJoDERt4dMzda4VOQ,Tiệm Củ,Cửa hàng quần áo cũ,,"Tiệm Củ, Hẻm 138 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",Hẻm 138 Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
88,ChIJgcwnRyKIoDERcC0F1YLw880,Nàng Bốn-Áo Dài Cần Thơ,Cửa hàng quần áo,0939 824 678,"Nàng Bốn-Áo Dài Cần Thơ, 95 / 34 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",95 / 34 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
89,ChIJf8LqBjOJoDERWkiIHRY0_zQ,Laneko,Cửa hàng quần áo nữ,0939 132 535,"Laneko, 93A Đ. Lý Tự Trọng, An Phú, Ninh Kiều, Cần Thơ 90000","An Phú, Ninh Kiều",93A Đ. Lý Tự Trọng,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
93,ChIJSd963hCJoDER6uaEhtCluh0,COMI TRẦN HƯNG ĐẠO,Cửa hàng quần áo nữ,0907 901 685,"COMI TRẦN HƯNG ĐẠO, 133/1 Đ. Trần Hưng Đạo, P, Ninh Kiều, Cần Thơ 900000","P, Ninh Kiều",133/1 Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
95,ChIJV8qSrh2JoDERE24rfmEKx4Q,Kapi - Baby & Kids Shop quần áo trẻ em,Cửa hàng quần áo trẻ em,0903 186 048,"Kapi - Baby & Kids Shop quần áo trẻ em, 160/26 Đ. 30 Tháng 4, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",160/26 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
97,ChIJP7n5BhCJoDERDRv1uKK0WB0,NOW - Thanh lý ký gửi Cần Thơ,Cửa hàng quần áo nữ,,"NOW - Thanh lý ký gửi Cần Thơ, 141P1/18, 12-20 Hẻm liên tổ, Phường An Khánh, Ninh Kiều, Cần Thơ 94000","Phường An Khánh, Ninh Kiều","141P1/18, 12-20 Hẻm liên tổ",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
100,ChIJpwAQgRaIoDERtOnICidKilQ,Thùy Unni - Quần Áo Trẻ Em Sỉ Lẻ Cần Thơ,Cửa hàng quần áo,0938 646 062,"Thùy Unni - Quần Áo Trẻ Em Sỉ Lẻ Cần Thơ, 63H3A Tổ 10, Hẻm 6 Khu Vực 2, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều","63H3A Tổ 10, Hẻm 6 Khu Vực 2",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
104,ChIJzWHD40eJoDER4Egg5S-DTbw,Hmen Shop Cần Thơ,Cửa hàng quần áo,0823 656 565,"Hmen Shop Cần Thơ, 140 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 90000","An Hội, Ninh Kiều",140 Nguyễn Trãi,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
114,ChIJsSGA_hVjoDERhsEBviYtaAQ,VICTORY Boutique,Cửa hàng quần áo,0939 888 249,"VICTORY Boutique, 45 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",45 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
116,ChIJF1hMxYOJoDERgjsP3rSiils,Xưởng KKim Shop,Cửa hàng quần áo nữ,0898 845 095,"Xưởng KKim Shop, Ẩm thực chay Thiện Phước 2, 3 Đường 30/04, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều","Ẩm thực chay Thiện Phước 2, 3 Đường 30/04",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
119,ChIJg6rIbWKJoDERBmpY2Ga5DY4,JAN SHOP - HÀNG HIỆU XUẤT KHẨU,Cửa hàng quần áo nam,0393 474 590,"JAN SHOP - HÀNG HIỆU XUẤT KHẨU, 195 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",195 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
129,ChIJH3dXA4yJoDERzsp47E7SRT4,Bí Đỏ Babyhouse - Quần áo trẻ em thiết kế,Cửa hàng quần áo trẻ em,0918 677 639,"Bí Đỏ Babyhouse - Quần áo trẻ em thiết kế, 251/48 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",251/48 Đ. Trần Ngọc Quế,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
134,ChIJkZTBuqFioDERCzofmzLmM3o,Milvus Cần Thơ,Cửa hàng quần áo nam,028 3717 7650,"Milvus Cần Thơ, 01 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",01 Đại lộ Hoà Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
136,ChIJNxtmn4eJoDERrLPAcVXy5x4,Shop quần áo Thư Các,Cửa hàng quần áo,0907 677 605,"Shop quần áo Thư Các, 10 Đ. Lý Chính Thắng, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",10 Đ. Lý Chính Thắng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
