,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJxbxbyKNioDERXomgS5v6cD8,TTC Hotel - Can Tho,Khách sạn,0292 3812 210,"TTC Hotel - Can Tho, 2 Đường Hai Bà Trưng, Tân An, Ninh Kiều, Cần Thơ 90000","Tân An, Ninh Kiều",2 Đường Hai Bà Trưng,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0355651,105.7893529"
15,ChIJH_EA8DOIoDERViuAQNnqq34,Khách sạn Sheraton Cần Thơ,Khách sạn,0292 3761 888,"Khách sạn Sheraton Cần Thơ, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều",209 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0241788,105.7742316"
31,ChIJzUC1zaRioDERKo2Fig-19GI,Victoria Can Tho Resort,Khách sạn nghỉ dưỡng,0292 3810 111,"Victoria Can Tho Resort, Sông Hậu, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",Sông Hậu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.039720899999999,105.7929781"
46,ChIJf8l5zqtioDER394gqY022iE,Nesta Hotel - Can Tho,Khách sạn,0292 3822 216,"Nesta Hotel - Can Tho, 9C Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",9C Trần Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0520681,105.7893658"
65,ChIJC8aUjahioDERF7paLkibr0c,Holiday One Hotel,Khách sạn,0292 3760 670,"Holiday One Hotel, 59-61-63-65 Pham Ngoc Thach","Cái Khế, Ninh Kiều",59-61-63-65 Pham Ngoc Thach,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0437821,105.78620389999999"
80,ChIJX92IOPeHoDERLMIPEnf2eBg,Resort Cồn Khương,Khách sạn nghỉ dưỡng,0292 3939 955,"Resort Cồn Khương, 99A Đường Nguyễn Hữu Cầu, Cồn Khương, Ninh Kiều, Cần Thơ 94000","Cồn Khương, Ninh Kiều",99A Đường Nguyễn Hữu Cầu,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0670027,105.777115"
102,ChIJu_P34piJoDER5zYxQf1IJD4,Can Tho Ecolodge,Khách sạn nghỉ dưỡng,0336 983 239,"Can Tho Ecolodge, 542, Area No.3, Ba Lang ward, Cái Răng, Cần Thơ","Ba Láng, Cái Răng","542, Area No.3, Ba Lang ward",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.987649099999999,105.7400948"
117,ChIJX4MgI499oDERXfU_tJT2iJ4,Vạn Phát Riverside,Khách sạn,0292 3645 645,"Vạn Phát Riverside, 2 Đ. Nguyễn Văn Cừ, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",2 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0611068,105.78325889999999"
131,ChIJz5ZJLrlioDERN3DW2fLVMzU,Azerai Cần Thơ,Khách sạn nghỉ dưỡng,0292 3627 888,"Azerai Cần Thơ, Cồn Ấu, Cái Răng, Cần Thơ 94912","Cồn Ấu, Cái Răng",,Cần Thơ,94912.0,"Cái Răng, Cần Thơ",VN,"10.0367844,105.8027925"
146,ChIJIatBxveLoDERH9vjDhaj5lY,Cantho Eco Resort,Khách sạn nghỉ dưỡng,0832 068 468,"Cantho Eco Resort, Km7+, QL61C, Nhơn Thuận, Nhơn Nghĩa, Phong Điền, Cần Thơ","Nhơn Nghĩa, Phong Điền","Km7+, QL61C, Nhơn Thuận",Cần Thơ,,"Phong Điền, Cần Thơ",VN,"9.959295899999999,105.6893297"
164,ChIJNXerj9CJoDERK7cXSQ3lAV8,Vườn Sinh Thái Xẻo Nhum,Nhà hàng,0932 994 663,"XQXG+5R4 Vườn Sinh Thái Xẻo Nhum, Khu dân cư Hồng Loan, Hưng Thành, Cái Răng, Cần Thơ","Hưng Thành, Cái Răng","XQXG+5R4, Khu dân cư Hồng Loan",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.9978929,105.77706549999999"
179,ChIJI22wLBGIoDERDyKs-xeV4v4,Hoa Viên THÀNH ĐẠT,Nhà hàng,0292 3891 484,"Hoa Viên THÀNH ĐẠT, TP, 85C hẻm Lò Mổ, 95/4 Đ. Nguyễn Văn Cừ, KV 2, Ninh Kiều, Cần Thơ","KV 2, Ninh Kiều","TP, 85C hẻm Lò Mổ, 95/4 Đ. Nguyễn Văn Cừ",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0386052,105.7669121"
194,ChIJ49Xi_ESIoDERUoup8un_QiU,Anh Dao Mekong 2 Hotel,Khách sạn,0292 3819 901,"Anh Dao Mekong 2 Hotel, 8 Đ.Xuân Thủy, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",8 Đ.Xuân Thủy,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0262573,105.74919039999999"
196,ChIJr1Hq8ahioDERxkKCfNPdRhw,Linh Phuong 2 Hotel,Phòng cho thuê,0292 3643 744,"Linh Phuong 2 Hotel, 7 Đ. Trần Đại Nghĩa, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",7 Đ. Trần Đại Nghĩa,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0450317,105.78588529999999"
197,ChIJn6EhH6JioDERLfXylBw2Cl8,Nam Bộ Boutique Hotel & restaurants,Khách sạn,0292 3819 139,"Nam Bộ Boutique Hotel & restaurants, 1 Đ. Ngô Quyền, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",1 Đ. Ngô Quyền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0335457,105.7882552"
212,ChIJy_wMc92JoDERNsJddUyLfuQ,Hometravel Mekong Cần Thơ,Khách sạn,0978 228 242,"Hometravel Mekong Cần Thơ, 178c Ong Tiem Bridge, Thanh My Area, Cái Răng","Thường Thạnh, Cái Răng","178c Ong Tiem Bridge, Thanh My Area",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.9794225,105.7644823"
228,ChIJi1dlap2HoDERG8hyNO3OPKw,Vườn Sinh Thái Casa Eco Mekong,Khách sạn,0345 286 906,"Vườn Sinh Thái Casa Eco Mekong, QL91B, Thới An Đông, Bình Thủy, Cần Thơ","Thới An Đông, Bình Thủy",QL91B,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.060274699999999,105.7048786"
