,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJOa5oAjuIoDERmHb1YUOmtTw,Salon VŨ IRAN 3,Hiệu làm tóc,0933 466 911,"Salon VŨ IRAN 3, 45 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",45 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
4,ChIJger5LtiJoDERAOxqq_XuorA,July Hair Salon - Chi nhánh Cần Thơ,Hiệu làm tóc,0372 037 803,"July Hair Salon - Chi nhánh Cần Thơ, 42 Đ. Mậu Thân, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",42 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
19,ChIJO7fCwR6IoDERJVUZ4zVK_9I,Hair Salon Thảo Tây,Hiệu làm tóc,0966 666 337,"Hair Salon Thảo Tây, 130 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ 700000","An Cư, Ninh Kiều",130 Đ. Lý Tự Trọng,Cần Thơ,700000.0,"Ninh Kiều, Cần Thơ",VN
22,ChIJbdqb0n2JoDER2xIqsSribbo,Trendy Hair Studio,Hiệu làm tóc,0974 218 194,"Trendy Hair Studio, đường Đ. Trần Văn Hoài, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",đường Đ. Trần Văn Hoài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
37,ChIJ8d7GmoapCjER9UtAdz8-6ek,KyO Hair Salon,Hiệu làm tóc,0917 513 923,"KyO Hair Salon, 381 Đ. Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",381 Đ. Trần Nam Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
38,ChIJ8dJ8abVjoDER6XdeMf_MXJc,Salon Nguyên,Hiệu làm tóc,0907 715 707,"2Q4M+HC6 Salon Nguyên, Hưng Phú, Cái Răng, Cần Thơ","Hưng Phú, Cái Răng",2Q4M+HC6,Cần Thơ,,"Cái Răng, Cần Thơ",VN
66,ChIJSf0Vwl-JoDERlYLNxBXBRn8,Hair salon Đào Lê- Tóc Đẹp Cần Thơ,Tiệm cắt tóc,0348 181 477,"Hair salon Đào Lê- Tóc Đẹp Cần Thơ, 583 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 902220","Hưng Lợi, Ninh Kiều",583 Đ. 30 Tháng 4,Cần Thơ,902220.0,"Ninh Kiều, Cần Thơ",VN
80,ChIJl1v6R3qJoDER5q9-WIof8KM,TH Hair Salon,Tiệm cắt tóc,0356 656 039,"TH Hair Salon, Đường 305A Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ 94000","An Hoà, Ninh Kiều",Đường 305A Đ. Nguyễn Văn Cừ,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
91,ChIJr3TRYsaJoDER7kcitPG5EoY,Salon Ái Thu,Hiệu làm tóc,0969 788 898,"2Q95+PV6 Salon Ái Thu, Hẻm 132, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều","2Q95+PV6, Hẻm 132",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
103,ChIJbdlvLiKJoDEReY-HrGHqI-A,Sinh Anh Hair Salon Cần Thơ,Hiệu làm tóc,0393 823 888,"Sinh Anh Hair Salon Cần Thơ, Đ. Lý Tự Trọng/40 đoạn 2 chiều, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",Đ. Lý Tự Trọng/40 đoạn 2 chiều,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
118,ChIJr0WfNyCIoDERG6OYZgN2Yzw,Salon Hair - Nail Thanh Tiếm,Người tạo mẫu,0909 161 904,"Salon Hair - Nail Thanh Tiếm, 50m về hướng, 139/39 Đường 30 Tháng 4 Xuân Khánh Ngay đầu bờ kè cách chợ, Đại lộ Hoà Bình, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","50m về hướng, 139/39 Đường 30 Tháng 4 Xuân Khánh Ngay đầu bờ kè cách chợ, Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
119,ChIJv-bpCUeJoDERjZ-OWnfNpsQ,Hair Salon,Hiệu làm tóc,0799 556 714,"Hair Salon, 111 Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",111 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
120,ChIJH5be9NOJoDERUK6PaiimD6M,Salon hair beauty &nail gội đầu dưỡng sinh,Chuyên gia làm đẹp,0396 875 827,"Salon hair beauty &nail gội đầu dưỡng sinh, 166 Đ. Nguyễn Đệ, An Hoà, tp, Cần Thơ","An Hoà, tp",166 Đ. Nguyễn Đệ,Cần Thơ,,"tp, Cần Thơ",VN
128,ChIJtUnaGQa8G4cR7Nr0hWvjiAQ,DIAMOND HAIR SALON,Hiệu làm tóc,0902 908 469,,,,,,,
142,ChIJBVjR1VmJoDERbkwedOboSkQ,hair salon Minh Tài,Hiệu làm tóc,0762 450 809,"hair salon Minh Tài, 162/23 hẻm 1 Đ. Nguyễn Việt Hồng, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",162/23 hẻm 1 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
145,ChIJRyYx6FWJoDERBe6oKaLmJBo,Hair Salon Giang Sơn Cần Thơ,Hiệu làm tóc,0939 362 803,"Hair Salon Giang Sơn Cần Thơ, 239 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",239 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
160,ChIJoYjsHiSIoDERzdlAzhmRfvs,Hair Salon Nguyễn Vàng 1,Thợ làm tóc,0939 391 313,"Hair Salon Nguyễn Vàng 1, 11 Trần Văn Khéo, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",11 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
165,ChIJqTs99dCJoDERbj6i3Md93IU,Traky Hair Salon,Hiệu làm tóc,0786 239 999,"Traky Hair Salon, 133 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 90000","An Phú, Ninh Kiều",133 Đ. Trần Hưng Đạo,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
174,ChIJOwKbnbyJoDER96aif_PPci4,Emi Hair Salon,Hiệu làm tóc,0932 321 900,"Emi Hair Salon, 88 Đ. Nguyễn Việt Hồng, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",88 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
189,ChIJQWymkzaIoDERR3M6eBX-S6I,Salon Bắc Trần Tiến,Hiệu làm tóc,0986 363 551,"Salon Bắc Trần Tiến, 145 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",145 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
