,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJy04pFlkpdTERuMUn-zQQc78,Big C Trường Chinh,Đại siêu thị,028 3863 2990,"Big C Trường Chinh, 1/1 Đ. Trường Chinh, Tây Thạnh, Tân Phú, Thành phố Hồ Chí Minh 70000","Tây Thạnh, Tân Phú",1/1 Đ. Trường Chinh,Thành phố Hồ Chí Minh,70000.0,"Tân Phú, Thành phố Hồ Chí Minh",VN,"10.8064862,106.6341961"
15,ChIJyypNcBgvdTERQxBDiJBURjw,Co.opmart Cống Quỳnh,Siêu thị,028 3832 5239,"Co.opmart Cống Quỳnh, 189C Đ. Cống Quỳnh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh","Phường Nguyễn Cư Trinh, Quận 1",189C Đ. Cống Quỳnh,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN,"10.7673317,106.6863886"
29,ChIJm18crYFioDERxs3E6NqHE-Q,GO! Cần Thơ,Siêu thị,0292 3737 575,"GO! Cần Thơ, Lô, Số 1, KHU DÂN CƯ ĐÔ THỊ MỚI HƯNG PHÚ, Cái Răng, Cần Thơ","KHU DÂN CƯ ĐÔ THỊ MỚI HƯNG PHÚ, Cái Răng","Lô, Số 1",Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0139402,105.7845184"
31,ChIJMeN7sBGIoDERHPaDf6MMnQI,LOTTE Mart Cần Thơ,Đại siêu thị,0901 057 057,"LOTTE Mart Cần Thơ, 84 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",84 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0424145,105.7667482"
33,ChIJH6-CURImdTERX2oCqYyod5Q,MM Mega Market An Phú,Siêu thị,0906 571 220,"MM Mega Market An Phú, TP, Khu B, Khu đô thị mới, Khu đô thị An Phú An Khánh, Thủ Đức, Thành phố Hồ Chí Minh 700000","Khu đô thị An Phú An Khánh, Thủ Đức","TP, Khu B, Khu đô thị mới",Thành phố Hồ Chí Minh,700000.0,"Thủ Đức, Thành phố Hồ Chí Minh",VN,"10.8005088,106.74324449999999"
47,ChIJf7YFBQsndTERMgYYY08ZIpY,Co.opmart Xa Lộ Hà Nội,Siêu thị,028 3730 7234,"Co.opmart Xa Lộ Hà Nội, 191 Quang Trung, Hiệp Phú, Thành Phố Thủ Đức, Thành phố Hồ Chí Minh","Hiệp Phú, Thành Phố Thủ Đức",191 Quang Trung,Thành phố Hồ Chí Minh,,"Thành Phố Thủ Đức, Thành phố Hồ Chí Minh",VN,"10.8480014,106.77430679999999"
62,ChIJe_BUExWhQTERkuCGqUMcuOU,GO! Huế,Đại siêu thị,0234 3936 888,"GO! Huế, 174 Bà Triệu, Phường Phú Hội, TP. Huế, Tỉnh Thừa Thiên Huế Huế Thua Thien-Hue Province, 53000","Phú Nhuận, Thành phố Huế","174 Bà Triệu, Phường Phú Hội, TP. Huế, Tỉnh Thừa Thiên Huế Huế Thua Thien-Hue Province",Thừa Thiên Huế,53000.0,"Thành phố Huế, Thừa Thiên Huế",VN,"16.460133499999998,107.5991754"
65,ChIJ7cEkeOcudTERAMKAMS71_RI,Satramart - Siêu thị Sài Gòn,Siêu thị,028 3862 9629,"Satramart - Siêu thị Sài Gòn, Đường Đ. 3 Tháng 2, Phường 12, Quận 10, Thành phố Hồ Chí Minh","Phường 12, Quận 10",Đường Đ. 3 Tháng 2,Thành phố Hồ Chí Minh,,"Quận 10, Thành phố Hồ Chí Minh",VN,"10.7685389,106.66770419999999"
80,ChIJFwS8X4EudTERVgY5CfgqTg0,Co.op Mart Phú Lâm,Siêu thị,028 3751 4798,"Co.op Mart Phú Lâm, 06 Bà Hom, Phường 13, Quận 6, Thành phố Hồ Chí Minh","Phường 13, Quận 6",06 Bà Hom,Thành phố Hồ Chí Minh,,"Quận 6, Thành phố Hồ Chí Minh",VN,"10.7544592,106.63369519999999"
95,ChIJ1V-iEN8odTER_wjHXSZ_nIw,Co.opmart Nguyễn Kiệm,Siêu thị,028 3997 2477,"Co.opmart Nguyễn Kiệm, 573 Đ. Nguyễn Kiệm, Phường 9, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 9, Phú Nhuận",573 Đ. Nguyễn Kiệm,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN,"10.808696999999999,106.6781152"
110,ChIJKaN4B5IvdTERZ0piBewlCLg,Co.opXtra Tân Phong,Đại siêu thị,028 3776 1234,"Co.opXtra Tân Phong, 1058 Đ. Nguyễn Văn Linh, Tân Phong, Quận 7, Thành phố Hồ Chí Minh","Tân Phong, Quận 7",1058 Đ. Nguyễn Văn Linh,Thành phố Hồ Chí Minh,,"Quận 7, Thành phố Hồ Chí Minh",VN,"10.7297274,106.7039922"
125,ChIJxSJTLDiIoDER-QF6xBj8xfM,MM Mega Market Hưng Lợi,Đại siêu thị,,"MM Mega Market Hưng Lợi, Đ. Nguyễn Văn Linh, Khu vực 5, Ninh Kiều, Cần Thơ","Khu vực 5, Ninh Kiều",Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0233783,105.7609559"
127,ChIJz5hSqjMsdTER1FTLZpB2A-A,Co.opmart Bình Tân,Siêu thị,028 3762 6702,"Co.opmart Bình Tân, 158 Đường số 19, Bình Trị Đông B, Bình Tân, Thành phố Hồ Chí Minh","Bình Trị Đông B, Bình Tân",158 Đường số 19,Thành phố Hồ Chí Minh,,"Bình Tân, Thành phố Hồ Chí Minh",VN,"10.7535972,106.6133909"
142,ChIJH0aaMM4ldTERQgfT62IZyNs,Co.opmart Đồng Văn Cống,Siêu thị,028 3742 2350,"Co.opmart Đồng Văn Cống, 125 Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Quận 2, Thành phố Hồ Chí Minh 700000","Phường Thạnh Mỹ Lợi, Quận 2",125 Đồng Văn Cống,Thành phố Hồ Chí Minh,700000.0,"Quận 2, Thành phố Hồ Chí Minh",VN,"10.7739219,106.7624227"
157,ChIJV-D9CJwrdTERK5hAGleCpow,Co.opmart Phan Văn Hớn,Siêu thị,028 3815 5484,"Co.opmart Phan Văn Hớn, 102 Phan Văn Hớn, Tân Thới Nhất, Quận 12, Thành phố Hồ Chí Minh","Tân Thới Nhất, Quận 12",102 Phan Văn Hớn,Thành phố Hồ Chí Minh,,"Quận 12, Thành phố Hồ Chí Minh",VN,"10.8284764,106.6199905"
172,ChIJyShuuTCIoDERJ0vRVxlMw3U,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 217 Hẻm 132 Đ. 3 Tháng 2, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều",217 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0215374,105.7653174"
175,ChIJOSvWoKFioDERd8JvDdSruts,Co.opmart Cần Thơ,Siêu thị,0292 3763 585,"Co.opmart Cần Thơ, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",1 Đại lộ Hoà Bình,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0342006,105.78606409999999"
189,ChIJRx-aXJc6dTERbLqP1pFrw4E,Co.opmart Nguyễn Bình,Siêu thị,028 3777 0669,"Co.opmart Nguyễn Bình, 18 Nguyễn Bình, Phú Xuân, Nhà Bè, Thành phố Hồ Chí Minh","Phú Xuân, Nhà Bè",18 Nguyễn Bình,Thành phố Hồ Chí Minh,,"Nhà Bè, Thành phố Hồ Chí Minh",VN,"10.673842299999999,106.7359919"
204,ChIJ30ZkSzCIoDERIqc0-CaeQd8,Siêu Thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu Thị Thế Giới Di Động, 84-86A Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ 920000","An Lạc, Ninh Kiều",84-86A Đ. 30 Tháng 4,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN,"10.0297656,105.7797842"
211,ChIJ45LnXzqIoDERvQB-QiEDX20,Siêu thị Điện máy XANH,Cửa hàng bán đồ điện tử,1900 232461,"Siêu thị Điện máy XANH, 172B Đường 3, 2 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 94000","Hưng Lợi, Ninh Kiều","172B Đường 3, 2 Đ. 3 Tháng 2",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0239201,105.7672565"
