,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJb4UrIalioDERf-x1-5PA6vU,Khách sạn Đông Hà – Fortuneland,Khách sạn,+84 292 3656 656,"Khách sạn Đông Hà – Fortuneland, 141 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",141 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
2,ChIJQ5jLT-WJoDERiRKYnNUrNck,Trường Xuân Cung - Massage cổ truyền - Gội đầu dưỡng sinh,Spa sức khỏe,+84 939 787 901,"Trường Xuân Cung - Massage cổ truyền - Gội đầu dưỡng sinh, 85-87 Đ. Trương Định, Tân An, Ninh Kiều, Cần Thơ 94110, Việt Nam","Tân An, Ninh Kiều",85-87 Đ. Trương Định,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN
6,ChIJO3xWEqhioDERweMNgwdgQIY,Thẩm Mỹ Viện Seoul Center,Thẩm mỹ viện,+84 1800 3333,"Thẩm Mỹ Viện Seoul Center, 329 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",329 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
7,ChIJHRmqFqhioDERFEUepRkC6ZI,Spa Cát Tiên Cần Thơ,Cơ sở chăm sóc da,+84 939 365 565,"Spa Cát Tiên Cần Thơ, 105 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ, Việt Nam","Cái Khế, Ninh Kiều",105 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
22,ChIJRUDnE6FioDERzhyxqsrTVN8,Life Spa - Massage Gia Đình,Câu lạc bộ spa và sức khỏe,+84 292 3760 221,"Life Spa - Massage Gia Đình, 95A Đ. Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ 94000, Việt Nam","Tân An, Ninh Kiều",95A Đ. Xô Viết Nghệ Tĩnh,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
37,ChIJYStI68KJoDERhyBWWOHX-n4,"MAY RELAX & SPA CN1 - Gội đầu dưỡng sinh, Massage body Cần Thơ",,+84 356 237 455,"MAY RELAX & SPA CN1 - Gội đầu dưỡng sinh, Massage body Cần Thơ, 13B Đ. Trần Bình Trọng, An Phú, Ninh Kiều, Cần Thơ, Việt Nam","An Phú, Ninh Kiều",13B Đ. Trần Bình Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
52,ChIJ8zUMe3iJoDERxB2eqfkbn-c,"MAY XƯA SPA CẦN THƠ - Massage body, Gội đầu dưỡng sinh, Tắm tẩy tế bào chết, xông hơi, Foot",Spa,+84 393 599 120,"MAY XƯA SPA CẦN THƠ - Massage body, Gội đầu dưỡng sinh, Tắm tẩy tế bào chết, xông hơi, Foot, 1e Trần Quang Khải, An Hội, Ninh Kiều, Cần Thơ 90000, Việt Nam","An Hội, Ninh Kiều",1e Trần Quang Khải,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
61,ChIJPftv3MyJoDERVsrxeyImFDY,"MAY Relax & Spa CN2 - Gội đầu Dưỡng Sinh Thảo Dược, Massage body Cần Thơ",Spa sức khỏe,+84 292 2249 398,"MAY Relax & Spa CN2 - Gội đầu Dưỡng Sinh Thảo Dược, Massage body Cần Thơ, 390 Đ. Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",390 Đ. Trần Nam Phú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
76,ChIJyX6D9PdjoDERfTRKpKYoHqY,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Relax Spa Lali",Spa sức khỏe,+84 779 123 789,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Relax Spa Lali, 58 Trần Văn Khéo, Cái Khế, Ninh Kiều, Cần Thơ 94107, Việt Nam","Cái Khế, Ninh Kiều",58 Trần Văn Khéo,Cần Thơ,94107.0,"Ninh Kiều, Cần Thơ",VN
84,ChIJZ1tK6ehjoDER_yj938qWo6o,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Hannah Spa 2",Spa,+84 379 080 909,"Gội Đầu Dưỡng Sinh Cần Thơ, Massage Body - Hannah Spa 2, 25 Võ Thị Sáu, Tân An, Ninh Kiều, Cần Thơ 94110, Việt Nam","Tân An, Ninh Kiều",25 Võ Thị Sáu,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN
97,ChIJK1V-A6FjoDER8Tl2JQOqKhM,NGOC MINNIE SPA - CẦN THƠ,Spa,+84 794 993 997,"NGOC MINNIE SPA - CẦN THƠ, 128 Đường B5, Hưng Phú, Cái Răng, Cần Thơ 900000, Việt Nam","Hưng Phú, Cái Răng",128 Đường B5,Cần Thơ,900000.0,"Cái Răng, Cần Thơ",VN
106,ChIJDaYg6wmJoDERZ1h9EslTshE,HB Spa - Cần Thơ (Dưỡng Sinh & Thủ Đạo Thang),Spa,+84 292 2210 266,"HB Spa - Cần Thơ (Dưỡng Sinh & Thủ Đạo Thang), 176B Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 900000, Việt Nam","An Phú, Ninh Kiều",176B Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
121,ChIJ045IfLyJoDERWyNCUPPYLq4,Cánh Đồng Xanh Care,Spa y tế,+84 907 512 878,"Cánh Đồng Xanh Care, 110 Đ. Lê Lai, An Phú, Ninh Kiều, Cần Thơ 920000, Việt Nam","An Phú, Ninh Kiều",110 Đ. Lê Lai,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN
122,ChIJLTihkDKJoDERfRlWzYcunr4,Pattaya Thai - Spa Dưỡng Sinh,Spa,+84 866 830 323,"Pattaya Thai - Spa Dưỡng Sinh, 197-199 Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ, Việt Nam","Khu dân cư 91B, Ninh Kiều",197-199 Đ. Nguyễn Hiền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
137,ChIJNxfyUlqJoDERLPRzWEBKI9o,MANNAM Spa for men,Spa,+84 364 899 495,"MANNAM Spa for men, 113 đường 19 Khu dân cư Hồng Loan, lô 5C, Cái Răng, Cần Thơ, Việt Nam","lô 5C, Cái Răng",113 đường 19 Khu dân cư Hồng Loan,Cần Thơ,,"Cái Răng, Cần Thơ",VN
152,ChIJR8plLe-JoDERt69DPM0mEw4,Gà Spa Cần Thơ,Spa,+84 379 773 517,"Gà Spa Cần Thơ, 26 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ 900000, Việt Nam","Thới Bình, Ninh Kiều",26 Hùng Vương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
161,ChIJsVZn5B6JoDERMWSWp6fJfMw,SPA - SAUNA CLUB 65 CẦN THƠ (For men),Phòng xông hơi đồng tính nam,+84 987 102 956,"SPA - SAUNA CLUB 65 CẦN THƠ (For men), C26 Đ. Cách Mạng Tháng 8, Cái Khế, Bình Thủy, Cần Thơ, Việt Nam","Cái Khế, Bình Thủy",C26 Đ. Cách Mạng Tháng 8,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
169,ChIJvdzNWyWJoDERsNyZ5cxNj2k,"Lynn Spa - Gội đầu dưỡng sinh, Massage Body, Spa, Chăm sóc da Cần Thơ",Spa,+84 916 951 484,"Lynn Spa - Gội đầu dưỡng sinh, Massage Body, Spa, Chăm sóc da Cần Thơ, Đường Bờ Hồ Bún Xáng, P, Ninh Kiều, Cần Thơ 900000, Việt Nam","P, Ninh Kiều",Đường Bờ Hồ Bún Xáng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
184,ChIJnbxbdruJoDERXKFKdSYvXhA,Queen Spa Ngọc Hiền,Spa sức khỏe,+84 945 705 605,"Queen Spa Ngọc Hiền, 172 Đ. Phạm Hùng, Lê Bình, Cái Răng, Cần Thơ, Việt Nam","Lê Bình, Cái Răng",172 Đ. Phạm Hùng,Cần Thơ,,"Cái Răng, Cần Thơ",VN
190,ChIJt_s7v-mJoDERnbDXAbzEJ3g,Honey Nail & Spa,Tiệm chăm sóc móng,+84 903 858 593,"Honey Nail & Spa, 54 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ 94110, Việt Nam","An Cư, Ninh Kiều",54 Đ. Lý Tự Trọng,Cần Thơ,94110.0,"Ninh Kiều, Cần Thơ",VN
191,ChIJt6WdCwqJoDERIYpn99jipVM,Genus Spa Mạc Thiên Tích,Spa sức khỏe,+84 842 790 390,"Genus Spa Mạc Thiên Tích, 45 Đ. Mạc Thiên Tích, Xuân Khánh, Ninh Kiều, Cần Thơ 900000, Việt Nam","Xuân Khánh, Ninh Kiều",45 Đ. Mạc Thiên Tích,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
201,ChIJOdiOimKJoDERt7qPTmaR6G8,DƯỠNG SINH CÔ BA - CẦN THƠ,Spa sức khỏe,+84 769 323 839,"DƯỠNG SINH CÔ BA - CẦN THƠ, 38 Đ. Trần Hoàng Na, Phường An Khánh, Ninh Kiều, Cần Thơ 00009, Việt Nam","Phường An Khánh, Ninh Kiều",38 Đ. Trần Hoàng Na,Cần Thơ,9.0,"Ninh Kiều, Cần Thơ",VN
207,ChIJV5JyzryJoDERc5alwyDnxGE,HEDO BEAUTY SKINCARE & SPA,Spa sức khỏe,+84 939 944 907,"HEDO BEAUTY SKINCARE & SPA, 440 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ, Việt Nam","An Hoà, Ninh Kiều",440 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
208,ChIJESwCUmGJoDERH-Dfzt7dhPQ,SIREN BEAUTY & SPA | TIÊM MESO CẦN THƠ | TIÊM FILLER CẦN THƠ | TIÊM BOTOX CẦN THƠ,Spa,+84 939 039 620,"SIREN BEAUTY & SPA | TIÊM MESO CẦN THƠ | TIÊM FILLER CẦN THƠ | TIÊM BOTOX CẦN THƠ, 79 Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ, Việt Nam","Khu dân cư 91B, Ninh Kiều",79 Đ. Nguyễn Hiền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
237,ChIJdz0RqHtjoDER78AfUJ1T2zs,LAVIO SPA AND CLINIC,Spa,+84 899 978 968,"LAVIO SPA AND CLINIC, 255 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",255 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
252,ChIJ89U9syuJoDERUU0SJF5Yp0Y,SPA GẤU NHUNG CẦN THƠ,Spa sức khỏe,+84 932 867 786,"SPA GẤU NHUNG CẦN THƠ, 380 Đ. Trần Nam Phú, Phường An Khánh, Ninh Kiều, Cần Thơ 94117, Việt Nam","Phường An Khánh, Ninh Kiều",380 Đ. Trần Nam Phú,Cần Thơ,94117.0,"Ninh Kiều, Cần Thơ",VN
267,ChIJwZzrbt-JoDERLFEK0gsiO6M,LAVIU SPA CẦN THƠ,Spa mặt,+84 898 844 886,"LAVIU SPA CẦN THƠ, 58B Đ. Số 5A, Phường An Khánh, Ninh Kiều, Cần Thơ 90000, Việt Nam","Phường An Khánh, Ninh Kiều",58B Đ. Số 5A,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
268,ChIJj7Y9S_-JoDERaydXlh8nAGg,Hanavy Beauty & Spa,Chuyên gia làm đẹp,+84 786 866 960,"Hanavy Beauty & Spa, Hẻm 4 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",Hẻm 4 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
269,ChIJBfbdiEmJoDERBiH_Bm-qR3Y,Hy Beauty Spa - Spa Cần Thơ - Chăm sóc da bằng Y học tái sinh,Spa,+84 848 464 868,"Hy Beauty Spa - Spa Cần Thơ - Chăm sóc da bằng Y học tái sinh, A40 Đ. số 1, KHU DÂN CƯ ĐÔ THỊ MỚI HƯNG PHÚ, Cái Răng, Cần Thơ 900000, Việt Nam","KHU DÂN CƯ ĐÔ THỊ MỚI HƯNG PHÚ, Cái Răng",A40 Đ. số 1,Cần Thơ,900000.0,"Cái Răng, Cần Thơ",VN
270,ChIJHc2qQk6JoDERk3FH4cBwPkY,Lona Home Spa,Spa,+84 932 927 723,"Lona Home Spa, 36/3 đường bờ kè Hồ Bún Xáng, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",36/3 đường bờ kè Hồ Bún Xáng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
271,ChIJ8duiwRmJoDERNLaJgKbcMK4,BB Wellness Cần Thơ - Spa cho bé chuẩn Singapore,Spa sức khỏe,+84 909 747 575,"BB Wellness Cần Thơ - Spa cho bé chuẩn Singapore, VINCOM, PG2-10, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều","VINCOM, PG2-10, 209 Đ. 30 Tháng 4",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
336,ChIJcd9asSCJoDER5ywoVGbklhI,Shynh Beauty Spa Cần THơ,Spa,+84 986 670 024,"Shynh Beauty Spa Cần THơ, 108 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ, Việt Nam","An Cư, Ninh Kiều",108 Đ. Lý Tự Trọng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
341,ChIJF2UF27CJoDERprhJDCjLXQg,Spa Ngọc Anh,Spa mặt,+84 939 902 286,"Spa Ngọc Anh, C33 Đ. Số 4, Lê Bình, Cái Răng, Cần Thơ, Việt Nam","Lê Bình, Cái Răng",C33 Đ. Số 4,Cần Thơ,,"Cái Răng, Cần Thơ",VN
349,ChIJqaVlMeVjoDERhImtFLTIbMs,TGI SPA CẦN THƠ,Spa,+84 901 280 288,"TGI SPA CẦN THƠ, 97A1 Đ. Hồ Tùng Mậu, Cái Khế, Ninh Kiều, Cần Thơ 901000, Việt Nam","Cái Khế, Ninh Kiều",97A1 Đ. Hồ Tùng Mậu,Cần Thơ,901000.0,"Ninh Kiều, Cần Thơ",VN
350,ChIJkwEa76qJoDERuMl5Q77DpuM,Lona Home Spa,Spa,+84 777 679 902,"Lona Home Spa, T2 Đinh Công Tráng, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",T2 Đinh Công Tráng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
351,ChIJDZrQ682JoDERsY90r8ZzO9Y,Spa Nhà Cô Tấm,Spa,+84 939 489 038,"Spa Nhà Cô Tấm, 162C/2, 162c Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ 94000, Việt Nam","Xuân Khánh, Ninh Kiều","162C/2, 162c Đ. Trần Ngọc Quế",Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
