,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJn5-L-LCJoDERPq4DHX3NXH8,Phim Trường The Bo (Phố Ông Chảnh),Studio nhiếp ảnh,0947 325 577,"Phim Trường The Bo (Phố Ông Chảnh), 149/2E, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",149/2E,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.003815699999999,105.7500409"
2,ChIJx56lqwKIoDERqemCWy60Tck,CỬU LONG STUDIO,Cửa hàng đồ cưới,0292 3762 819,"CỬU LONG STUDIO, 191 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 92000","An Hội, Ninh Kiều",191 Nguyễn Trãi,Cần Thơ,92000.0,"Ninh Kiều, Cần Thơ",VN,"10.043051199999999,105.7820904"
13,ChIJ-beR_biJoDERqW6YSKbr3XI,Khánh Châu Wedding - Studio Áo Cưới Chụp Ảnh Cưới Ngoại Cảnh - Phim Trường Cần Thơ,Cửa hàng đồ cưới,0911 953 833,"Khánh Châu Wedding - Studio Áo Cưới Chụp Ảnh Cưới Ngoại Cảnh - Phim Trường Cần Thơ, 51c Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",51c Đ. Trần Hoàng Na,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.010824699999999,105.7653824"
19,ChIJvyiGLzyPoDERadrE6gSoJic,Studio Áo Cưới Triệu Phụng,Studio nhiếp ảnh,,"Studio Áo Cưới Triệu Phụng, Giai Xuân, Phong Điền, Cần Thơ","Giai Xuân, Phong Điền",,Cần Thơ,,"Phong Điền, Cần Thơ",VN,"10.0321377,105.66836769999999"
30,ChIJY1OuwBiIoDERdpBmjG1oTDg,Duyên Dáng Studio Trần Hưng Đạo,Studio nhiếp ảnh,0915 858 083,"Duyên Dáng Studio Trần Hưng Đạo, 220 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",220 Đ. Trần Hưng Đạo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0345698,105.7751548"
41,ChIJzWgHHTSIoDERmoLd9n2ck00,HIT Recording Studio,Phòng thu âm,0982 937 723,"HIT Recording Studio, 20 B15, Khu dân cư 91B, Cần Thơ","Khu dân cư 91B, Ninh Kiều",20 B15,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.024689799999999,105.75641499999999"
47,ChIJiUbaMqKJoDERBZXI7ZNBmks,Linh Đang Studio,Studio nhiếp ảnh,0931 042 543,"Linh Đang Studio, 129 Đ. Nguyễn Hiền, Khu dân cư 91B, Ninh Kiều, Cần Thơ","Khu dân cư 91B, Ninh Kiều",129 Đ. Nguyễn Hiền,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0226144,105.7558255"
63,ChIJyR63u0qIoDERP-ZbC5mJ3eQ,Studio Hoàng My - Chụp hình cưới - Cho Thuê Áo cưới - Trang điểm Cô Dâu,Thợ chụp ảnh đám cưới,0939 830 890,"Studio Hoàng My - Chụp hình cưới - Cho Thuê Áo cưới - Trang điểm Cô Dâu, 683 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",683 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.012482199999999,105.75510179999999"
66,ChIJMelfmrCJoDERpmBIXzI7OtI,KHANG Studio,Nhà nhiếp ảnh,0932 774 444,"KHANG Studio, 439 Đ. Phạm Hùng, Lê Bình, Cái Răng, Cần Thơ 900000","Lê Bình, Cái Răng",439 Đ. Phạm Hùng,Cần Thơ,900000.0,"Cái Răng, Cần Thơ",VN,"9.9953529,105.7492228"
72,ChIJ2TarXkqJoDERrOWL4Zn7Xm8,September Studio Cần Thơ,Studio nhiếp ảnh,0898 900 323,"September Studio Cần Thơ, Sophouse Vincom, Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 900000","Xuân Khánh, Ninh Kiều","Sophouse Vincom, Đ. 30 Tháng 4",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.025638299999999,105.7759256"
87,ChIJAUAEMQyJoDERy_i9kSrJgNo,Kha Studio & Dreamers Concept,Studio nhiếp ảnh,0939 244 192,"Kha Studio & Dreamers Concept, Đ. Nguyễn Thông/218 Đ. Cách Mạng Tháng 8, Long Hoà, Bình Thủy, Cần Thơ 90000","Long Hoà, Bình Thủy",Đ. Nguyễn Thông/218 Đ. Cách Mạng Tháng 8,Cần Thơ,90000.0,"Bình Thủy, Cần Thơ",VN,"10.063055199999999,105.7491301"
