,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJOwr48WZjoDERmJUlYO5yXYc,Nhà Sách Phương Nam,Hiệu sách,0943 821 007,"Nhà Sách Phương Nam, 06 Đại lộ Hoà Bình, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",06 Đại lộ Hoà Bình,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.035057,105.78566"
15,ChIJgdghPCGIoDER4X2Zpcu87tE,Nhà Sách FAHASA Cần Thơ,Hiệu sách,0292 3754 037,"Nhà Sách FAHASA Cần Thơ, 103C Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ 94000","An Lạc, Ninh Kiều",103C Đ. 30 Tháng 4,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0282657,105.77877029999999"
30,ChIJp7EPEaFioDER-GXGoin4J1U,Nhà Sách Hồng Ân,Hiệu sách,0292 3819 467,"Nhà Sách Hồng Ân, 41 Võ Thị Sáu, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",41 Võ Thị Sáu,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0363825,105.784922"
45,ChIJXz9FNaBioDERkMVxaGUNOnU,Nhà sách FAHASA Hòa Bình,Hiệu sách,0292 3815 253,"Nhà sách FAHASA Hòa Bình, 01 Hoà Bình P, Ninh Kiều","Tân An, Ninh Kiều",01 Hoà Bình P,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.034258099999999,105.7858273"
60,ChIJH9cSqIFioDER3fZg_wmRpVk,Nhà Sách FAHASA Tây Đô,Hiệu sách,0292 3737 495,"Nhà Sách FAHASA Tây Đô, Siêu Thị Big C Cần Thơ, QL1A, Hưng Phú, Cái Răng, Cần Thơ 94000","Hưng Phú, Cái Răng","Siêu Thị Big C Cần Thơ, QL1A",Cần Thơ,94000.0,"Cái Răng, Cần Thơ",VN,"10.0139371,105.78466499999999"
75,ChIJe36kBhWJoDERgCzxVd9QEWg,Trạm Dừng Chân (Quán Trà - Sách),Quán cà phê,0939 889 945,"Trạm Dừng Chân (Quán Trà - Sách), 1A/15A Nguyễn Văn Trỗi, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều",1A/15A Nguyễn Văn Trỗi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.036504299999999,105.7715042"
77,ChIJKQKbT_5joDERHOEWBfYMtR0,Nhà Sách Thành Đạt,Hiệu sách,0292 6522 529,"Nhà Sách Thành Đạt, 29 Đ. Nguyễn Khuyến, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",29 Đ. Nguyễn Khuyến,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.034055799999999,105.7831336"
92,ChIJzYjY_-2JoDERcBg_RS80DIE,Nhà Sách Linh Kona,Hiệu sách,0907 910 618,"Nhà Sách Linh Kona, 40 Đ. Ngô Tất Tố, Khu dân cư 91B, Ninh Kiều, Cần Thơ","Khu dân cư 91B, Ninh Kiều",40 Đ. Ngô Tất Tố,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0233233,105.7542694"
97,ChIJNbfE3leJoDERsNRozkCVHBw,Nhà sách Minh Anh,Cửa hàng bán dụng cụ học tập,0949 560 606,"Nhà sách Minh Anh, 94 Đ. Phan Huy Chú, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",94 Đ. Phan Huy Chú,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0403368,105.75591569999999"
110,ChIJhU1PkCeJoDERzF94YNmA6S4,Sách Cũ Văn Chuộn- Cần Thơ,Cửa hàng sách cũ,0939 066 545,"Sách Cũ Văn Chuộn- Cần Thơ, 141/46D Hẻm 483 (141 cũ), Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",141/46D Hẻm 483 (141 cũ),Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.009901099999999,105.7634873"
