,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJF4ZpWdyJoDERzRN84j08ma8,Cà phê Sữa Đá,Quán cà phê,0859 995 359,"Cà phê Sữa Đá, 79/21 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",79/21 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0407785,105.778515"
9,ChIJSy1BuqFioDERu4ZlbRPORVo,Trà Sữa ToCoToCo Sense City Cần Thơ,Quán cà phê,0292 2485 858,"Trà Sữa ToCoToCo Sense City Cần Thơ, TTTM Sense City, 1 Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều","TTTM Sense City, 1 Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0344933,105.78575079999999"
10,ChIJP4falBWJoDERz6_bRtCOBHA,Trà Sữa Ô Long Lasimi Cần Thơ,Trà trân châu,0981 975 565,"Trà Sữa Ô Long Lasimi Cần Thơ, 66 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",66 Đ. Lý Tự Trọng,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.035209499999999,105.77899629999999"
11,ChIJJb1-72SJoDERh3P6EpoBQqs,By Ken Le - Cafe Sữa Bọt,Quán cà phê,,"By Ken Le - Cafe Sữa Bọt, 65 Đ.Xô Viết Nghệ Tĩnh, Tân An, Ninh Kiều, Cần Thơ 900022","Tân An, Ninh Kiều",65 Đ.Xô Viết Nghệ Tĩnh,Cần Thơ,900022.0,"Ninh Kiều, Cần Thơ",VN,"10.0366583,105.7853203"
12,ChIJl-KogmGHoDER-NW7NwV3fSc,Thế Giới Sữa Trần Quang Diệu,Siêu thị,,"Thế Giới Sữa Trần Quang Diệu, 198 Trần Quang Diệu, An Thới, Bình Thủy, Cần Thơ","An Thới, Bình Thủy",198 Trần Quang Diệu,Cần Thơ,,"Bình Thủy, Cần Thơ",VN,"10.058455499999999,105.7664806"
13,ChIJD6soBtmJoDERBEgm9LzM4WI,Trà sữa IKIGAI,Quán cà phê,0792 244 082,"Trà sữa IKIGAI, 43d Đường 3/2, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",43d Đường 3/2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0271242,105.7694576"
27,ChIJHyPNHyGJoDERjSEtA0eTiMg,"Sữa mát nhất l Sữa giúp trẻ tăng chiều cao, cân nặng | Sữa giúp trẻ hết ốm vặt, không táo bón | Sữa PureLac nhập khẩu nguyên hộp New Zealand",Cửa hàng đồ trẻ em,1900 633632,"Sữa mát nhất l Sữa giúp trẻ tăng chiều cao, cân nặng | Sữa giúp trẻ hết ốm vặt, không táo bón | Sữa PureLac nhập khẩu nguyên hộp New Zealand, Tầng 1, Vincom Plaza Hùng Vương, Số 2 Hùng Vương, Q. Ninh Kiều Cần Thơ Can Tho City","Thới Bình, Ninh Kiều","Tầng 1, Vincom Plaza Hùng Vương, Số 2 Hùng Vương, Q. Ninh Kiều Cần Thơ Can Tho City",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0454948,105.7794857"
28,ChIJMwvEBmiIoDERVt9jiNFrE6Q,Thế Giới Sữa,Cửa hàng bách hóa,0292 3610 909,"Thế Giới Sữa, C310B/4, Đ. Nguyễn Văn Linh, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều","C310B/4, Đ. Nguyễn Văn Linh",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0347925,105.7471996"
42,ChIJM7OCUxKJoDERuCCxdefdnIM,Thế Giới Sữa An Bình,Siêu thị,0292 3627 373,"Thế Giới Sữa An Bình, 12 Hẻm 132 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",12 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0135045,105.7554304"
48,ChIJi6_Uw4uJoDERwA1B3-b20UA,Tiệm Trà Sữa Tháng Tư,Quán cà phê,0907 154 540,"Tiệm Trà Sữa Tháng Tư, Đ. Số 1/539 Khu dân cư Hậu Thạnh Mỹ, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",Đ. Số 1/539 Khu dân cư Hậu Thạnh Mỹ,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0033972,105.7574077"
