,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJYRb7HyeIoDER2ceyKFc29Ig,Trung Tâm Chăm Sóc Chó Mèo Pet Care,Bệnh viện thú y,0902 389 203,"Trung Tâm Chăm Sóc Chó Mèo Pet Care, 174 Nguyễn Thị Minh Khai, Phuờng, Ninh Kiều, Cần Thơ","Phuờng, Ninh Kiều",174 Nguyễn Thị Minh Khai,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0258486,105.7798498"
13,ChIJyTaV0qtioDERW0qqDYQIDCw,Moon Pet Shop,Cửa hàng vật nuôi,0902 530 200,"Moon Pet Shop, 10 Hùng Vương, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",10 Hùng Vương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.044869199999999,105.77934809999999"
20,ChIJg3zuiHKJoDERX-ECivWOYhM,RUBY PET,Dịch vụ chăm sóc thú nuôi,0907 837 727,"RUBY PET, 22/4 Hùng Vương, An Cư, Ninh Kiều, Cần Thơ 900000","An Cư, Ninh Kiều",22/4 Hùng Vương,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0424174,105.7783431"
34,ChIJ815PofKJoDERNo7Spq3AL1Q,Dịch Vụ Thú Cưng Cần Thơ - RUBY PET ( CN 2 ),Dịch vụ chăm sóc thú nuôi,0907 837 727,"Dịch Vụ Thú Cưng Cần Thơ - RUBY PET ( CN 2 ), 515 Trần Hưng Đạo, P, Cái Răng, Cần Thơ","P, Cái Răng",515 Trần Hưng Đạo,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0002301,105.75314069999999"
49,ChIJEaa45RWJoDEROYImq8JDtQM,MUN PET SHOP CẦN THƠ,Cửa hàng đồ vật nuôi,,"MUN PET SHOP CẦN THƠ, 17 Đ. Phạm Ngũ Lão, Thới Bình, Ninh Kiều, Cần Thơ","Thới Bình, Ninh Kiều",17 Đ. Phạm Ngũ Lão,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.046938899999999,105.7771963"
59,ChIJ5Qe-UJOJoDER4ffnFTPvVw4,Siêu thị thức ăn thú cưng,Dịch vụ chăm sóc thú nuôi,0707 924 999,"Siêu thị thức ăn thú cưng, 59B Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",59B Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0294446,105.78009499999999"
74,ChIJldIX8OyJoDERxYnBE6i4YG0,Nắng Pet House,Dịch vụ chăm sóc thú nuôi,0898 826 263,"Nắng Pet House, Số 272D đường 30/4, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",Số 272D đường 30/4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0203183,105.7681721"
76,ChIJ7a3S4a6JoDERTutoN1lq9T0,PET POY Siêu Thị Thú Cưng,Cửa hàng,0823 999 211,"PET POY Siêu Thị Thú Cưng, 33 Đường số 15, Phường An Khánh, Ninh Kiều, Cần Thơ 90000","Phường An Khánh, Ninh Kiều",33 Đường số 15,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0399957,105.7540815"
90,ChIJF4XGW8NjoDER_Rbz8ds-Emo,Siêu thị thức ăn thú cưng Bảo Kha,Cửa hàng tạp hóa,0707 924 999,"Siêu thị thức ăn thú cưng Bảo Kha, 29 Trần Văn Khéo, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",29 Trần Văn Khéo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0435602,105.78301599999999"
103,ChIJqxXu8q1joDERVejpT8BoDhs,Cắt tỉa lông thú cưng Cần Thơ - SUPET Spa & Grooming,Dịch vụ chăm sóc thú nuôi,0796 885 684,"Cắt tỉa lông thú cưng Cần Thơ - SUPET Spa & Grooming, 176h Nguyễn Thị Minh Khai, An Lạc, Ninh Kiều, Cần Thơ 900000","An Lạc, Ninh Kiều",176h Nguyễn Thị Minh Khai,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.025863,105.77943069999999"
