,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJtXRZBoesNTEReLSlkqKWYZo,Bệnh Viện Thú Y Hà Nội,Bệnh viện thú y,0985 908 709,"Bệnh Viện Thú Y Hà Nội, 74 Đ. Trường Chinh, Phương Đình, Đống Đa, Hà Nội 100000","Phương Đình, Đống Đa",74 Đ. Trường Chinh,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN,"20.9986304,105.83905449999999"
1,ChIJYRb7HyeIoDER2ceyKFc29Ig,Trung Tâm Chăm Sóc Chó Mèo Pet Care,Bệnh viện thú y,0902 389 203,"Trung Tâm Chăm Sóc Chó Mèo Pet Care, 174 Nguyễn Thị Minh Khai, Phuờng, Ninh Kiều, Cần Thơ","Phuờng, Ninh Kiều",174 Nguyễn Thị Minh Khai,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0258486,105.7798498"
13,ChIJvw4CizkvdTERzw0bIz--zQE,Bệnh viện Thú y,Bệnh viện thú y,028 3955 5623,"Bệnh viện Thú y, 128 Trần Quý, Phường 6, Quận 11, Thành phố Hồ Chí Minh","Phường 6, Quận 11",128 Trần Quý,Thành phố Hồ Chí Minh,,"Quận 11, Thành phố Hồ Chí Minh",VN,"10.7593445,106.65518949999999"
15,ChIJDSIeMo-JoDER0UwYVgZ_Lag,Thú Y Cần Thơ PHÚC HIỂN,Bệnh viện thú y,0365 869 621,"Thú Y Cần Thơ PHÚC HIỂN, 11b Đ. Nguyễn Đệ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",11b Đ. Nguyễn Đệ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0507595,105.7693067"
28,ChIJO2KLjJOJoDER131YB1ChmW8,Phòng khám Thú y iVet,Bệnh viện thú y,0966 667 185,"Phòng khám Thú y iVet, 51/47 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ 902070","Xuân Khánh, Ninh Kiều",51/47 Đ. 3 Tháng 2,Cần Thơ,902070.0,"Ninh Kiều, Cần Thơ",VN,"10.025248399999999,105.76700059999999"
43,ChIJL3qJla2JoDERG7QZnnyuxXA,THÚ Y 24H,Bác sĩ thú y,0393 979 980,"THÚ Y 24H, Đường B25, Khu dân cư 91B, Ninh Kiều, Cần Thơ","Khu dân cư 91B, Ninh Kiều",Đường B25,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0219173,105.753845"
58,ChIJ707fgCpjoDERm3fu8OXgCFI,Phòng Khám Thú Y HANVET Cần Thơ- KDC Diệu Hiền Cái Răng,Bác sĩ thú y,0855 519 007,"Phòng Khám Thú Y HANVET Cần Thơ- KDC Diệu Hiền Cái Răng, 05 Phan Trọng Tuệ, Khu Dân Cư Diệu Hiền, Cái Răng, Cần Thơ","Khu Dân Cư Diệu Hiền, Cái Răng",05 Phan Trọng Tuệ,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.0067101,105.7949142"
73,ChIJ1_IiJQWPoDERI7d62-a1f6A,Thú Y NHƯ KHOA,Hiệu thuốc thú y,0944 777 972,"Thú Y NHƯ KHOA, 38 ĐT926, Nhơn ái, Phong Điền, Cần Thơ","Nhơn ái, Phong Điền",38 ĐT926,Cần Thơ,,"Phong Điền, Cần Thơ",VN,"9.9922499,105.66655"
74,ChIJT_PVareJoDER_VuYrhTdo8o,SPA GROOMING - THÚ Y - BC PET,Hiệu thuốc thú y,0968 959 960,"SPA GROOMING - THÚ Y - BC PET, 151/79a Đ. Trần Hoàng Na, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",151/79a Đ. Trần Hoàng Na,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0092125,105.7667937"
88,ChIJfU2UruWJoDERs5arPnfBA7c,Thú Y Cần Mẫn 18/24,Bệnh viện thú y,0909 246 989,"Thú Y Cần Mẫn 18/24, 83, 83/5B Quang Trung, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều","83, 83/5B Quang Trung",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.028215699999999,105.7798912"
89,ChIJP7BBSiCIoDERau17atJA35Q,CÔNG TY TNHH SX-TM THUỐC THÚ Y,Hiệu thuốc thú y,0292 3830 385,"CÔNG TY TNHH SX-TM THUỐC THÚ Y, 53 Đ. Nguyễn Việt Hồng, P, Ninh Kiều, Cần Thơ","P, Ninh Kiều",53 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0312901,105.77942329999999"
