,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJGTlpDn1zCjER0Piagxdbi4o,Viện Thẩm Mỹ Diva - Cần Thơ,Thẩm mỹ viện,1900 2222,"Viện Thẩm Mỹ Diva - Cần Thơ, 111 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 94114","An Phú, Ninh Kiều",111 Đ. Trần Hưng Đạo,Cần Thơ,94114.0,"Ninh Kiều, Cần Thơ",VN
4,ChIJpdv9GNwpdTERpYUQo8r3RfA,Thẩm Mỹ Viện Mailisa,Thẩm mỹ viện,0932 699 299,"Thẩm Mỹ Viện Mailisa, 86-88-90-92 Huỳnh Văn Bánh, Phường 15, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 15, Phú Nhuận",86-88-90-92 Huỳnh Văn Bánh,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN
14,ChIJ6do8IT0vdTERXCEtpaeSgRI,Bệnh viện JW Hàn Quốc,Bệnh viện chuyên khoa,0968 681 111,"Bệnh viện JW Hàn Quốc, 44 - 46 - 48 - 50 Đ. Tôn Thất Tùng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000","Phường Phạm Ngũ Lão, Quận 1",44 - 46 - 48 - 50 Đ. Tôn Thất Tùng,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN
15,ChIJH3_rBt9joDER30XrEntk9Qk,Thẩm Mỹ Viện Mailisa,Thẩm mỹ viện,0932 699 299,"Thẩm Mỹ Viện Mailisa, 67 Phan Đình Phùng, Tân An, Ninh Kiều, Cần Thơ 94112","Tân An, Ninh Kiều",67 Phan Đình Phùng,Cần Thơ,94112.0,"Ninh Kiều, Cần Thơ",VN
21,ChIJyXn27acvdTERH62MZeP0nUg,Thẩm Mỹ Viện Seoul Center,Thẩm mỹ viện,1800 3333,"Thẩm Mỹ Viện Seoul Center, 61A Đ. Kinh Dương Vương, Phường 12, Quận 6, Thành phố Hồ Chí Minh 700000","Phường 12, Quận 6",61A Đ. Kinh Dương Vương,Thành phố Hồ Chí Minh,700000.0,"Quận 6, Thành phố Hồ Chí Minh",VN
22,ChIJO3xWEqhioDERweMNgwdgQIY,Thẩm Mỹ Viện Seoul Center,Thẩm mỹ viện,1800 3333,"Thẩm Mỹ Viện Seoul Center, 329 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",329 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
32,ChIJ8UKL6vMpdTERG8nh3bhA3vI,Cty CP Bệnh Viện Thẩm Mỹ Quốc Tế Seoul Center - Quận 10,Thẩm mỹ viện,1800 3333,"Cty CP Bệnh Viện Thẩm Mỹ Quốc Tế Seoul Center - Quận 10, 375 Đ. Nguyễn Thượng Hiền, Phường 11, Quận 10, Thành phố Hồ Chí Minh 700000","Phường 11, Quận 10",375 Đ. Nguyễn Thượng Hiền,Thành phố Hồ Chí Minh,700000.0,"Quận 10, Thành phố Hồ Chí Minh",VN
38,ChIJKW1BruKJoDER_os9Fp00ZyQ,Thẩm mỹ Viện Ngọc Dung,Thẩm mỹ viện,1800 6377,"Thẩm mỹ Viện Ngọc Dung, 234B Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",234B Đ. Trần Hưng Đạo,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
48,ChIJoQ98rh6IoDERFDa-90Uz7AY,Thẩm Mỹ Viện Ngọc Hường - Cần Thơ,Thẩm mỹ viện,1900 7067,"Thẩm Mỹ Viện Ngọc Hường - Cần Thơ, 196 Đ. Lý Tự Trọng, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều",196 Đ. Lý Tự Trọng,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
54,ChIJb0yw7iYvdTER3hKAPq6jzMI,Thẩm mỹ Thu Cúc Sài Gòn - Cơ sở 1,Thẩm mỹ viện,0964 080 999,"Thẩm mỹ Thu Cúc Sài Gòn - Cơ sở 1, 218 Điện Biên Phủ, Quận 3, TP Hồ Chí Minh, Hồ Chí Minh, Thành phố Hồ Chí Minh","Võ Thị Sáu, Hồ Chí Minh","218 Điện Biên Phủ, Quận 3, TP Hồ Chí Minh",Thành phố Hồ Chí Minh,,"Hồ Chí Minh, Thành phố Hồ Chí Minh",VN
