,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJFRZEDSKIoDERVhDmucVmMvY,Thời trang trẻ TG,Cửa hàng quần áo,0932 942 030,"Thời trang trẻ TG, 58 Đường số 3, KDC Metro, Ninh Kiều, Cần Thơ 900000","KDC Metro, Ninh Kiều",58 Đường số 3,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
15,ChIJc4I6s_WJoDERN69H6Kg18po,Shop Thời Trang Nam Owen,Cửa hàng quần áo nam,0292 2468 822,"Shop Thời Trang Nam Owen, 118 Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",118 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
17,ChIJmXQEXiGIoDERfGy4XYqdvqc,Thời Trang Trẻ Em Subeo,Cửa hàng quần áo,0907 443 370,"Thời Trang Trẻ Em Subeo, 74A, Đ. Mậu Thân/142 Đ. Nguyễn Việt Hồng, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều","74A, Đ. Mậu Thân/142 Đ. Nguyễn Việt Hồng",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
18,ChIJ-Zi2XyGIoDERwEjFXM5z-jg,Thời Trang Công Sở Anh Đức,Cửa hàng quần áo,0918 414 037,"Thời Trang Công Sở Anh Đức, 27 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",27 Đ. Mậu Thân,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
30,ChIJqzp2YiGIoDERR-F-LBhWmQI,Shop AT ( Thời Trang Nam),Cửa hàng quần áo,0934 261 612,"Shop AT ( Thời Trang Nam), 49 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",49 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
37,ChIJj_MmTdyJoDERqXzJzx7xtos,Thời trang nam nử giá sỉ khánh vân shop,Cửa hàng quần áo,0939 288 510,"Thời trang nam nử giá sỉ khánh vân shop, Đường 26, nền 09, Ninh Kiều, Cần Thơ","nền 09, Ninh Kiều",Đường 26,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
47,ChIJQ1HnIjCIoDERqeeoYH9xKGY,DUONGSTORE.COM - Shop thời trang hàng hiệu siêu cấp Like au CS Cần Thơ,Cửa hàng,0981 261 989,"DUONGSTORE.COM - Shop thời trang hàng hiệu siêu cấp Like au CS Cần Thơ, 3 Hẻm 70, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",3 Hẻm 70,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
48,ChIJNxtmn4eJoDERrLPAcVXy5x4,Shop quần áo Thư Các,Cửa hàng quần áo,0907 677 605,"Shop quần áo Thư Các, 10 Đ. Lý Chính Thắng, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",10 Đ. Lý Chính Thắng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
49,ChIJEehJpeaJoDERec7rnawSVq8,Anh Đức Fashion Thời Trang Nam Nữ,Cửa hàng quần áo,0915 610 828,"Anh Đức Fashion Thời Trang Nam Nữ, 79 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",79 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
51,ChIJNS0LQxWJoDERYMUiS26GV6w,Thỏ Baby Shop - Thời trang trẻ em,Cửa hàng quần áo,0886 939 409,"Thỏ Baby Shop - Thời trang trẻ em, 38b Đ. Phạm Thế Hiển, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều",38b Đ. Phạm Thế Hiển,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
52,ChIJS1_44SCIoDERaoYg9OTsruc,Thời Trang Sifa,Cửa hàng quần áo,0292 8404 431,"Thời Trang Sifa, 116 Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ","An Lạc, Ninh Kiều",116 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
55,ChIJjZ0WKjqJoDERL4Oq4IPl4aA,DUYÊN DÁNG THỜI TRANG | ĐỒ BỘ TRUNG NIÊN QUẬN NINH KIỀU,Cửa hàng quần áo,0796 838 279,"DUYÊN DÁNG THỜI TRANG | ĐỒ BỘ TRUNG NIÊN QUẬN NINH KIỀU, 77/37 Đ. Phạm Ngũ Lão, Thới Bình, Ninh Kiều, Cần Thơ 94000","Thới Bình, Ninh Kiều",77/37 Đ. Phạm Ngũ Lão,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
58,ChIJXbOQCnaJoDERpLqkDRptHtY,Lullaby - Cho thuê đầm thiết kế Cần Thơ,Cửa hàng quần áo,0783 742 752,"Lullaby - Cho thuê đầm thiết kế Cần Thơ, 288 Hẻm 139 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",288 Hẻm 139 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
65,ChIJHaT0sSaIoDERQo5JSFuuRWA,Shop Minh Trang Thời Trang Nữ,Cửa hàng quần áo,0944 361 696,"Shop Minh Trang Thời Trang Nữ, Ba Mươi Tháng Tư, Lô 47-48 Lầu Chợ Xuân Khánh đường, Cần Thơ 900000","Xuân Khánh, Ninh Kiều","Ba Mươi Tháng Tư, Lô 47-48 Lầu Chợ Xuân Khánh đường",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN
67,ChIJ5dBAPaBioDERaPw149NwQNE,Shop Thời Trang Jenny,Cửa hàng quần áo,0918 319 303,"Shop Thời Trang Jenny, 10 Đ. Đề Thám, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",10 Đ. Đề Thám,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
69,ChIJDQkQ5viJoDERSUbwfOQrsQs,Shop thời trang Lê Thuy,Cửa hàng quần áo,0326 277 989,"Shop thời trang Lê Thuy, C94A Đ. Trần Khánh Dư, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",C94A Đ. Trần Khánh Dư,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
70,ChIJx5Mw0nJjoDERwyte_Q54WX0,Shop Thời Trang Nam Owen,Cửa hàng quần áo nam,0292 3819 486,"Shop Thời Trang Nam Owen, 23 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",23 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
73,ChIJNfxeK3-JoDERI2j-mW21LhM,Thời Trang Shi Like To Shop,Cửa hàng quần áo,,"Thời Trang Shi Like To Shop, 148 Đ. Nguyễn Việt Hồng, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",148 Đ. Nguyễn Việt Hồng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
75,ChIJO0qAFdKJoDERoZeH2UNMU-8,Đỏ Luxury - Thời trang hàng nhập cao cấp,Cửa hàng quần áo nữ,0909 039 789,"Đỏ Luxury - Thời trang hàng nhập cao cấp, 203 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",203 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
79,ChIJl2ICkgeJoDER6KlniZji7rM,Trang Trang Shop,Cửa hàng quần áo,0762 896 019,"Trang Trang Shop, khu cán bộ giảng viên, 179 Đường số 3, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều","khu cán bộ giảng viên, 179 Đường số 3",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
80,ChIJ9Q6iH0WJoDERajn4a89kiHI,379 store,Cửa hàng quần áo,0707 379 379,"379 store, 119 Đ. Mậu Thân, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều",119 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
81,ChIJUXd3Oj9DoDERyKM5qi2iyXQ,Shop quần áo Thiệu Trang,Cửa hàng quần áo,0397 941 038,"RX2J+7FP Shop quần áo Thiệu Trang, Thới An Hội, Kế Sách, Sóc Trăng","Thới An Hội, Kế Sách",RX2J+7FP,Sóc Trăng,,"Kế Sách, Sóc Trăng",VN
