,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJEe1wKhYvdTERgd8TzdsMc_A,Tadashi Tattoo,Cửa hàng xăm hình,0917 775 885,"Tadashi Tattoo, 96/6 Đ. Lê Thị Riêng, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh 700000","Phường Phạm Ngũ Lão, Quận 1",96/6 Đ. Lê Thị Riêng,Thành phố Hồ Chí Minh,700000.0,"Quận 1, Thành phố Hồ Chí Minh",VN
15,ChIJ5X8QAxMvdTERcURiKu1Bs9E,Tiệm xăm Bánh Donut 🍩,Cửa hàng xăm mình và xỏ lỗ,0975 065 013,"Tiệm xăm Bánh Donut 🍩, 12C Đ. Nguyễn Thị Minh Khai, Đa Kao, Quận 1, Thành phố Hồ Chí Minh","Đa Kao, Quận 1",12C Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
28,ChIJm9pS3_8vdTERJKTB63Tw4zo,Tattoonista,Cửa hàng xăm hình,0908 359 725,"Tattoonista, 331A Đ. Trần Hưng Đạo, Phường Cô Giang, Quận 1, Thành phố Hồ Chí Minh","Phường Cô Giang, Quận 1",331A Đ. Trần Hưng Đạo,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
29,ChIJZ3KfslIvdTERKsNfD2KSpdE,TROY B TAT Saigon Tattoo,Cửa hàng xăm hình,0898 871 881,"TROY B TAT Saigon Tattoo, 200 Đ. 3 Tháng 2, Phường 12, Quận 10, Thành phố Hồ Chí Minh","Phường 12, Quận 10",200 Đ. 3 Tháng 2,Thành phố Hồ Chí Minh,,"Quận 10, Thành phố Hồ Chí Minh",VN
31,ChIJ21k5ay4pdTERfSwWBqyhLq0,Recycle Tattoo,Cửa hàng xăm mình và xỏ lỗ,0907 470 779,"Recycle Tattoo, 176 Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 12, Phú Nhuận",176 Huỳnh Văn Bánh,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN
36,ChIJ6cfGIcUpdTERzbIDXi7iWwo,SAIGON TATTOO CLUB,Cửa hàng xăm mình và xỏ lỗ,0939 083 683,"SAIGON TATTOO CLUB, 5/6 Trần Cao Vân, Phường 12, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 12, Phú Nhuận",5/6 Trần Cao Vân,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN
50,ChIJQ170GI9joDERt5u7etL3BS4,Vũ tattoo cần thơ,Cửa hàng xăm hình,0978 424 535,"Vũ tattoo cần thơ, 56 Đ. Ung Văn Khiêm, An Hội, Ninh Kiều, Cần Thơ 94100","An Hội, Ninh Kiều",56 Đ. Ung Văn Khiêm,Cần Thơ,94100.0,"Ninh Kiều, Cần Thơ",VN
65,ChIJOxCh7mQpdTER0zToCTrgEbs,Kem Che Hình Xăm - Tattoo Long Tâm - Xăm Hình Nghệ Thuật,Cửa hàng xăm hình,0903 333 900,"Kem Che Hình Xăm - Tattoo Long Tâm - Xăm Hình Nghệ Thuật, 221/1 Phan Huy Ích, Phường 14, Gò Vấp, Thành phố Hồ Chí Minh 700000","Phường 14, Gò Vấp",221/1 Phan Huy Ích,Thành phố Hồ Chí Minh,700000.0,"Gò Vấp, Thành phố Hồ Chí Minh",VN
79,ChIJ-4q-Lf4odTERQiRd5H9YwMI,Tattoo Gà Gò Vấp,Cửa hàng xăm mình và xỏ lỗ,0933 227 767,"Tattoo Gà Gò Vấp, 106 Quang Trung, Phường 10, Gò Vấp, Thành phố Hồ Chí Minh 700000","Phường 10, Gò Vấp",106 Quang Trung,Thành phố Hồ Chí Minh,700000.0,"Gò Vấp, Thành phố Hồ Chí Minh",VN
94,ChIJlZVP5MwvdTERplbV0638ZSc,Alchemist Tattoo,Cửa hàng xăm mình và xỏ lỗ,0908 518 977,"Alchemist Tattoo, 158D Pasteur, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bến Nghé, Quận 1",158D Pasteur,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
