,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJN_EZ-g-JoDERFg-mtfeu8GQ,Trà Thái Nguyên - Hải Trà Tân Cương,Cửa hàng trà,0918 224 431,"Trà Thái Nguyên - Hải Trà Tân Cương, 388D27A, Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ 900000","Phường An Khánh, Ninh Kiều","388D27A, Nguyễn Văn Cừ Nối Dài",Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.035541799999999,105.76320039999999"
2,ChIJTSKHq2WJoDERVJ67T_ROlaY,Trà Anh - Quang Trung,Trà trân châu,0898 818 065,"Trà Anh - Quang Trung, 65 Quang Trung, An Lạc, Ninh Kiều, Cần Thơ 900000","An Lạc, Ninh Kiều",65 Quang Trung,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0276063,105.7801085"
4,ChIJNSW0Si2HoDERF2tKWmPmqO4,Hồng Trà Ngô Gia CMT8 An Thới - H188,Trà trân châu,,"Hồng Trà Ngô Gia CMT8 An Thới - H188, 23c Đ. Cách Mạng Tháng 8, An Thới, Bình Thủy, Cần Thơ 900000","An Thới, Bình Thủy",23c Đ. Cách Mạng Tháng 8,Cần Thơ,900000.0,"Bình Thủy, Cần Thơ",VN,"10.0605006,105.76477849999999"
5,ChIJeYxOnVeJoDEROGEWvCkb0rI,Trà Sữa Cha Tee,Quán cà phê,0823 658 456,"Trà Sữa Cha Tee, 88 Huỳnh Cương, An Cư, Ninh Kiều, Cần Thơ","An Cư, Ninh Kiều",88 Huỳnh Cương,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0379125,105.7787031"
6,ChIJ13QV57KJoDERv6WbLg_iMGg,Trà Hẻm,Cửa hàng trà,0376 220 839,"Trà Hẻm, 108/55A, Đ. 30 Tháng 4, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều","108/55A, Đ. 30 Tháng 4",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0302045,105.77856779999999"
7,ChIJh82lDSmHoDER9t-Vk8Oai1Q,TRÀ ANH - Trần Quang Diệu,Trà trân châu,0898 828 158,"TRÀ ANH - Trần Quang Diệu, 158 Trần Quang Diệu, An Thới, Bình Thủy, Cần Thơ 94254","An Thới, Bình Thủy",158 Trần Quang Diệu,Cần Thơ,94254.0,"Bình Thủy, Cần Thơ",VN,"10.0585241,105.76199869999999"
8,ChIJ1eB5WFpjoDERpeed2lxPR-k,Trà Anh - Ngô Văn Sở,Trà trân châu,0846 712 252,"Trà Anh - Ngô Văn Sở, 41 Đ. Ngô Văn Sở, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",41 Đ. Ngô Văn Sở,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.033911699999999,105.7853919"
10,ChIJk9y0EDqJoDERs8LbSTSS1y8,"Dừa Tắc, Trà Thảo Mộc - TIỆM TRÁI DỪA",Quán cà phê,0772 161 549,"Dừa Tắc, Trà Thảo Mộc - TIỆM TRÁI DỪA, 18 Đ. Nguyễn Văn Cừ, Phường An Khánh, Ninh Kiều, Cần Thơ","Phường An Khánh, Ninh Kiều",18 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.027225,105.74829629999999"
11,ChIJY1VZ37-JoDERNI5PVey8lxg,Trà sữa IKIGAI,Quán cà phê,0764 817 860,"Trà sữa IKIGAI, 107 Đ. Nguyễn Văn Cừ, An Hoà, Ninh Kiều, Cần Thơ","An Hoà, Ninh Kiều",107 Đ. Nguyễn Văn Cừ,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0496787,105.77168879999999"
12,ChIJ3T9gZMGJoDERA6f0cSLphSs,Trà sữa Cô Vy 2,Cửa hàng trà,0972 739 799,"Trà sữa Cô Vy 2, 33 Tran Hoang Na, Hung Loi ward Can Tho Can Tho City, 94116","Hưng Lợi, Ninh Kiều","33 Tran Hoang Na, Hung Loi ward Can Tho Can Tho City",Cần Thơ,94116.0,"Ninh Kiều, Cần Thơ",VN,"10.012226199999999,105.7640126"
