,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJCfHdwHmJoDERV3YCGfAaMYk,TÀIBARBER ( Hớt tóc nam ),Hiệu làm tóc,+84 899 079 604,"TÀIBARBER ( Hớt tóc nam ), 91B Đ. Phạm Ngũ Lão, Thới Bình, Ninh Kiều, Cần Thơ 94106, Việt Nam","Thới Bình, Ninh Kiều",91B Đ. Phạm Ngũ Lão,Cần Thơ,94106.0,"Ninh Kiều, Cần Thơ",VN
9,ChIJ7YPMJOpjoDERzYmUmkDaobU,Tóc Nam Quán Cần Thơ,Hiệu làm tóc,+84 937 097 263,"Tóc Nam Quán Cần Thơ, 80 Đ.Xô Viết Nghệ Tĩnh, P, Ninh Kiều, Cần Thơ 70000, Việt Nam","P, Ninh Kiều",80 Đ.Xô Viết Nghệ Tĩnh,Cần Thơ,70000.0,"Ninh Kiều, Cần Thơ",VN
24,ChIJI926NxKIoDERfGeXQW7ed4Y,Tiệm Tóc Lê Vững Barber Shop,Tiệm cắt tóc,+84 932 464 388,"Tiệm Tóc Lê Vững Barber Shop, 12/20 Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",12/20 Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
26,ChIJ87ZfVDqIoDERAdhI_JGIaAk,Cắt Tóc DuyAnh,Tiệm cắt tóc,+84 907 380 951,"Cắt Tóc DuyAnh, 49A Hẻm 51, Xuân Khánh, Ninh Kiều, Cần Thơ 94000, Việt Nam","Xuân Khánh, Ninh Kiều",49A Hẻm 51,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN
41,ChIJOa5oAjuIoDERmHb1YUOmtTw,Salon VŨ IRAN 3,Hiệu làm tóc,+84 933 466 911,"Salon VŨ IRAN 3, 45 Đ. 3 Tháng 2, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều",45 Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
43,ChIJ7U4mqQaJoDER0YNZKC-geIQ,Tóc Nam Đẹp Phong BvB Cần Thơ,Tiệm cắt tóc,+84 812 941 555,"Tóc Nam Đẹp Phong BvB Cần Thơ, 398e Nguyễn Văn Cừ Nối Dài, Phường An Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Phường An Khánh, Ninh Kiều",398e Nguyễn Văn Cừ Nối Dài,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
44,ChIJR9GCMsKHoDERmkKQOgUj_Sk,Salon biti can thơ,Tiệm cắt tóc,,"Salon biti can thơ, 496A Đ. Cách Mạng Tháng 8, Bùi Hữu Nghĩa, Bình Thủy, Cần Thơ, Việt Nam","Bùi Hữu Nghĩa, Bình Thủy",496A Đ. Cách Mạng Tháng 8,Cần Thơ,,"Bình Thủy, Cần Thơ",VN
45,ChIJ25LHCIaJoDERnkyaI6i6xf4,Cắt Tóc Nam D.A.T Barbers III,Tiệm cắt tóc,+84 907 711 742,"Cắt Tóc Nam D.A.T Barbers III, 91a3 Đường 3-2, An Bình, Ninh Kiều, Cần Thơ, Việt Nam","An Bình, Ninh Kiều",91a3 Đường 3-2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
53,ChIJDW8a_C-IoDERhtGhAvM9kjA,Hớt Tóc Son,Hiệu làm tóc,+84 909 995 848,"Hớt Tóc Son, 320/4 Trần Ngọc Quế Xuân Khánh Ninh Kiều Can Tho City, 70010, Việt Nam","Xuân Khánh, Ninh Kiều",320/4 Trần Ngọc Quế Xuân Khánh Ninh Kiều Can Tho City,Cần Thơ,70010.0,"Ninh Kiều, Cần Thơ",VN
65,ChIJO7fCwR6IoDERJVUZ4zVK_9I,Hair Salon Thảo Tây,Hiệu làm tóc,+84 966 666 337,"Hair Salon Thảo Tây, 130 Đ. Lý Tự Trọng, An Cư, Ninh Kiều, Cần Thơ 700000, Việt Nam","An Cư, Ninh Kiều",130 Đ. Lý Tự Trọng,Cần Thơ,700000.0,"Ninh Kiều, Cần Thơ",VN
66,ChIJR9V1CI-JoDER1qudRmTL4Yg,NỐI TÓC TOÀN TÂY,Hiệu làm tóc,+84 987 912 600,"NỐI TÓC TOÀN TÂY, 17 Đ. Cách Mạng Tháng 8, Thới Bình, Ninh Kiều, Cần Thơ, Việt Nam","Thới Bình, Ninh Kiều",17 Đ. Cách Mạng Tháng 8,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
