,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJAY_5_qdioDERjNlipdVq6r8,Hong Duc Head Honda,Cửa hàng xe máy,1800 545434,"Hong Duc Head Honda, 10-10E Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",10-10E Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.043393499999999,105.7822803"
15,ChIJoR3Q-xCIoDERniBwK8Aic3o,Hồng Phúc Yamaha 5 - Mậu Thân,Cửa hàng xe máy,0939 657 919,"Hồng Phúc Yamaha 5 - Mậu Thân, 39A Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ 900000","An Nghiệp, Ninh Kiều",39A Đ. Mậu Thân,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0410167,105.7671203"
17,ChIJ3U_axUqIoDERNApC7iWjlPA,HEAD Hoá 1 Cần Thơ-ĐL Honda Ủy Nhiệm,Đại lý xe Honda,0292 3832 979,"HEAD Hoá 1 Cần Thơ-ĐL Honda Ủy Nhiệm, 29A Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",29A Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0128352,105.75658349999999"
18,ChIJ8auZwjWIoDERCc9X7oc8bDk,Thiên Phúc Suzuki,Đại lý xe Suzuki,0292 3731 919,"Thiên Phúc Suzuki, 94-96-98 Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ 90000","Hưng Lợi, Ninh Kiều",94-96-98 Đ. 3 Tháng 2,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0165708,105.7602979"
20,ChIJXfwMISGIoDER37mFuz7Vz6I,Phụ tùng & dịch vụ xe máy Hoàng Sơn 2,Cửa hàng phụ tùng xe máy,0903 017 444,"Phụ tùng & dịch vụ xe máy Hoàng Sơn 2, 101B Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ 94000","Xuân Khánh, Ninh Kiều",101B Đ. 30 Tháng 4,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0284555,105.77891369999999"
35,ChIJ1wT3qgOIoDERCTdKWRUzplk,Thiên Phúc SYM,Đại lý xe gắn máy,0292 3768 419,"Thiên Phúc SYM, 19 Đ. Cách Mạng Tháng 8, An Hội, Ninh Kiều, Cần Thơ 90000","An Hội, Ninh Kiều",19 Đ. Cách Mạng Tháng 8,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0463729,105.77887609999999"
36,ChIJNyn-qRCIoDERb7uZ7Sqr1QU,YAMAHA CẦN THƠ THIÊN PHÚC 1,Đại lý xe gắn máy,0292 3730 919,"YAMAHA CẦN THƠ THIÊN PHÚC 1, 72 Đ. Trần Hưng Đạo, An Phú, Ninh Kiều, Cần Thơ 900000","An Phú, Ninh Kiều",72 Đ. Trần Hưng Đạo,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.038415299999999,105.776479"
38,ChIJRZiZD-KJoDERFXRC6TwDfvc,Hồng Đức Mậu Thân,Đại lý xe Honda,0292 3739 178,"Hồng Đức Mậu Thân, 41 Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều",41 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0420856,105.766229"
40,ChIJgV46dJ9ioDERnpzaZMG8U9A,Cửa hàng Honda Á Châu,Đại lý xe Honda,0292 3820 819,"Cửa hàng Honda Á Châu, 96-98 Đường Nguyễn An Ninh, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều",96-98 Đường Nguyễn An Ninh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0313953,105.7852094"
41,ChIJqZHBlGCJoDERtBkyHS974cA,HỒNG ĐỨC 1,Cửa hàng xe máy,0292 3811 178,"HỒNG ĐỨC 1, 88-90-90A Hùng Vương, An Cư, Ninh Kiều, Cần Thơ 94000","An Cư, Ninh Kiều",88-90-90A Hùng Vương,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.042684699999999,105.7780208"
44,ChIJ9VamcM9joDEREXRv2g2n81I,Cửa hàng xe nhập khẩu Hồng Phúc,Đại lý xe gắn máy,0292 3822 919,"Cửa hàng xe nhập khẩu Hồng Phúc, 71 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 90000","An Hội, Ninh Kiều",71 Nguyễn Trãi,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0405359,105.785043"
49,ChIJcQ36j4eJoDERZrvKP4MoF34,HK Team - Cần Thơ,Cửa hàng xe máy,0939 080 609,"HK Team - Cần Thơ, 40 Ngô Sĩ Liên, Khu Dân Cư Metro Cũ, Ninh Kiều, Cần Thơ 94116","Khu Dân Cư Metro Cũ, Ninh Kiều",40 Ngô Sĩ Liên,Cần Thơ,94116.0,"Ninh Kiều, Cần Thơ",VN,"10.0215224,105.7609701"
51,ChIJXR53QjiIoDER18s41Gs7Fe8,MUA BÁN XE MÁY TẠI CẦN THƠ - MUA BÁN XE MÁY QUANG SANG,Cửa hàng xe máy,0902 222 653,"MUA BÁN XE MÁY TẠI CẦN THƠ - MUA BÁN XE MÁY QUANG SANG, 148 QL1A, Lê Bình, Cái Răng, Cần Thơ","Lê Bình, Cái Răng",148 QL1A,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"10.003605499999999,105.75039729999999"
66,ChIJy4DKxCGJoDER9ff7PpNQKEs,Moto shop CT,Cửa hàng phụ tùng xe máy,0833 924 866,"Moto shop CT, 170A Đ. Trần Vĩnh Kiết, An Bình, Ninh Kiều, Cần Thơ 94000","An Bình, Ninh Kiều",170A Đ. Trần Vĩnh Kiết,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.015508299999999,105.75046259999999"
68,ChIJfRgpIjaJoDERAZLTx1vo7W8,TRUNG TÂM XE MÁY DUY TIẾN CẦN THƠ,Trung tâm mua sắm,0989 256 811,"TRUNG TÂM XE MÁY DUY TIẾN CẦN THƠ, 484A Đ. Phạm Hùng, Thường Thạnh, Cái Răng, Cần Thơ 02923","Thường Thạnh, Cái Răng",484A Đ. Phạm Hùng,Cần Thơ,2923.0,"Cái Răng, Cần Thơ",VN,"9.9907072,105.7485042"
83,ChIJv-p3c8eJoDEREYpNSYYvyMw,Trung Tâm Xe Máy Thành Tâm,Đại lý xe mô tô,,"Trung Tâm Xe Máy Thành Tâm, 12 Kv Thạnh Huề, Thường Thạnh, Cái Răng, Cần Thơ","Thường Thạnh, Cái Răng",12 Kv Thạnh Huề,Cần Thơ,,"Cái Răng, Cần Thơ",VN,"9.9971921,105.75541679999999"
98,ChIJvwwd8suJoDERz_VLCGN4Im0,Chống Trộm Xe Máy Cần Thơ,Cửa hàng xe máy,0367 009 525,"Chống Trộm Xe Máy Cần Thơ, 15C Đ. Nguyễn Văn Linh, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",15C Đ. Nguyễn Văn Linh,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.022791,105.7625216"
100,ChIJceMZ6A9joDERf-eSLlh0RSI,HỒNG ĐỨC 6,Cửa hàng xe máy,0292 3818 178,"HỒNG ĐỨC 6, 10 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ","An Hội, Ninh Kiều",10 Nguyễn Trãi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.043393499999999,105.7822803"
116,ChIJ0XemCg-IoDER1rztED8uUoU,BIN AUDI - LED & FI WORKSHOP,Cửa hàng phụ tùng xe máy,0899 663 200,"BIN AUDI - LED & FI WORKSHOP, 4 Đinh Công Tráng, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",4 Đinh Công Tráng,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0342596,105.7723807"
