,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code,coordinates
0,ChIJJeaXxf6JoDER4-1cQ49XMHk,CellphoneS Cần Thơ,Cửa hàng máy tính,028 7100 9272,"CellphoneS Cần Thơ, 272 Đ. 30 Tháng 4, Hưng Lợi, Ninh Kiều, Cần Thơ 900000","Hưng Lợi, Ninh Kiều",272 Đ. 30 Tháng 4,Cần Thơ,900000.0,"Ninh Kiều, Cần Thơ",VN,"10.0200224,105.76805619999999"
1,ChIJyShuuTCIoDERJ0vRVxlMw3U,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 217 Hẻm 132 Đ. 3 Tháng 2, P, Ninh Kiều, Cần Thơ 94000","P, Ninh Kiều",217 Hẻm 132 Đ. 3 Tháng 2,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0215374,105.7653174"
15,ChIJb3RfZzqIoDER4PV_KrSl5Hc,Di Động Rẻ by Di Động Thông Minh,Cửa hàng điện thoại di động,0911 108 855,"Di Động Rẻ by Di Động Thông Minh, 184A Đ. 3 Tháng 2, Hưng Lợi, Ninh Kiều, Cần Thơ","Hưng Lợi, Ninh Kiều",184A Đ. 3 Tháng 2,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0231358,105.76648089999999"
30,ChIJ30ZkSzCIoDERIqc0-CaeQd8,Siêu Thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu Thị Thế Giới Di Động, 84-86A Đ. 30 Tháng 4, An Lạc, Ninh Kiều, Cần Thơ 920000","An Lạc, Ninh Kiều",84-86A Đ. 30 Tháng 4,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN,"10.0297656,105.7797842"
41,ChIJl6LSChOIoDERSRE1820HPNM,Ép kính điện thoại Nguyễn An Cần Thơ,Cửa hàng điện thoại di động,0888 797 334,"Ép kính điện thoại Nguyễn An Cần Thơ, 48 Đ. Mậu Thân, An Nghiệp, Ninh Kiều, Cần Thơ","An Nghiệp, Ninh Kiều",48 Đ. Mậu Thân,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.040854399999999,105.7678384"
44,ChIJOznVciCIoDERmu213UzZpks,Trung tâm Mua sắm Nguyễn Kim,Cửa hàng bán đồ điện tử,,"Trung tâm Mua sắm Nguyễn Kim, 2 Đ. 30 Tháng 4, An Phú, Ninh Kiều, Cần Thơ","An Phú, Ninh Kiều",2 Đ. 30 Tháng 4,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN,"10.0315345,105.78137079999999"
45,ChIJvSnTPSZjoDEROjZ3gp-p80I,duongphi.com - Cần Thơ,Cửa hàng điện thoại di động,1900 3121,"duongphi.com - Cần Thơ, 76 Nguyễn Trãi, An Hội, Ninh Kiều, Cần Thơ 94000","An Hội, Ninh Kiều",76 Nguyễn Trãi,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.0410278,105.7847386"
46,ChIJoWjOraFioDERMFNgcvEgUdo,Siêu thị Điện máy XANH,Cửa hàng bán đồ điện tử,1900 232461,"Siêu thị Điện máy XANH, Số 08 Hòa Bình, P, Ninh Kiều, 94000","P, Ninh Kiều",Số 08 Hòa Bình,Cần Thơ,94000.0,"Ninh Kiều, Cần Thơ",VN,"10.034792,105.78534839999999"
48,ChIJSYbJvwOIoDER4BWs2D8l9bw,Siêu thị Thế Giới Di Động,Cửa hàng điện thoại di động,1900 232460,"Siêu thị Thế Giới Di Động, 35B Đ. Cách Mạng Tháng 8, Thới Bình, Ninh Kiều, Cần Thơ 920000","Thới Bình, Ninh Kiều",35B Đ. Cách Mạng Tháng 8,Cần Thơ,920000.0,"Ninh Kiều, Cần Thơ",VN,"10.0476104,105.777507"
49,ChIJV5IfL6lioDERqRBqd3ttzgI,Siêu Thị Điện Máy Nội Thất Chợ Lớn,Cửa hàng bán đồ điện tử,028 3856 3388,"Siêu Thị Điện Máy Nội Thất Chợ Lớn, 112 Trần Phú, Cái Khế, Ninh Kiều, Cần Thơ 90000","Cái Khế, Ninh Kiều",112 Trần Phú,Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN,"10.0474979,105.7830188"
