,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJ_yOW_TMvdTERHnUzesy5uFM,Bida Bảo Bình - Bảo Bình Billiards Club,Câu lạc bộ bi da lỗ,+84 902 340 029,"Bida Bảo Bình - Bảo Bình Billiards Club, 35 Phạm Ngọc Thạch, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Việt Nam","Phường 6, Quận 3",35 Phạm Ngọc Thạch,Thành phố Hồ Chí Minh,700000.0,"Quận 3, Thành phố Hồ Chí Minh",VN
16,ChIJ14Yc09kodTERmON9NMnNiM0,Câu Lạc Bộ Bida LYP - Nguyễn Kiệm Phú Nhuận,Câu lạc bộ bi da lỗ,+84 823 453 030,"Câu Lạc Bộ Bida LYP - Nguyễn Kiệm Phú Nhuận, 436 Nguyễn Kiệm, Phường 3, Phú Nhuận, Thành phố Hồ Chí Minh 700000, Việt Nam","Phường 3, Phú Nhuận",436 Nguyễn Kiệm,Thành phố Hồ Chí Minh,700000.0,"Phú Nhuận, Thành phố Hồ Chí Minh",VN
32,ChIJfcun0MAodTERtPRegRtWVOg,CLB Bida TOP,Câu lạc bộ thể thao,+84 834 707 777,"CLB Bida TOP, 4A Đ. Phan Văn Trị, Phường 14, Bình Thạnh, Thành phố Hồ Chí Minh 700000, Việt Nam","Phường 14, Bình Thạnh",4A Đ. Phan Văn Trị,Thành phố Hồ Chí Minh,700000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN
48,ChIJx4JUjk4pdTERnjhlj5Mmvd4,Bida LYP - Âu Cơ Tân Bình,Câu lạc bộ bi da lỗ,+84 839 393 030,"Bida LYP - Âu Cơ Tân Bình, 622 Âu Cơ, Phường 10, Tân Bình, Thành phố Hồ Chí Minh 700000, Việt Nam","Phường 10, Tân Bình",622 Âu Cơ,Thành phố Hồ Chí Minh,700000.0,"Tân Bình, Thành phố Hồ Chí Minh",VN
64,ChIJzbY9wOkpdTERr-mDCj1KbzY,Hỏa Billiards Club - CLB Bida Hỏa,Câu lạc bộ bi da lỗ,+84 937 272 194,"Hỏa Billiards Club - CLB Bida Hỏa, 46 Đ. Nguyễn Cửu Vân, Phường 17, Bình Thạnh, Thành phố Hồ Chí Minh 760000, Việt Nam","Phường 17, Bình Thạnh",46 Đ. Nguyễn Cửu Vân,Thành phố Hồ Chí Minh,760000.0,"Bình Thạnh, Thành phố Hồ Chí Minh",VN
80,ChIJz25NujqIoDERa0LwOQxX_So,BILLARD MAXX,Câu lạc bộ bi da lỗ,+84 292 6516 777,"BILLARD MAXX, 31 P. Q., 320/27 Đ. Trần Ngọc Quế, Xuân Khánh, Ninh Kiều, Cần Thơ, Việt Nam","Xuân Khánh, Ninh Kiều","31 P. Q., 320/27 Đ. Trần Ngọc Quế",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
96,ChIJY1Tp038vdTERbhCeW8oeq_8,Bida Linh Cát,Câu lạc bộ giải trí tư nhân,+84 918 803 333,"Bida Linh Cát, 385E Đ. Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","Phường Nguyễn Cư Trinh, Quận 1",385E Đ. Nguyễn Trãi,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
112,ChIJC5ds-TQpdTERtBfZYdMQEV8,CLB Bida Phúc An Khang,Câu lạc bộ bi da lỗ,+84 919 194 554,"CLB Bida Phúc An Khang, 263 Bùi Hữu Nghĩa, Phường 1, Bình Thạnh, Thành phố Hồ Chí Minh, Việt Nam","Phường 1, Bình Thạnh",263 Bùi Hữu Nghĩa,Thành phố Hồ Chí Minh,,"Bình Thạnh, Thành phố Hồ Chí Minh",VN
120,ChIJFxicCCyIoDERTlCKzhTbp_0,Cơ sở sản xuất Bida Minh Nguyễn,Cửa hàng bán dụng cụ Bi-a,+84 938 689 841,"Cơ sở sản xuất Bida Minh Nguyễn, 5 Tổ 5, KV 1, Cái Răng, Cần Thơ, Việt Nam","KV 1, Cái Răng",5 Tổ 5,Cần Thơ,,"Cái Răng, Cần Thơ",VN
132,ChIJhQE8tuIZoDER71fR8yu-o48,CLB bida Tiny Bear,Câu lạc bộ bi da lỗ,+84 976 088 209,"CLB bida Tiny Bear, Đường D5, Khóm 4, Trà Vinh, 87100, Việt Nam","Khóm 4, Trà Vinh",Đường D5,Trà Vinh,87100.0,Trà Vinh,VN
