,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJr3nUIPerNTERA0alPegek_0,Nabemono Wagyu Hotpot Buffet,Nhà hàng,0971 975 086,"Nabemono Wagyu Hotpot Buffet, 8th Floor, 12-14 P. Nguyễn Quang Bích, Cửa Đông, Hanoi City, Hà Nội 10000","Cửa Đông, Hanoi City","8th Floor, 12-14 P. Nguyễn Quang Bích",Hà Nội,10000.0,"Hanoi City, Hà Nội",VN
2,ChIJU1XFSxMmdTERevjdHHGczJc,D'Maris,Nhà hàng tiệc đứng,1900 0029,"D'Maris, Tầng 6 - Tòa nhà Cantavil Premier, 1 Đ. Song Hành Xa Lộ Hà Nội, P, Thủ Đức, Thành phố Hồ Chí Minh","P, Thủ Đức","Tầng 6 - Tòa nhà Cantavil Premier, 1 Đ. Song Hành Xa Lộ Hà Nội",Thành phố Hồ Chí Minh,,"Thủ Đức, Thành phố Hồ Chí Minh",VN
5,ChIJP1h1FKKsNTERdZ8jAEQ3DGE,Buffet hải sản Poseidon,Nhà hàng tiệc đứng,0906 553 368,"Buffet hải sản Poseidon, Tầng 4, tòa nhà Hà Nội Center Point, số 27 Đ. Lê Văn Lương, Thanh Xuân, Hà Nội","Nhân Chính, Thanh Xuân","Tầng 4, tòa nhà Hà Nội Center Point, số 27 Đ. Lê Văn Lương",Hà Nội,,"Thanh Xuân, Hà Nội",VN
21,ChIJ1V39sGirNTERTICf1-6CYVM,Buffet Chef Dzung,Nhà hàng tiệc đứng,024 6285 9859,"Buffet Chef Dzung, 71 Đ. Nguyễn Chí Thanh, Thành Công, Ba Đình, Hà Nội 100000","Thành Công, Ba Đình",71 Đ. Nguyễn Chí Thanh,Hà Nội,100000.0,"Ba Đình, Hà Nội",VN
37,ChIJB_ItCcEpdTERheR8oH4IizU,Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Nhà hàng,1900 996620,"Bay Seafood Buffet Hồ Gươm - 14 Tông Đản, 14 P. Tông Đản, Tràng Tiền, Hoàn Kiếm, Hà Nội","Tràng Tiền, Hoàn Kiếm",14 P. Tông Đản,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN
42,ChIJyUzWbXisNTERM1-fdYnzXH0,Lẩu Phan Buffet,Nhà hàng món lẩu,1900 2808,"Lẩu Phan Buffet, 7 P. Đào Duy Anh, Phương Mai, Đống Đa, Hà Nội 100000","Phương Mai, Đống Đa",7 P. Đào Duy Anh,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN
58,ChIJ_8O8qlyrNTERfGObf4CXnFI,Buffet Hải Sản Cửu Vân Long,Nhà hàng hải sản,0779 345 889,"Buffet Hải Sản Cửu Vân Long, Tầng 6, toà Discovery Complex, 302, Cầu Giấy, Hà Nội","Dịch Vọng, Cầu Giấy","Tầng 6, toà Discovery Complex, 302",Hà Nội,,"Cầu Giấy, Hà Nội",VN
63,ChIJUS0pM3irNTERZJjAulhNZjg,Mr Mlem Cơ sở 2 - Buffet Bò Nầm Nướng,Nhà hàng món nướng,0949 922 909,"Mr Mlem Cơ sở 2 - Buffet Bò Nầm Nướng, 65 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội 100000","Chợ Dừa, Đống Đa",65 P. Ô Chợ Dừa,Hà Nội,100000.0,"Đống Đa, Hà Nội",VN
79,ChIJ12C1GGSrNTERtEO1B_ZGqUI,Nhà Hàng Buffet Chay Tịnh Thực Quán,Nhà hàng cho người ăn chay,0986 612 893,"Nhà Hàng Buffet Chay Tịnh Thực Quán, 10 P. Huỳnh Thúc Kháng, Đống Đa, Ba Đình, Hà Nội 10000","Đống Đa, Ba Đình",10 P. Huỳnh Thúc Kháng,Hà Nội,10000.0,"Ba Đình, Hà Nội",VN
88,ChIJt8ZhemStNTERLvXU6cr268M,Lẩu Wang Vua Buffet Lẩu,Nhà hàng tiệc đứng,1900 0081,"Lẩu Wang Vua Buffet Lẩu, 134 P. Trần Đại Nghĩa, Đồng Tâm, Hai Bà Trưng, Hà Nội 100000","Đồng Tâm, Hai Bà Trưng",134 P. Trần Đại Nghĩa,Hà Nội,100000.0,"Hai Bà Trưng, Hà Nội",VN
104,ChIJdQKplO-rNTERBFiJTs6vKU4,WuLong - Taiwanese Hotpot Buffet,Nhà hàng Đài Loan,0858 247 666,"WuLong - Taiwanese Hotpot Buffet, 126 Đ. Nguyễn Khánh Toàn, Quan Hoa, Cầu Giấy, Hà Nội 100000","Quan Hoa, Cầu Giấy",126 Đ. Nguyễn Khánh Toàn,Hà Nội,100000.0,"Cầu Giấy, Hà Nội",VN
113,ChIJE05BcHirNTERwhIWD5rni7w,Yukssam BBQ Buffet,Nhà hàng món nướng Hàn Quốc,024 3232 3222,"Yukssam BBQ Buffet, 43 P. Ô Chợ Dừa, Chợ Dừa, Đống Đa, Hà Nội","Chợ Dừa, Đống Đa",43 P. Ô Chợ Dừa,Hà Nội,,"Đống Đa, Hà Nội",VN
129,ChIJ-zt3A7qrNTEROigfUU34d0U,Lẩu Hơi - Lẩu Nướng Safodi,Nhà hàng,0886 001 002,"Lẩu Hơi - Lẩu Nướng Safodi, 273 P. Tô Hiệu, Dịch Vọng, Cầu Giấy, Hà Nội","Dịch Vọng, Cầu Giấy",273 P. Tô Hiệu,Hà Nội,,"Cầu Giấy, Hà Nội",VN
141,ChIJlcL-0M-tNTERMzpyRBItxSc,Chef Dzung Buffet Nguyễn Tuân,Nhà hàng tiệc đứng,024 3664 6222,"Chef Dzung Buffet Nguyễn Tuân, 47 Đ. Nguyễn Tuân, Thanh Xuân Trung, Thanh Xuân, Hà Nội 100000","Thanh Xuân Trung, Thanh Xuân",47 Đ. Nguyễn Tuân,Hà Nội,100000.0,"Thanh Xuân, Hà Nội",VN
157,ChIJY0NQRUcvdTERSjHLrQ4UE3E,Hoang Yen Buffet Premier,Nhà hàng tiệc đứng,028 6681 1006,"Hoang Yen Buffet Premier, Saigon Centre, 65 Đ. Lê Lợi, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 720000","Bến Nghé, Quận 1","Saigon Centre, 65 Đ. Lê Lợi",Thành phố Hồ Chí Minh,720000.0,"Quận 1, Thành phố Hồ Chí Minh",VN
170,ChIJ8XawnRqtNTERA9e5SFDvY1w,Buffet Hải Sản Cửu Vân Long Thái Hà,Nhà hàng hải sản,0779 345 889,"Buffet Hải Sản Cửu Vân Long Thái Hà, Tầng L, Toà Viet Tower, Số 1 P. Thái Hà, Đống Đa, Hà Nội","Trung Liệt, Đống Đa","Tầng L, Toà Viet Tower, Số 1 P. Thái Hà",Hà Nội,,"Đống Đa, Hà Nội",VN
175,ChIJfQpivD0vdTERgcpb5Rhbzwg,Kichi Lotte Mart Mậu Thân,Nhà hàng,0292 7300 337,"Kichi Lotte Mart Mậu Thân, TTTM Lotte Mart, LÔ 1F31, 84 Đ. Mậu Thân, An Hoà, Ninh Kiều, Cần Thơ 90000","An Hoà, Ninh Kiều","TTTM Lotte Mart, LÔ 1F31, 84 Đ. Mậu Thân",Cần Thơ,90000.0,"Ninh Kiều, Cần Thơ",VN
183,ChIJjem7Z4itNTERG4B_t0vfZnA,Buffet Poseidon Royal,Nhà hàng tiệc đứng,0967 088 288,"Buffet Poseidon Royal, Lô B2 - R4 - 18 tầng B2 TTTM, 72A Nguyễn Trãi, Khu đô thị Royal City, Thanh Xuân, Hà Nội","Khu đô thị Royal City, Thanh Xuân","Lô B2 - R4 - 18 tầng B2 TTTM, 72A Nguyễn Trãi",Hà Nội,,"Thanh Xuân, Hà Nội",VN
199,ChIJoRlwyiWIoDER5fQqcLWmETQ,Nhà Hàng Grill & Cheer Cần Thơ,Nhà hàng,0292 3732 233,"Nhà Hàng Grill & Cheer Cần Thơ, Vincom Plaza, 209 Đ. 30 Tháng 4, Xuân Khánh, Ninh Kiều, Cần Thơ","Xuân Khánh, Ninh Kiều","Vincom Plaza, 209 Đ. 30 Tháng 4",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
215,ChIJhY4Kre0pdTERK3qATef7xcc,GALBI HOUSE,Nhà hàng món nướng Hàn Quốc,028 3842 6779,"GALBI HOUSE, 4 Hoàng Hoa Thám, Phường 12, Tân Bình, Thành phố Hồ Chí Minh","Phường 12, Tân Bình",4 Hoàng Hoa Thám,Thành phố Hồ Chí Minh,,"Tân Bình, Thành phố Hồ Chí Minh",VN
216,ChIJedr_6aOsNTERSJd_eOtXaDU,Buffet Hải Sản Cửu Vân Long,Nhà hàng hải sản,1900 996610,"Buffet Hải Sản Cửu Vân Long, ĐT 43, Khu đô thị Times City, Hai Bà Trưng, Hà Nội 10000","Khu đô thị Times City, Hai Bà Trưng",ĐT 43,Hà Nội,10000.0,"Hai Bà Trưng, Hà Nội",VN
225,ChIJpyvTX6-tNTERcwyMF-4zP_8,Buffet Poseidon TTTM Times City,Nhà hàng,0867 108 066,"Buffet Poseidon TTTM Times City, Tầng hầm B1, TTTM, 458 P. Minh Khai, Khu đô thị Times City, Hai Bà Trưng, Hà Nội","Khu đô thị Times City, Hai Bà Trưng","Tầng hầm B1, TTTM, 458 P. Minh Khai",Hà Nội,,"Hai Bà Trưng, Hà Nội",VN
241,ChIJHeVcLhurNTERnN9jw5kDbXA,Set Buffet,Nhà hàng Việt Nam,0963 766 858,"Set Buffet, 34 P. Đông Quan, Nghĩa Đô, Cầu Giấy, Hà Nội","Nghĩa Đô, Cầu Giấy",34 P. Đông Quan,Hà Nội,,"Cầu Giấy, Hà Nội",VN
251,ChIJN0SHqsurNTERx_hwDzGavik,Koifood Buffet Lẩu Nướng 57 Láng Hạ,Nhà hàng,0583 889 333,"Koifood Buffet Lẩu Nướng 57 Láng Hạ, 25 Ngõ 57 Láng Hạ, Chợ Dừa, Ba Đình, Hà Nội","Chợ Dừa, Ba Đình",25 Ngõ 57 Láng Hạ,Hà Nội,,"Ba Đình, Hà Nội",VN
260,ChIJ3dvH9kBTNDERpXFCbhwHx2U,D'Maris Buffet Tây Mỗ,Nhà hàng tiệc đứng,1900 3488,"D'Maris Buffet Tây Mỗ, Tầng 3 Vincom Megamall Smart City, Tây Mỗ, Từ Liêm, Hà Nội","Tây Mỗ, Từ Liêm",Tầng 3 Vincom Megamall Smart City,Hà Nội,,"Từ Liêm, Hà Nội",VN
276,ChIJd9riu6FioDERpgGYPmuGDng,King BBQ Buffet Sense City Cần Thơ,Nhà hàng món nướng Hàn Quốc,0292 7305 939,"King BBQ Buffet Sense City Cần Thơ, Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình, Tân An, Ninh Kiều, Cần Thơ","Tân An, Ninh Kiều","Tầng 2, TTTM Sense City, 1A Đại lộ Hoà Bình",Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
292,ChIJadHESywpdTERUKOzroWy6AE,Vườn Nướng Hàn Quốc Buffet,Nhà hàng,0862 616 279,"Vườn Nướng Hàn Quốc Buffet, 1212 Đ. Lê Đức Thọ, Phường 13, Gò Vấp, Thành phố Hồ Chí Minh 700000","Phường 13, Gò Vấp",1212 Đ. Lê Đức Thọ,Thành phố Hồ Chí Minh,700000.0,"Gò Vấp, Thành phố Hồ Chí Minh",VN
299,ChIJPWlvOtWtNTERggoW8mz9dAA,LẨU ĐỨC TRỌC 728 TRƯƠNG ĐỊNH,Nhà hàng món lẩu,0941 409 999,"LẨU ĐỨC TRỌC 728 TRƯƠNG ĐỊNH, 728 Trương Định, Giáp Bát, Hai Bà Trưng, Hà Nội","Giáp Bát, Hai Bà Trưng",728 Trương Định,Hà Nội,,"Hai Bà Trưng, Hà Nội",VN
322,ChIJLURFMbitNTERCVK4YOeyLwA,Nhà hàng Buffet Lẩu nướng Toọng Quán Lĩnh Nam,Nhà hàng,0986 486 446,"Nhà hàng Buffet Lẩu nướng Toọng Quán Lĩnh Nam, Đối diện 183, Đ. Lĩnh Nam, Vĩnh Hưng, Hai Bà Trưng, Hà Nội","Vĩnh Hưng, Hai Bà Trưng","Đối diện 183, Đ. Lĩnh Nam",Hà Nội,,"Hai Bà Trưng, Hà Nội",VN
338,ChIJVVX2mgSsNTERg-e0QH_voqk,King BBQ Buffet Time City,Nhà hàng món nướng Hàn Quốc,024 3824 6565,"King BBQ Buffet Time City, 458 P. Minh Khai, Khu đô thị Times City, Hai Bà Trưng, Hà Nội 100000","Khu đô thị Times City, Hai Bà Trưng",458 P. Minh Khai,Hà Nội,100000.0,"Hai Bà Trưng, Hà Nội",VN
354,ChIJ9dM7SQGsNTERtjlQfOFjBHY,Nhà hàng Buffet Sen Việt,Nhà hàng tiệc đứng,0977 863 276,"Nhà hàng Buffet Sen Việt, A25 Luxury Hotel, 684 P. Minh Khai, Vĩnh Phú, Hai Bà Trưng, Hà Nội","Vĩnh Phú, Hai Bà Trưng","A25 Luxury Hotel, 684 P. Minh Khai",Hà Nội,,"Hai Bà Trưng, Hà Nội",VN
355,ChIJtfP296CtNTERc7o_KZvUJIE,Khang Buffet,Món nướng,0986 101 730,"Khang Buffet, 70 P. Nguyên Khiết, Phúc Tân, Hoàn Kiếm, Hà Nội","Phúc Tân, Hoàn Kiếm",70 P. Nguyên Khiết,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN
371,ChIJKz1aKZCrNTERBQscQIBFtgE,Nhà hàng Sen Nam Thanh,Nhà hàng tiệc đứng,024 3822 3750,"Nhà hàng Sen Nam Thanh, 84B P. Nguyễn Du, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội","Trần Hưng Đạo, Hoàn Kiếm",84B P. Nguyễn Du,Hà Nội,,"Hoàn Kiếm, Hà Nội",VN
