,place_id,name,main_category,phone,address,address_ward,address_street,address_city,address_postal_code,address_state,address_country_code
0,ChIJJdSR-c4odTEROVM5Wqr70Wo,Karaoke Nnice 230 Phan Xích Long,Quán bar karaoke,028 3517 0046,"Karaoke Nnice 230 Phan Xích Long, 230 Phan Xích Long, Phường 7, Phú Nhuận, Thành phố Hồ Chí Minh","Phường 7, Phú Nhuận",230 Phan Xích Long,Thành phố Hồ Chí Minh,,"Phú Nhuận, Thành phố Hồ Chí Minh",VN
2,ChIJw8sKyP4odTER_LklRv-Wf1c,Karaoke Nnice 524 Phan Văn Trị,Quán bar karaoke,028 3894 3500,"Karaoke Nnice 524 Phan Văn Trị, 524 Đ. Phan Văn Trị, Phường 7, Gò Vấp, Thành phố Hồ Chí Minh 700000","Phường 7, Gò Vấp",524 Đ. Phan Văn Trị,Thành phố Hồ Chí Minh,700000.0,"Gò Vấp, Thành phố Hồ Chí Minh",VN
4,ChIJez1MjTApdTERZwNRomThbmM,Karaoke Nnice 16 Cộng Hoà,Quán bar karaoke,028 3811 5828,"Karaoke Nnice 16 Cộng Hoà, 16 Đ. Cộng Hòa, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000","Phường 4, Tân Bình",16 Đ. Cộng Hòa,Thành phố Hồ Chí Minh,700000.0,"Tân Bình, Thành phố Hồ Chí Minh",VN
6,ChIJA1UFnBgvdTERu0J7j4Ahl6k,Karaoke Nnice 340 N.T.Minh Khai,Quán bar karaoke,028 3834 3784,"Karaoke Nnice 340 N.T.Minh Khai, 340 Đ. Nguyễn Thị Minh Khai, Phường 5, Quận 3, Thành phố Hồ Chí Minh 700000","Phường 5, Quận 3",340 Đ. Nguyễn Thị Minh Khai,Thành phố Hồ Chí Minh,700000.0,"Quận 3, Thành phố Hồ Chí Minh",VN
8,ChIJS46J0xgvdTER1S0DQX9MYjk,Kingdom Karaoke,Quán bar karaoke,0938 737 272,"Kingdom Karaoke, 67-69 Đ. Phạm Viết Chánh, Phường Nguyễn Cư Trinh, Quận 1, Thành phố Hồ Chí Minh","Phường Nguyễn Cư Trinh, Quận 1",67-69 Đ. Phạm Viết Chánh,Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
9,ChIJzcWlVKlioDER8x5DgJZRmzc,Karaoke Paradise 1,Karaoke,0292 3797 797,"Karaoke Paradise 1, 18 Lê Lợi, Cái Khế, Ninh Kiều, Cần Thơ","Cái Khế, Ninh Kiều",18 Lê Lợi,Cần Thơ,,"Ninh Kiều, Cần Thơ",VN
23,ChIJH1d2c0YvdTER8jyEIc9MlY4,King Enterprise - Karaoke & Restaurant HCM,Quán bar karaoke,028 2261 6688,"King Enterprise - Karaoke & Restaurant HCM, 27-29-31-33, Hai Ba Trung, Ward, Street, Quận 1, Thành phố Hồ Chí Minh","Street, Quận 1","27-29-31-33, Hai Ba Trung, Ward",Thành phố Hồ Chí Minh,,"Quận 1, Thành phố Hồ Chí Minh",VN
25,ChIJHTAU9pYtdTER1UiUxkRWtuw,Karaoke HollyWood,Quán bar karaoke,,"Karaoke HollyWood, 231 Bình Long, Bình Hưng Hoà A, Bình Tân, Thành phố Hồ Chí Minh","Bình Hưng Hoà A, Bình Tân",231 Bình Long,Thành phố Hồ Chí Minh,,"Bình Tân, Thành phố Hồ Chí Minh",VN
27,ChIJLY20CCwpdTER7pHZEyz3Duw,Karaoke Santori - Hát Hay Nhất Gò Vấp,Quán bar karaoke,0963 892 964,"Karaoke Santori - Hát Hay Nhất Gò Vấp, 176 Lê Văn Thọ, Phường 11, Gò Vấp, Thành phố Hồ Chí Minh","Phường 11, Gò Vấp",176 Lê Văn Thọ,Thành phố Hồ Chí Minh,,"Gò Vấp, Thành phố Hồ Chí Minh",VN
29,ChIJCaBO5p8ndTEReXeP39AQ9U8,Karaoke Oscar,Quán bar karaoke,0857 885 889,"Karaoke Oscar, 24 Phạm Văn Đồng, An Bình, Thủ Đức, Thành phố Hồ Chí Minh 700000","An Bình, Thủ Đức",24 Phạm Văn Đồng,Thành phố Hồ Chí Minh,700000.0,"Thủ Đức, Thành phố Hồ Chí Minh",VN
